col0,col1,col2,col3
1.0,72.3234101,1.0,179.705845
1.02329299,72.3232671,1.02329299,179.700913
1.04712855,72.323128,1.04712855,179.695855
1.07151931,72.3229926,1.07151931,179.690667
1.0964782,72.3228609,1.0964782,179.685345
1.12201845,72.322733,1.12201845,179.679884
1.14815362,72.3226087,1.14815362,179.674281
1.17489755,72.3224879,1.17489755,179.668532
1.20226443,72.3223707,1.20226443,179.662631
1.23026877,72.3222569,1.23026877,179.656576
1.25892541,72.3221464,1.25892541,179.65036
1.28824955,72.3220393,1.28824955,179.643981
1.31825674,72.3219354,1.31825674,179.637433
1.34896288,72.3218345,1.34896288,179.630712
1.38038426,72.3217368,1.38038426,179.623814
1.41253754,72.321642,1.41253754,179.616733
1.44543977,72.32155,1.44543977,179.609466
1.47910839,72.3214608,1.47910839,179.602007
1.51356125,72.3213743,1.51356125,179.594352
1.54881662,72.3212903,1.54881662,179.586496
1.58489319,72.3212089,1.58489319,179.578434
1.6218101,72.3211298,1.6218101,179.57016
1.65958691,72.321053,1.65958691,179.561671
1.69824365,72.3209785,1.69824365,179.55296
1.73780083,72.320906,1.73780083,179.544023
1.77827941,72.3208355,1.77827941,179.534853
1.81970086,72.3207669,1.81970086,179.525446
1.86208714,72.3207001,1.86208714,179.515797
1.90546072,72.3206351,1.90546072,179.505899
1.9498446,72.3205716,1.9498446,179.495746
1.99526231,72.3205096,1.99526231,179.485334
2.04173794,72.3204491,2.04173794,179.474655
2.08929613,72.3203899,2.08929613,179.463705
2.13796209,72.3203319,2.13796209,179.452476
2.18776162,72.320275,2.18776162,179.440963
2.23872114,72.3202192,2.23872114,179.429158
2.29086765,72.3201643,2.29086765,179.417056
2.34422882,72.3201103,2.34422882,179.404649
2.39883292,72.320057,2.39883292,179.391931
2.45470892,72.3200043,2.45470892,179.378895
2.51188643,72.3199522,2.51188643,179.365534
2.57039578,72.3199006,2.57039578,179.351839
2.63026799,72.3198493,2.63026799,179.337805
2.6915348,72.3197983,2.6915348,179.323422
2.7542287,72.3197475,2.7542287,179.308684
2.81838293,72.3196967,2.81838293,179.293581
2.8840315,72.3196459,2.8840315,179.278107
2.95120923,72.319595,2.95120923,179.262253
3.01995172,72.3195439,3.01995172,179.246009
3.09029543,72.3194924,3.09029543,179.229368
3.16227766,72.3194405,3.16227766,179.212321
3.23593657,72.3193881,3.23593657,179.194857
3.31131121,72.3193351,3.31131121,179.176968
3.38844156,72.3192812,3.38844156,179.158644
3.4673685,72.3192266,3.4673685,179.139876
3.54813389,72.319171,3.54813389,179.120653
3.63078055,72.3191142,3.63078055,179.100965
3.71535229,72.3190563,3.71535229,179.080801
3.80189396,72.3189971,3.80189396,179.060151
3.89045145,72.3189364,3.89045145,179.039004
3.98107171,72.3188742,3.98107171,179.017348
4.07380278,72.3188102,4.07380278,178.995171
4.16869383,72.3187444,4.16869383,178.972463
4.26579519,72.3186767,4.26579519,178.94921
4.36515832,72.3186068,4.36515832,178.925401
4.46683592,72.3185346,4.46683592,178.901023
4.5708819,72.31846,4.5708819,178.876062
4.67735141,72.3183829,4.67735141,178.850505
4.78630092,72.3183029,4.78630092,178.82434
4.89778819,72.3182201,4.89778819,178.797551
5.01187234,72.3181342,5.01187234,178.770125
5.12861384,72.318045,5.12861384,178.742046
5.2480746,72.3179523,5.2480746,178.713301
5.37031796,72.3178559,5.37031796,178.683874
5.49540874,72.3177557,5.49540874,178.653748
5.62341325,72.3176514,5.62341325,178.622909
5.75439937,72.3175427,5.75439937,178.591339
5.88843655,72.3174295,5.88843655,178.559023
6.02559586,72.3173115,6.02559586,178.525941
6.16595002,72.3171884,6.16595002,178.492078
6.30957344,72.31706,6.30957344,178.457415
6.45654229,72.316926,6.45654229,178.421934
6.60693448,72.3167861,6.60693448,178.385615
6.76082975,72.3166399,6.76082975,178.34844
6.91830971,72.3164873,6.91830971,178.310388
7.07945784,72.3163277,7.07945784,178.27144
7.2443596,72.316161,7.2443596,178.231575
