col0,col1
20.0,72.8973284
22.4403691,72.8883086
25.1785082,72.8768897
28.2507509,72.8624851
31.6978638,72.8443614
35.5655882,72.821607
39.9052463,72.7930936
44.7744228,72.7574333
50.2377286,72.7129299
56.3676586,72.6575268
63.2455532,72.588755
70.9626778,72.503686
79.6214341,72.3988986
89.3367184,72.2704691
100.237447,72.114001
112.468265,71.9247075
126.191469,71.697562
141.589157,71.4275221
158.865647,71.1098229
178.250188,70.7403155
200.0,70.3158118
224.403691,69.8343789
251.785082,69.2955314
282.507509,68.7002807
316.978638,68.0510328
355.655882,67.3513533
399.052463,66.6056498
447.744228,65.8188228
502.377286,64.9959397
563.676586,64.1419645
632.455532,63.2615598
709.626778,62.358962
796.214341,61.4379189
893.367184,60.5016758
1002.37447,59.5529953
1124.68265,58.5941964
1261.91469,57.6272045
1415.89157,56.6536037
1588.65647,55.6746882
1782.50188,54.6915095
2000.0,53.7049176
2244.03691,52.7155976
2517.85082,51.7240997
2825.07509,50.7308649
3169.78638,49.7362461
3556.55882,48.7405252
3990.52463,47.743927
4477.44228,46.7466308
5023.77286,45.7487794
5636.76586,44.7504864
6324.55532,43.7518423
7096.26778,42.7529191
7962.14341,41.7537738
8933.67184,40.7544519
10023.7447,39.7549893
11246.8265,38.7554147
12619.1469,37.7557507
14158.9157,36.7560151
15886.5647,35.7562221
17825.0188,34.7563826
20000.0,33.7565052
22440.3691,32.7565964
25178.5082,31.7566611
28250.7509,30.7567027
31697.8638,29.7567236
35565.5882,28.7567247
39905.2463,27.7567062
44774.4228,26.7566673
50237.7286,25.756606
56367.6586,24.7565191
63245.5532,23.7564024
70962.6778,22.7562502
79621.4341,21.7560551
89336.7184,20.7558079
100237.447,19.7554974
112468.265,18.7551102
126191.469,17.7546305
141589.157,16.7540404
158865.647,15.7533207
178250.188,14.7524522
200000.0,13.7514191
