col0,col1,col2,col3
0.2,1.45938559,0.2,67.8861752
0.202316202,1.54508498,0.202316202,67.6551412
0.204659228,1.63049959,0.204659228,67.4222082
0.207029388,1.71562474,0.207029388,67.1873762
0.209426997,1.8004557,0.209426997,66.9506455
0.211852373,1.88498772,0.211852373,66.7120172
0.214305837,1.96921601,0.214305837,66.4714927
0.216787715,2.05313574,0.216787715,66.2290739
0.219298335,2.13674206,0.219298335,65.9847636
0.221838031,2.22003009,0.221838031,65.7385649
0.22440714,2.30299489,0.22440714,65.4904814
0.227006001,2.38563154,0.227006001,65.2405175
0.229634959,2.46793506,0.229634959,64.988678
0.232294364,2.54990047,0.232294364,64.7349687
0.234984567,2.63152274,0.234984567,64.4793955
0.237705925,2.71279685,0.237705925,64.2219654
0.2404588,2.79371775,0.2404588,63.9626857
0.243243555,2.87428037,0.243243555,63.7015645
0.246060561,2.95447964,0.246060561,63.4386107
0.24891019,3.03431047,0.24891019,63.1738336
0.251792821,3.11376777,0.251792821,62.9072435
0.254708836,3.19284642,0.254708836,62.638851
0.257658622,3.27154134,0.257658622,62.3686678
0.260642568,3.34984742,0.260642568,62.0967061
0.263661072,3.42775955,0.263661072,61.8229789
0.266714534,3.50527265,0.266714534,61.5474998
0.269803357,3.58238162,0.269803357,61.2702833
0.272927952,3.65908139,0.272927952,60.9913445
0.276088733,3.7353669,0.276088733,60.7106993
0.279286119,3.81123311,0.279286119,60.4283645
0.282520534,3.88667499,0.282520534,60.1443574
0.285792407,3.96168754,0.285792407,59.8586961
0.289102171,4.0362658,0.289102171,59.5713997
0.292450266,4.11040482,0.292450266,59.2824878
0.295837135,4.18409968,0.295837135,58.9919808
0.299263228,4.25734553,0.299263228,58.6999001
0.302728998,4.33013752,0.302728998,58.4062676
0.306234905,4.40247088,0.306234905,58.111106
0.309781414,4.47434086,0.309781414,57.8144389
0.313368996,4.54574277,0.313368996,57.5162907
0.316998125,4.61667198,0.316998125,57.2166863
0.320669283,4.68712391,0.320669283,56.9156515
0.324382957,4.75709406,0.324382957,56.613213
0.328139639,4.82657795,0.328139639,56.3093981
0.331939827,4.89557123,0.331939827,56.0042347
0.335784025,4.96406957,0.335784025,55.6977518
0.339672743,5.03206876,0.339672743,55.3899787
0.343606496,5.09956462,0.343606496,55.0809459
0.347585805,5.1665531,0.347585805,54.7706841
0.3516112,5.23303021,0.3516112,54.4592251
