col0,col1,col2,col3
1.0,61.8761772,1.0,179.725409
1.02329299,61.8760475,1.02329299,179.720761
1.04712855,61.8759213,1.04712855,179.715995
1.07151931,61.8757985,1.07151931,179.711107
1.0964782,61.8756791,1.0964782,179.706092
1.12201845,61.8755632,1.12201845,179.700948
1.14815362,61.8754506,1.14815362,179.69567
1.17489755,61.8753412,1.17489755,179.690255
1.20226443,61.8752351,1.20226443,179.684698
1.23026877,61.8751322,1.23026877,179.678995
1.25892541,61.8750323,1.25892541,179.673142
1.28824955,61.8749355,1.28824955,179.667136
1.31825674,61.8748417,1.31825674,179.660971
1.34896288,61.8747507,1.34896288,179.654644
1.38038426,61.8746625,1.38038426,179.648151
1.41253754,61.8745771,1.41253754,179.641487
1.44543977,61.8744943,1.44543977,179.634648
1.47910839,61.8744141,1.47910839,179.627629
1.51356125,61.8743363,1.51356125,179.620427
1.54881662,61.874261,1.54881662,179.613035
1.58489319,61.8741879,1.58489319,179.605451
1.6218101,61.8741171,1.6218101,179.597668
1.65958691,61.8740485,1.65958691,179.589683
1.69824365,61.8739819,1.69824365,179.58149
1.73780083,61.8739172,1.73780083,179.573085
1.77827941,61.8738545,1.77827941,179.564462
1.81970086,61.8737935,1.81970086,179.555617
1.86208714,61.8737343,1.86208714,179.546544
1.90546072,61.8736767,1.90546072,179.537239
1.9498446,61.8736206,1.9498446,179.527694
1.99526231,61.873566,1.99526231,179.517906
2.04173794,61.8735128,2.04173794,179.507869
2.08929613,61.8734608,2.08929613,179.497576
2.13796209,61.8734101,2.13796209,179.487023
2.18776162,61.8733605,2.18776162,179.476202
2.23872114,61.8733119,2.23872114,179.465109
2.29086765,61.8732643,2.29086765,179.453736
2.34422882,61.8732176,2.34422882,179.442078
2.39883292,61.8731716,2.39883292,179.430128
2.45470892,61.8731264,2.45470892,179.41788
2.51188643,61.8730818,2.51188643,179.405326
2.57039578,61.8730378,2.57039578,179.39246
2.63026799,61.8729942,2.63026799,179.379275
2.6915348,61.872951,2.6915348,179.365764
2.7542287,61.8729081,2.7542287,179.351919
2.81838293,61.8728655,2.81838293,179.337733
2.8840315,61.872823,2.8840315,179.323197
2.95120923,61.8727805,2.95120923,179.308305
3.01995172,61.8727381,3.01995172,179.293048
3.09029543,61.8726955,3.09029543,179.277417
3.16227766,61.8726527,3.16227766,179.261405
3.23593657,61.8726097,3.23593657,179.245003
3.31131121,61.8725663,3.31131121,179.228202
3.38844156,61.8725224,3.38844156,179.210993
3.4673685,61.872478,3.4673685,179.193366
3.54813389,61.872433,3.54813389,179.175313
3.63078055,61.8723872,3.63078055,179.156823
3.71535229,61.8723406,3.71535229,179.137886
3.80189396,61.8722931,3.80189396,179.118493
3.89045145,61.8722446,3.89045145,179.098633
3.98107171,61.8721949,3.98107171,179.078296
4.07380278,61.872144,4.07380278,179.05747
4.16869383,61.8720918,4.16869383,179.036144
4.26579519,61.8720381,4.26579519,179.014307
4.36515832,61.8719829,4.36515832,178.991948
4.46683592,61.871926,4.46683592,178.969053
4.5708819,61.8718673,4.5708819,178.945612
4.67735141,61.8718066,4.67735141,178.921611
4.78630092,61.8717439,4.78630092,178.897038
4.89778819,61.8716789,4.89778819,178.87188
5.01187234,61.8716117,5.01187234,178.846122
5.12861384,61.8715419,5.12861384,178.819752
5.2480746,61.8714695,5.2480746,178.792755
5.37031796,61.8713943,5.37031796,178.765117
5.49540874,61.8713161,5.49540874,178.736823
5.62341325,61.8712347,5.62341325,178.707858
5.75439937,61.8711501,5.75439937,178.678206
5.88843655,61.8710619,5.88843655,178.647851
6.02559586,61.87097,6.02559586,178.616778
6.16595002,61.8708742,6.16595002,178.58497
6.30957344,61.8707742,6.30957344,178.552409
6.45654229,61.8706699,6.45654229,178.519078
6.60693448,61.870561,6.60693448,178.48496
6.76082975,61.8704472,6.76082975,178.450035
6.91830971,61.8703283,6.91830971,178.414286
7.07945784,61.8702041,7.07945784,178.377693
7.2443596,61.8700741,7.2443596,178.340237
7.41310241,61.8699382,7.41310241,178.301897
7.58577575,61.8697961,7.58577575,178.262654
7.76247117,61.8696473,7.76247117,178.222485
7.94328235,61.8694916,7.94328235,178.181369
8.12830516,61.8693285,8.12830516,178.139285
8.31763771,61.8691578,8.31763771,178.09621
8.51138038,61.868979,8.51138038,178.05212
8.7096359,61.8687916,8.7096359,178.006992
8.91250938,61.8685953,8.91250938,177.960802
9.12010839,61.8683896,9.12010839,177.913525
9.33254301,61.8681739,9.33254301,177.865135
9.54992586,61.8679478,9.54992586,177.815607
9.77237221,61.8677108,9.77237221,177.764913
10.0,61.8674622,10.0,177.713028
10.2329299,61.8672014,10.2329299,177.659922
10.4712855,61.8669279,10.4712855,177.605567
10.7151931,61.8666409,10.7151931,177.549935
10.964782,61.8663399,10.964782,177.492994
11.2201845,61.8660239,11.2201845,177.434715
11.4815362,61.8656923,11.4815362,177.375067
11.7489755,61.8653442,11.7489755,177.314016
12.0226443,61.8649789,12.0226443,177.251532
12.3026877,61.8645953,12.3026877,177.187579
12.5892541,61.8641925,12.5892541,177.122123
12.8824955,61.8637696,12.8824955,177.055131
13.1825674,61.8633254,13.1825674,176.986564
13.4896288,61.8628589,13.4896288,176.916388
13.8038426,61.8623689,13.8038426,176.844564
14.1253754,61.8618542,14.1253754,176.771054
14.4543977,61.8613134,14.4543977,176.695818
14.7910839,61.8607453,14.7910839,176.618818
15.1356125,61.8601483,15.1356125,176.54001
15.4881662,61.859521,15.4881662,176.459354
15.8489319,61.8588619,15.8489319,176.376807
16.218101,61.8581691,16.218101,176.292324
16.5958691,61.857441,16.5958691,176.205861
16.9824365,61.8566758,16.9824365,176.117373
17.3780083,61.8558714,17.3780083,176.026812
17.7827941,61.8550259,17.7827941,175.934132
18.1970086,61.8541372,18.1970086,175.839282
18.6208714,61.8532029,18.6208714,175.742214
19.0546072,61.8522208,19.0546072,175.642877
19.498446,61.8511883,19.498446,175.541218
19.9526231,61.8501029,19.9526231,175.437186
20.4173794,61.8489618,20.4173794,175.330726
20.8929613,61.8477622,20.8929613,175.221783
21.3796209,61.8465012,21.3796209,175.110301
21.8776162,61.8451754,21.8776162,174.996223
22.3872114,61.8437818,22.3872114,174.879492
22.9086765,61.8423168,22.9086765,174.760046
23.4422882,61.8407769,23.4422882,174.637827
23.9883292,61.8391582,23.9883292,174.512773
24.5470892,61.8374569,24.5470892,174.38482
25.1188643,61.8356687,25.1188643,174.253905
25.7039578,61.8337895,25.7039578,174.119963
26.3026799,61.8318146,26.3026799,173.982928
26.915348,61.8297394,26.915348,173.842733
27.542287,61.827559,27.542287,173.699309
28.1838293,61.8252682,28.1838293,173.552588
28.840315,61.8228617,28.840315,173.402497
29.5120923,61.8203338,29.5120923,173.248966
30.1995172,61.8176787,30.1995172,173.091921
30.9029543,61.8148904,30.9029543,172.931288
31.6227766,61.8119624,31.6227766,172.766993
32.3593657,61.8088882,32.3593657,172.598959
33.1131121,61.8056608,33.1131121,172.427107
33.8844156,61.802273,33.8844156,172.251361
34.673685,61.7987174,34.673685,172.071639
35.4813389,61.7949862,35.4813389,171.887862
36.3078055,61.7910711,36.3078055,171.699947
37.1535229,61.7869637,37.1535229,171.507812
38.0189396,61.7826553,38.0189396,171.311372
38.9045145,61.7781365,38.9045145,171.110543
39.8107171,61.7733979,39.8107171,170.905238
40.7380278,61.7684295,40.7380278,170.695371
