col0,col1,col2,col3
1.0,72.2913425,1.0,179.760877
1.02329299,72.2913399,1.02329299,179.755307
1.04712855,72.2913371,1.04712855,179.749606
1.07151931,72.2913342,1.07151931,179.743773
1.0964782,72.2913312,1.0964782,179.737804
1.12201845,72.291328,1.12201845,179.731696
1.14815362,72.2913247,1.14815362,179.725445
1.17489755,72.2913212,1.17489755,179.719049
1.20226443,72.2913175,1.20226443,179.712504
1.23026877,72.2913137,1.23026877,179.705807
1.25892541,72.2913097,1.25892541,179.698953
1.28824955,72.2913054,1.28824955,179.69194
1.31825674,72.291301,1.31825674,179.684763
1.34896288,72.2912964,1.34896288,179.677419
1.38038426,72.2912915,1.38038426,179.669904
1.41253754,72.2912864,1.41253754,179.662214
1.44543977,72.291281,1.44543977,179.654345
1.47910839,72.2912754,1.47910839,179.646293
1.51356125,72.2912696,1.51356125,179.638052
1.54881662,72.2912634,1.54881662,179.62962
1.58489319,72.291257,1.58489319,179.620992
1.6218101,72.2912502,1.6218101,179.612162
1.65958691,72.2912431,1.65958691,179.603127
1.69824365,72.2912357,1.69824365,179.593881
1.73780083,72.2912279,1.73780083,179.58442
1.77827941,72.2912198,1.77827941,179.574739
1.81970086,72.2912112,1.81970086,179.564831
1.86208714,72.2912023,1.86208714,179.554693
1.90546072,72.2911929,1.90546072,179.544319
1.9498446,72.2911831,1.9498446,179.533703
1.99526231,72.2911728,1.99526231,179.52284
2.04173794,72.291162,2.04173794,179.511724
2.08929613,72.2911507,2.08929613,179.500349
2.13796209,72.2911388,2.13796209,179.488708
2.18776162,72.2911264,2.18776162,179.476797
2.23872114,72.2911134,2.23872114,179.464607
2.29086765,72.2910998,2.29086765,179.452134
2.34422882,72.2910856,2.34422882,179.439371
2.39883292,72.2910706,2.39883292,179.426309
2.45470892,72.291055,2.45470892,179.412944
2.51188643,72.2910386,2.51188643,179.399267
2.57039578,72.2910214,2.57039578,179.385271
2.63026799,72.2910034,2.63026799,179.370949
2.6915348,72.2909846,2.6915348,179.356294
2.7542287,72.2909649,2.7542287,179.341296
2.81838293,72.2909442,2.81838293,179.32595
2.8840315,72.2909225,2.8840315,179.310245
2.95120923,72.2908998,2.95120923,179.294175
3.01995172,72.2908761,3.01995172,179.27773
3.09029543,72.2908512,3.09029543,179.260902
3.16227766,72.2908251,3.16227766,179.243682
3.23593657,72.2907978,3.23593657,179.22606
3.31131121,72.2907692,3.31131121,179.208027
3.38844156,72.2907392,3.38844156,179.189575
3.4673685,72.2907078,3.4673685,179.170692
3.54813389,72.2906749,3.54813389,179.151368
3.63078055,72.2906404,3.63078055,179.131595
3.71535229,72.2906043,3.71535229,179.11136
3.80189396,72.2905665,3.80189396,179.090654
3.89045145,72.2905269,3.89045145,179.069465
3.98107171,72.2904853,3.98107171,179.047781
4.07380278,72.2904418,4.07380278,179.025593
4.16869383,72.2903963,4.16869383,179.002886
4.26579519,72.2903485,4.26579519,178.979651
4.36515832,72.2902985,4.36515832,178.955873
4.46683592,72.2902461,4.46683592,178.931541
4.5708819,72.2901912,4.5708819,178.906641
4.67735141,72.2901336,4.67735141,178.881161
4.78630092,72.2900733,4.78630092,178.855086
4.89778819,72.2900102,4.89778819,178.828403
5.01187234,72.289944,5.01187234,178.801098
5.12861384,72.2898746,5.12861384,178.773155
5.2480746,72.2898019,5.2480746,178.744561
5.37031796,72.2897257,5.37031796,178.715299
5.49540874,72.2896459,5.49540874,178.685355
5.62341325,72.2895622,5.62341325,178.654712
5.75439937,72.2894745,5.75439937,178.623353
5.88843655,72.2893826,5.88843655,178.591263
6.02559586,72.2892862,6.02559586,178.558424
6.16595002,72.2891852,6.16595002,178.524818
6.30957344,72.2890794,6.30957344,178.490428
6.45654229,72.2889684,6.45654229,178.455234
6.60693448,72.288852,6.60693448,178.419219
6.76082975,72.2887301,6.76082975,178.382363
6.91830971,72.2886022,6.91830971,178.344646
7.07945784,72.2884681,7.07945784,178.306048
7.2443596,72.2883276,7.2443596,178.266549
7.41310241,72.2881802,7.41310241,178.226127
7.58577575,72.2880256,7.58577575,178.184761
7.76247117,72.2878635,7.76247117,178.142428
7.94328235,72.2876935,7.94328235,178.099106
8.12830516,72.2875152,8.12830516,178.054771
8.31763771,72.2873282,8.31763771,178.0094
8.51138038,72.287132,8.51138038,177.962969
8.7096359,72.2869263,8.7096359,177.915452
8.91250938,72.2867104,8.91250938,177.866825
9.12010839,72.2864839,9.12010839,177.81706
9.33254301,72.2862463,9.33254301,177.766132
9.54992586,72.285997,9.54992586,177.714013
9.77237221,72.2857354,9.77237221,177.660675
10.0,72.2854609,10.0,177.606089
10.2329299,72.2851728,10.2329299,177.550227
10.4712855,72.2848704,10.4712855,177.493057
10.7151931,72.2845531,10.7151931,177.43455
10.964782,72.2842199,10.964782,177.374674
11.2201845,72.2838702,11.2201845,177.313397
11.4815362,72.283503,11.4815362,177.250686
11.7489755,72.2831175,11.7489755,177.186508
12.0226443,72.2827128,12.0226443,177.120828
12.3026877,72.2822878,12.3026877,177.05361
12.5892541,72.2818415,12.5892541,176.98482
12.8824955,72.2813728,12.8824955,176.914419
13.1825674,72.2808805,13.1825674,176.842371
13.4896288,72.2803634,13.4896288,176.768637
13.8038426,72.2798203,13.8038426,176.693177
14.1253754,72.2792497,14.1253754,176.615952
14.4543977,72.2786503,14.4543977,176.53692
14.7910839,72.2780206,14.7910839,176.456039
15.1356125,72.277359,15.1356125,176.373265
15.4881662,72.2766638,15.4881662,176.288556
15.8489319,72.2759333,15.8489319,176.201866
16.218101,72.2751657,16.218101,176.113149
16.5958691,72.274359,16.5958691,176.022359
16.9824365,72.2735113,16.9824365,175.929447
17.3780083,72.2726203,17.3780083,175.834365
17.7827941,72.271684,17.7827941,175.737063
18.1970086,72.2706998,18.1970086,175.63749
18.6208714,72.2696654,18.6208714,175.535593
19.0546072,72.2685783,19.0546072,175.43132
19.498446,72.2674355,19.498446,175.324617
19.9526231,72.2662345,19.9526231,175.215429
20.4173794,72.264972,20.4173794,175.103699
20.8929613,72.2636451,20.8929613,174.989369
21.3796209,72.2622504,21.3796209,174.872382
21.8776162,72.2607846,21.8776162,174.752678
