col0,col1,col2,col3
1.0,72.4137474,1.0,179.522001
1.02329299,72.4132861,1.02329299,179.511773
1.04712855,72.4128067,1.04712855,179.501364
1.07151931,72.4123086,1.07151931,179.490773
1.0964782,72.4117913,1.0964782,179.48
1.12201845,72.4112542,1.12201845,179.469044
1.14815362,72.4106969,1.14815362,179.457904
1.17489755,72.4101186,1.17489755,179.446581
1.20226443,72.409519,1.20226443,179.435073
1.23026877,72.4088973,1.23026877,179.423381
1.25892541,72.4082532,1.25892541,179.411506
1.28824955,72.4075861,1.28824955,179.399446
1.31825674,72.4068954,1.31825674,179.387204
1.34896288,72.4061808,1.34896288,179.374779
1.38038426,72.4054416,1.38038426,179.362173
1.41253754,72.4046774,1.41253754,179.349385
1.44543977,72.4038879,1.44543977,179.336419
1.47910839,72.4030726,1.47910839,179.323274
1.51356125,72.4022311,1.51356125,179.309953
1.54881662,72.401363,1.54881662,179.296457
1.58489319,72.4004681,1.58489319,179.282788
1.6218101,72.3995461,1.6218101,179.268947
1.65958691,72.3985968,1.65958691,179.254938
1.69824365,72.3976199,1.69824365,179.240762
1.73780083,72.3966153,1.73780083,179.226421
1.77827941,72.395583,1.77827941,179.211919
1.81970086,72.3945229,1.81970086,179.197256
1.86208714,72.393435,1.86208714,179.182437
1.90546072,72.3923195,1.90546072,179.167463
1.9498446,72.3911764,1.9498446,179.152337
1.99526231,72.390006,1.99526231,179.137062
2.04173794,72.3888086,2.04173794,179.121639
2.08929613,72.3875845,2.08929613,179.106071
2.13796209,72.3863342,2.13796209,179.090361
2.18776162,72.3850582,2.18776162,179.074511
2.23872114,72.383757,2.23872114,179.058521
2.29086765,72.3824313,2.29086765,179.042395
2.34422882,72.3810819,2.34422882,179.026133
2.39883292,72.3797094,2.39883292,179.009735
2.45470892,72.3783149,2.45470892,178.993204
2.51188643,72.3768993,2.51188643,178.976539
2.57039578,72.3754636,2.57039578,178.959739
2.63026799,72.3740088,2.63026799,178.942804
2.6915348,72.3725363,2.6915348,178.925733
2.7542287,72.371047,2.7542287,178.908525
2.81838293,72.3695425,2.81838293,178.891175
2.8840315,72.3680239,2.8840315,178.873682
2.95120923,72.3664927,2.95120923,178.856041
3.01995172,72.3649504,3.01995172,178.838249
3.09029543,72.3633983,3.09029543,178.820299
3.16227766,72.361838,3.16227766,178.802187
3.23593657,72.3602711,3.23593657,178.783904
3.31131121,72.358699,3.31131121,178.765444
3.38844156,72.3571233,3.38844156,178.746798
3.4673685,72.3555457,3.4673685,178.727956
3.54813389,72.3539677,3.54813389,178.70891
3.63078055,72.3523908,3.63078055,178.689646
3.71535229,72.3508165,3.71535229,178.670155
3.80189396,72.3492466,3.80189396,178.650423
3.89045145,72.3476823,3.89045145,178.630436
3.98107171,72.3461252,3.98107171,178.61018
4.07380278,72.3445767,4.07380278,178.58964
4.16869383,72.3430381,4.16869383,178.5688
4.26579519,72.3415109,4.26579519,178.547643
4.36515832,72.3399962,4.36515832,178.526151
4.46683592,72.3384953,4.46683592,178.504307
4.5708819,72.3370092,4.5708819,178.48209
4.67735141,72.335539,4.67735141,178.459482
4.78630092,72.3340858,4.78630092,178.436462
4.89778819,72.3326504,4.89778819,178.413009
5.01187234,72.3312336,5.01187234,178.389102
5.12861384,72.3298363,5.12861384,178.364717
5.2480746,72.3284589,5.2480746,178.339833
5.37031796,72.3271022,5.37031796,178.314427
5.49540874,72.3257666,5.49540874,178.288474
5.62341325,72.3244525,5.62341325,178.26195
5.75439937,72.3231602,5.75439937,178.234831
5.88843655,72.3218899,5.88843655,178.207092
6.02559586,72.3206419,6.02559586,178.178708
6.16595002,72.3194161,6.16595002,178.149652
6.30957344,72.3182127,6.30957344,178.119899
6.45654229,72.3170314,6.45654229,178.089423
6.60693448,72.3158721,6.60693448,178.058196
6.76082975,72.3147346,6.76082975,178.026191
6.91830971,72.3136185,6.91830971,177.993383
7.07945784,72.3125236,7.07945784,177.959742
7.2443596,72.3114492,7.2443596,177.925241
7.41310241,72.3103951,7.41310241,177.889852
7.58577575,72.3093605,7.58577575,177.853547
7.76247117,72.3083448,7.76247117,177.816296
7.94328235,72.3073473,7.94328235,177.778072
8.12830516,72.3063674,8.12830516,177.738845
8.31763771,72.3054042,8.31763771,177.698586
8.51138038,72.3044568,8.51138038,177.657264
8.7096359,72.3035245,8.7096359,177.61485
8.91250938,72.3026061,8.91250938,177.571313
9.12010839,72.3017009,9.12010839,177.526623
9.33254301,72.3008076,9.33254301,177.480748
9.54992586,72.2999253,9.54992586,177.433658
9.77237221,72.2990529,9.77237221,177.385319
10.0,72.2981891,10.0,177.335701
10.2329299,72.2973329,10.2329299,177.28477
10.4712855,72.2964829,10.4712855,177.232493
10.7151931,72.2956379,10.7151931,177.178837
10.964782,72.2947967,10.964782,177.123768
11.2201845,72.2939577,11.2201845,177.06725
11.4815362,72.2931196,11.4815362,177.009249
11.7489755,72.2922811,11.7489755,176.94973
12.0226443,72.2914406,12.0226443,176.888655
12.3026877,72.2905965,12.3026877,176.825989
12.5892541,72.2897474,12.5892541,176.761693
12.8824955,72.2888916,12.8824955,176.69573
13.1825674,72.2880274,13.1825674,176.62806
13.4896288,72.2871531,13.4896288,176.558644
13.8038426,72.2862669,13.8038426,176.487442
14.1253754,72.285367,14.1253754,176.414413
14.4543977,72.2844515,14.4543977,176.339515
