col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
0.0,0.214926425,0.0,0.212560209,0.0,0.213980715,0.0,0.213521778,0.0,0.0871549545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214233801
5e-08,0.214926418,5e-08,0.212560217,5e-08,0.213980364,5e-08,0.213522397,5e-08,0.0871555786,5e-08,2.93988385e-07,5e-08,2.96574113e-07,5e-08,0.0,5e-08,0.214233795
5.40630721e-08,0.214926419,5.40630721e-08,0.212560216,5.40630721e-08,0.21398031,5.40630721e-08,0.213522499,5.40630721e-08,0.0871556365,5.40630721e-08,3.06293401e-07,5.40630721e-08,3.09521933e-07,5.40630721e-08,0.0,5.40630721e-08,0.214233796
6.21892164e-08,0.214926424,6.21892164e-08,0.212560202,6.21892164e-08,0.213980164,6.21892164e-08,0.213522875,6.21892164e-08,0.0871557818,6.21892164e-08,2.33685258e-07,6.21892164e-08,2.37580524e-07,6.21892164e-08,0.0,6.21892164e-08,0.2142338
7.8441505e-08,0.21492645,7.8441505e-08,0.21256004,7.8441505e-08,0.213979781,7.8441505e-08,0.213524747,7.8441505e-08,0.0871565451,7.8441505e-08,-1.84604145e-06,7.8441505e-08,-1.88162132e-06,7.8441505e-08,0.0,7.8441505e-08,0.214233834
1.10946082e-07,0.214926469,1.10946082e-07,0.212559404,1.10946082e-07,0.213978192,1.10946082e-07,0.21353135,1.10946082e-07,0.0871623762,1.10946082e-07,-1.90301733e-05,1.10946082e-07,-1.96011263e-05,1.10946082e-07,0.0,1.10946082e-07,0.214233955
1.69267083e-07,0.214926418,1.69267083e-07,0.212560591,1.69267083e-07,0.213969479,1.69267083e-07,0.213545854,1.69267083e-07,0.0871880951,1.69267083e-07,-2.34256798e-05,1.69267083e-07,-2.40275859e-05,1.69267083e-07,0.0,1.69267083e-07,0.214233989
2.36874735e-07,0.214925311,2.36874735e-07,0.212567189,2.36874735e-07,0.21395241,2.36874735e-07,0.213564694,2.36874735e-07,0.0872284654,2.36874735e-07,0.000214321391,2.36874735e-07,0.000221973406,2.36874735e-07,0.0,2.36874735e-07,0.214231252
3.12192619e-07,0.214920414,3.12192619e-07,0.212577964,3.12192619e-07,0.213930302,3.12192619e-07,0.213588651,3.12192619e-07,0.0872679837,3.12192619e-07,0.000957055064,3.12192619e-07,0.000975689985,3.12192619e-07,0.0,3.12192619e-07,0.214221225
4.17632069e-07,0.214906411,4.17632069e-07,0.212597997,4.17632069e-07,0.213896281,4.17632069e-07,0.213623786,4.17632069e-07,0.0873077355,4.17632069e-07,0.00278788072,4.17632069e-07,0.00272804142,4.17632069e-07,0.0,4.17632069e-07,0.214196994
6.13515246e-07,0.214860218,6.13515246e-07,0.212654071,6.13515246e-07,0.213830297,6.13515246e-07,0.213690296,6.13515246e-07,0.0873487576,6.13515246e-07,0.00810795499,6.13515246e-07,0.00708556802,6.13515246e-07,0.0,6.13515246e-07,0.214136778
8.03857703e-07,0.214792175,8.03857703e-07,0.212729579,8.03857703e-07,0.213765907,8.03857703e-07,0.213755124,8.03857703e-07,0.0873590722,8.03857703e-07,0.0151882194,8.03857703e-07,0.0118233065,8.03857703e-07,0.0,8.03857703e-07,0.214070951
1.16345626e-06,0.214617725,1.16345626e-06,0.21291584,1.16345626e-06,0.213645097,1.16345626e-06,0.213876324,1.16345626e-06,0.0873269557,1.16345626e-06,0.0321913834,1.16345626e-06,0.0207422029,1.16345626e-06,0.0,1.16345626e-06,0.213947234
1.87070788e-06,0.214163862,1.87070788e-06,0.213385452,1.87070788e-06,0.213409823,1.87070788e-06,0.214113003,1.87070788e-06,0.08714175,1.87070788e-06,0.0742950214,1.87070788e-06,0.0378703832,1.87070788e-06,0.0,1.87070788e-06,0.21370943
2.50763885e-06,0.213682431,2.50763885e-06,0.213875477,2.50763885e-06,0.2131987,2.50763885e-06,0.214325131,2.50763885e-06,0.0868957809,2.50763885e-06,0.117881694,2.50763885e-06,0.0530950236,2.50763885e-06,0.0,2.50763885e-06,0.213498129
3.46024175e-06,0.2129117,3.46024175e-06,0.214652517,3.46024175e-06,0.212883327,3.46024175e-06,0.21464232,3.46024175e-06,0.0864745353,3.46024175e-06,0.186926003,3.46024175e-06,0.0758287927,3.46024175e-06,0.0,3.46024175e-06,0.213182439
