col0,col1,col2,col3
20.0,8.64271975e-09,20.0,8.6574559e-09
20.4658598,8.64104084e-09,20.4658598,8.65565615e-09
20.942571,8.63943709e-09,20.942571,8.65393703e-09
21.4303861,8.63790514e-09,21.4303861,8.65229494e-09
21.9295639,8.63644179e-09,21.9295639,8.65072644e-09
22.4403691,8.63504399e-09,22.4403691,8.64922825e-09
22.9630724,8.63370881e-09,22.9630724,8.64779722e-09
23.4979511,8.63243346e-09,23.4979511,8.64643035e-09
24.0452887,8.63121527e-09,24.0452887,8.64512478e-09
24.6053754,8.63005168e-09,24.6053754,8.64387776e-09
25.1785082,8.62894025e-09,25.1785082,8.64268667e-09
25.764991,8.62787866e-09,25.764991,8.64154901e-09
26.3651348,8.62686467e-09,26.3651348,8.6404624e-09
26.9792577,8.62589616e-09,26.9792577,8.63942454e-09
27.6076853,8.62497109e-09,27.6076853,8.63843325e-09
28.2507509,8.62408752e-09,28.2507509,8.63748645e-09
28.9087954,8.62324358e-09,28.9087954,8.63658215e-09
29.5821678,8.62243752e-09,29.5821678,8.63571843e-09
30.271225,8.62166763e-09,30.271225,8.63489349e-09
30.9763324,8.62093229e-09,30.9763324,8.63410558e-09
31.6978638,8.62022995e-09,31.6978638,8.63335304e-09
32.4362019,8.61955914e-09,32.4362019,8.6326343e-09
33.1917381,8.61891845e-09,33.1917381,8.63194782e-09
33.964873,8.61830651e-09,33.964873,8.63129218e-09
34.7560166,8.61772206e-09,34.7560166,8.63066597e-09
35.5655882,8.61716384e-09,35.5655882,8.63006789e-09
36.3940172,8.61663069e-09,36.3940172,8.62949668e-09
37.2417427,8.61612149e-09,37.2417427,8.62895112e-09
38.1092144,8.61563515e-09,38.1092144,8.62843006e-09
38.996892,8.61517065e-09,38.996892,8.62793241e-09
39.9052463,8.61472702e-09,39.9052463,8.62745712e-09
40.8347589,8.61430332e-09,40.8347589,8.62700318e-09
41.7859226,8.61389865e-09,41.7859226,8.62656963e-09
42.7592418,8.61351216e-09,42.7592418,8.62615556e-09
43.7552325,8.61314303e-09,43.7552325,8.6257601e-09
44.7744228,8.61279049e-09,44.7744228,8.62538241e-09
45.8173531,8.61245379e-09,45.8173531,8.62502169e-09
46.8845763,8.61213222e-09,46.8845763,8.62467717e-09
47.9766584,8.61182509e-09,47.9766584,8.62434814e-09
49.0941783,8.61153177e-09,49.0941783,8.6240339e-09
50.2377286,8.61125163e-09,50.2377286,8.62373378e-09
51.4079157,8.61098408e-09,51.4079157,8.62344715e-09
52.6053598,8.61072856e-09,52.6053598,8.6231734e-09
53.8306961,8.61048452e-09,53.8306961,8.62291195e-09
55.0845741,8.61025144e-09,55.0845741,8.62266226e-09
56.3676586,8.61002885e-09,56.3676586,8.62242379e-09
57.6806301,8.60981626e-09,57.6806301,8.62219603e-09
59.0241845,8.60961323e-09,59.0241845,8.62197852e-09
60.3990344,8.60941932e-09,60.3990344,8.62177079e-09
61.8059087,8.60923413e-09,61.8059087,8.62157239e-09
63.2455532,8.60905727e-09,63.2455532,8.62138292e-09
64.7187314,8.60888835e-09,64.7187314,8.62120196e-09
66.2262243,8.60872704e-09,66.2262243,8.62102914e-09
67.7688312,8.60857297e-09,67.7688312,8.62086408e-09
69.3473701,8.60842583e-09,69.3473701,8.62070645e-09
70.9626778,8.60828531e-09,70.9626778,8.62055591e-09
72.615611,8.60815111e-09,72.615611,8.62041214e-09
74.3070458,8.60802294e-09,74.3070458,8.62027483e-09
76.0378793,8.60790054e-09,76.0378793,8.62014369e-09
77.809029,8.60778363e-09,77.809029,8.62001846e-09
79.6214341,8.60767199e-09,79.6214341,8.61989885e-09
81.4760556,8.60756537e-09,81.4760556,8.61978462e-09
83.3738767,8.60746354e-09,83.3738767,8.61967553e-09
