col0,col1,col2,col3,col4,col5,col6,col7
0.0,0.0,0.0,-0.0521620039,0.0,0.0,0.0,0.937137406
1e-08,3.14159265e-05,1e-08,-0.0521647074,1e-08,-2.70163393e-06,1e-08,0.937134234
2e-08,6.28318529e-05,2e-08,-0.0521689794,2e-08,-6.97066509e-06,2e-08,0.937129677
4e-08,0.000125663705,4e-08,-0.0521774548,4e-08,-1.54402752e-05,4e-08,0.937121124
8e-08,0.000251327402,8e-08,-0.0521761674,8e-08,-1.4153792e-05,8e-08,0.937123864
1.6e-07,0.00050265474,1.6e-07,-0.0520763302,1.6e-07,8.5615166e-05,1.6e-07,0.937226886
3.2e-07,0.00100530897,3.2e-07,-0.0516436313,3.2e-07,0.000518018367,3.2e-07,0.937665945
6.4e-07,0.00201061388,6.4e-07,-0.0502463427,6.4e-07,0.00191435116,6.4e-07,0.939078147
1.28e-06,0.00402119525,1.28e-06,-0.0460591539,1.28e-06,0.00609867149,1.28e-06,0.943297808
2.28e-06,0.00716258625,2.28e-06,-0.0375528928,2.28e-06,0.0145990893,2.28e-06,0.951860139
3.28e-06,0.0103036945,3.28e-06,-0.0280631053,3.28e-06,0.0240823339,3.28e-06,0.961407971
4.28e-06,0.013444396,4.28e-06,-0.0182947155,4.28e-06,0.0338439606,4.28e-06,0.971235467
5.28e-06,0.0165845667,5.28e-06,-0.00844995061,5.28e-06,0.04368188,5.28e-06,0.981139148
6.28e-06,0.0197240826,6.28e-06,0.00141597989,6.28e-06,0.0535409201,6.28e-06,0.991064387
7.28e-06,0.02286282,7.28e-06,0.011285361,7.28e-06,0.0634033779,7.28e-06,1.00099275
8.28e-06,0.0260006547,8.28e-06,0.0211545786,8.28e-06,0.0732656418,8.28e-06,1.01092124
9.28e-06,0.0291374629,9.28e-06,0.0310208677,9.28e-06,0.0831249488,9.28e-06,1.0208465
1.028e-05,0.0322731209,1.028e-05,0.0408844874,1.028e-05,0.0929815576,1.028e-05,1.03076934
1.128e-05,0.0354075048,1.128e-05,0.0507440335,1.128e-05,0.102834065,1.128e-05,1.04068783
1.228e-05,0.0385404908,1.228e-05,0.0605999317,1.228e-05,0.112682897,1.228e-05,1.05060289
1.328e-05,0.0416719553,1.328e-05,0.0704510002,1.328e-05,0.122526872,1.328e-05,1.06051286
1.428e-05,0.0448017747,1.428e-05,0.080297585,1.428e-05,0.132366335,1.428e-05,1.07041853
1.528e-05,0.0479298254,1.528e-05,0.0901385989,1.528e-05,0.142200202,1.528e-05,1.0803184
1.628e-05,0.0510559839,1.628e-05,0.0999743182,1.628e-05,0.152028747,1.628e-05,1.09021312
