col0,col1,col2,col3
20.0,2.99493826e-08,20.0,9.55304717e-09
20.942571,2.99491659e-08,20.942571,9.55272329e-09
21.9295639,2.99489681e-08,21.9295639,9.55242782e-09
22.9630724,2.99487875e-08,22.9630724,9.55215826e-09
24.0452887,2.99486228e-08,24.0452887,9.55191232e-09
25.1785082,2.99484724e-08,25.1785082,9.55168794e-09
26.3651348,2.9948335e-08,26.3651348,9.55148322e-09
27.6076853,2.99482097e-08,27.6076853,9.55129643e-09
28.9087954,2.99480952e-08,28.9087954,9.55112599e-09
30.271225,2.99479908e-08,30.271225,9.55097047e-09
31.6978638,2.99478953e-08,31.6978638,9.55082856e-09
33.1917381,2.99478082e-08,33.1917381,9.55069907e-09
34.7560166,2.99477286e-08,34.7560166,9.55058091e-09
36.3940172,2.9947656e-08,36.3940172,9.55047307e-09
38.1092144,2.99475896e-08,38.1092144,9.55037467e-09
39.9052463,2.9947529e-08,39.9052463,9.55028487e-09
41.7859226,2.99474736e-08,41.7859226,9.55020291e-09
43.7552325,2.9947423e-08,43.7552325,9.55012813e-09
45.8173531,2.99473768e-08,45.8173531,9.55005988e-09
47.9766584,2.99473346e-08,47.9766584,9.54999759e-09
50.2377286,2.9947296e-08,50.2377286,9.54994075e-09
52.6053598,2.99472608e-08,52.6053598,9.54988888e-09
55.0845741,2.99472286e-08,55.0845741,9.54984154e-09
57.6806301,2.99471991e-08,57.6806301,9.54979834e-09
60.3990344,2.99471722e-08,60.3990344,9.54975892e-09
63.2455532,2.99471476e-08,63.2455532,9.54972295e-09
66.2262243,2.99471252e-08,66.2262243,9.54969012e-09
69.3473701,2.99471046e-08,69.3473701,9.54966017e-09
72.615611,2.99470858e-08,72.615611,9.54963284e-09
76.0378793,2.99470686e-08,76.0378793,9.5496079e-09
79.6214341,2.99470528e-08,79.6214341,9.54958515e-09
83.3738767,2.99470384e-08,83.3738767,9.54956439e-09
87.3031664,2.99470252e-08,87.3031664,9.54954545e-09
91.4176379,2.99470131e-08,91.4176379,9.54952817e-09
95.7260185,2.9947002e-08,95.7260185,9.5495124e-09
100.237447,2.99469917e-08,100.237447,9.54949802e-09
104.961492,2.99469823e-08,104.961492,9.54948489e-09
109.908175,2.99469737e-08,109.908175,9.54947292e-09
115.087987,2.99469657e-08,115.087987,9.549462e-09
