col0,col1,col2,col3
20.0,8.64271975e-09,20.0,8.6574559e-09
20.942571,8.63943709e-09,20.942571,8.65393703e-09
21.9295639,8.63644179e-09,21.9295639,8.65072644e-09
22.9630724,8.63370881e-09,22.9630724,8.64779722e-09
24.0452887,8.63121527e-09,24.0452887,8.64512478e-09
25.1785082,8.62894025e-09,25.1785082,8.64268667e-09
26.3651348,8.62686467e-09,26.3651348,8.6404624e-09
27.6076853,8.62497109e-09,27.6076853,8.63843325e-09
28.9087954,8.62324358e-09,28.9087954,8.63658215e-09
30.271225,8.62166763e-09,30.271225,8.63489349e-09
31.6978638,8.62022995e-09,31.6978638,8.63335304e-09
33.1917381,8.61891845e-09,33.1917381,8.63194782e-09
34.7560166,8.61772206e-09,34.7560166,8.63066597e-09
36.3940172,8.61663069e-09,36.3940172,8.62949668e-09
38.1092144,8.61563515e-09,38.1092144,8.62843006e-09
39.9052463,8.61472702e-09,39.9052463,8.62745712e-09
41.7859226,8.61389865e-09,41.7859226,8.62656963e-09
43.7552325,8.61314303e-09,43.7552325,8.6257601e-09
45.8173531,8.61245379e-09,45.8173531,8.62502169e-09
47.9766584,8.61182509e-09,47.9766584,8.62434814e-09
50.2377286,8.61125163e-09,50.2377286,8.62373378e-09
52.6053598,8.61072856e-09,52.6053598,8.6231734e-09
55.0845741,8.61025144e-09,55.0845741,8.62266226e-09
57.6806301,8.60981626e-09,57.6806301,8.62219603e-09
60.3990344,8.60941932e-09,60.3990344,8.62177079e-09
63.2455532,8.60905727e-09,63.2455532,8.62138292e-09
66.2262243,8.60872704e-09,66.2262243,8.62102914e-09
69.3473701,8.60842583e-09,69.3473701,8.62070645e-09
72.615611,8.60815111e-09,72.615611,8.62041214e-09
76.0378793,8.60790054e-09,76.0378793,8.62014369e-09
79.6214341,8.60767199e-09,79.6214341,8.61989885e-09
83.3738767,8.60746354e-09,83.3738767,8.61967553e-09
87.3031664,8.60727342e-09,87.3031664,8.61947185e-09
91.4176379,8.60710001e-09,91.4176379,8.61928607e-09
95.7260185,8.60694185e-09,95.7260185,8.61911663e-09
100.237447,8.6067976e-09,100.237447,8.61896209e-09
104.961492,8.60666603e-09,104.961492,8.61882114e-09
109.908175,8.60654604e-09,109.908175,8.61869258e-09
115.087987,8.60643659e-09,115.087987,8.61857533e-09
120.511917,8.60633677e-09,120.511917,8.61846838e-09
126.191469,8.60624573e-09,126.191469,8.61837084e-09
132.13869,8.60616269e-09,132.13869,8.61828187e-09
