col0,col1,col2,col3
20.0,8.22232447e-09,20.0,8.23281195e-09
20.942571,8.21885091e-09,20.942571,8.22911467e-09
21.9295639,8.2156813e-09,21.9295639,8.22574117e-09
22.9630724,8.21278916e-09,22.9630724,8.22266319e-09
24.0452887,8.21015032e-09,24.0452887,8.21985494e-09
25.1785082,8.20774265e-09,25.1785082,8.21729286e-09
26.3651348,8.20554599e-09,26.3651348,8.21495541e-09
27.6076853,8.20354189e-09,27.6076853,8.21282297e-09
28.9087954,8.20171351e-09,28.9087954,8.21087758e-09
30.271225,8.2000455e-09,30.271225,8.20910288e-09
31.6978638,8.19852381e-09,31.6978638,8.2074839e-09
33.1917381,8.19713564e-09,33.1917381,8.20600703e-09
34.7560166,8.19586929e-09,34.7560166,8.20465979e-09
36.3940172,8.1947141e-09,36.3940172,8.20343082e-09
38.1092144,8.19366031e-09,38.1092144,8.20230976e-09
39.9052463,8.19269904e-09,39.9052463,8.20128715e-09
41.7859226,8.19182218e-09,41.7859226,8.20035434e-09
43.7552325,8.19102233e-09,43.7552325,8.19950346e-09
45.8173531,8.19029272e-09,45.8173531,8.19872732e-09
47.9766584,8.18962721e-09,47.9766584,8.19801936e-09
50.2377286,8.18902016e-09,50.2377286,8.1973736e-09
52.6053598,8.18846644e-09,52.6053598,8.19678457e-09
55.0845741,8.18796137e-09,55.0845741,8.1962473e-09
57.6806301,8.18750068e-09,57.6806301,8.19575724e-09
60.3990344,8.18708048e-09,60.3990344,8.19531025e-09
63.2455532,8.18669721e-09,63.2455532,8.19490255e-09
66.2262243,8.18634762e-09,66.2262243,8.19453067e-09
69.3473701,8.18602876e-09,69.3473701,8.19419149e-09
72.615611,8.18573793e-09,72.615611,8.19388212e-09
76.0378793,8.18547266e-09,76.0378793,8.19359994e-09
79.6214341,8.18523072e-09,79.6214341,8.19334257e-09
83.3738767,8.18501004e-09,83.3738767,8.19310783e-09
87.3031664,8.18480877e-09,87.3031664,8.19289372e-09
91.4176379,8.1846252e-09,91.4176379,8.19269844e-09
95.7260185,8.18445776e-09,95.7260185,8.19252033e-09
100.237447,8.18430505e-09,100.237447,8.19235788e-09
104.961492,8.18416576e-09,104.961492,8.19220972e-09
109.908175,8.18403873e-09,109.908175,8.19207458e-09
115.087987,8.18392286e-09,115.087987,8.19195133e-09
120.511917,8.18381719e-09,120.511917,8.19183891e-09
126.191469,8.1837208e-09,126.191469,8.19173637e-09
132.13869,8.18363289e-09,132.13869,8.19164286e-09
138.366194,8.18355271e-09,138.366194,8.19155756e-09
144.887192,8.18347958e-09,144.887192,8.19147976e-09
151.715515,8.18341288e-09,151.715515,8.1914088e-09
158.865647,8.18335204e-09,158.865647,8.19134408e-09
166.352754,8.18329656e-09,166.352754,8.19128505e-09
174.192718,8.18324594e-09,174.192718,8.1912312e-09
182.402168,8.18319978e-09,182.402168,8.19118208e-09
190.998517,8.18315767e-09,190.998517,8.19113728e-09
200.0,8.18311926e-09,200.0,8.19109641e-09
209.42571,8.18308422e-09,209.42571,8.19105912e-09
219.295639,8.18305226e-09,219.295639,8.19102511e-09
229.630724,8.1830231e-09,229.630724,8.19099408e-09
240.452887,8.1829965e-09,240.452887,8.19096577e-09
251.785082,8.18297223e-09,251.785082,8.19093993e-09
263.651348,8.18295009e-09,263.651348,8.19091635e-09
276.076853,8.18292988e-09,276.076853,8.19089484e-09
289.087954,8.18291144e-09,289.087954,8.1908752e-09
302.71225,8.18289461e-09,302.71225,8.19085726e-09
316.978638,8.18287924e-09,316.978638,8.19084089e-09
331.917381,8.18286521e-09,331.917381,8.19082593e-09
347.560166,8.1828524e-09,347.560166,8.19081227e-09
363.940172,8.1828407e-09,363.940172,8.19079978e-09
381.092144,8.18283e-09,381.092144,8.19078836e-09
399.052463,8.18282022e-09,399.052463,8.19077791e-09
417.859226,8.18281128e-09,417.859226,8.19076835e-09
437.552325,8.18280309e-09,437.552325,8.19075959e-09
458.173531,8.1827956e-09,458.173531,8.19075155e-09
479.766584,8.18278873e-09,479.766584,8.19074418e-09
502.377286,8.18278243e-09,502.377286,8.1907374e-09
526.053598,8.18277664e-09,526.053598,8.19073117e-09
550.845741,8.18277132e-09,550.845741,8.19072542e-09
576.806301,8.18276642e-09,576.806301,8.19072011e-09
603.990344,8.1827619e-09,603.990344,8.19071519e-09
632.455532,8.18275771e-09,632.455532,8.19071063e-09
662.262243,8.18275383e-09,662.262243,8.19070637e-09
693.473701,8.18275022e-09,693.473701,8.1907024e-09
726.15611,8.18274686e-09,726.15611,8.19069866e-09
760.378793,8.1827437e-09,760.378793,8.19069514e-09
796.214341,8.18274073e-09,796.214341,8.1906918e-09
833.738767,8.18273792e-09,833.738767,8.19068861e-09
873.031664,8.18273525e-09,873.031664,8.19068555e-09
914.176379,8.18273269e-09,914.176379,8.19068258e-09
957.260185,8.18273023e-09,957.260185,8.1906797e-09
1002.37447,8.18272783e-09,1002.37447,8.19067686e-09
1049.61492,8.18272548e-09,1049.61492,8.19067405e-09
1099.08175,8.18272317e-09,1099.08175,8.19067123e-09
1150.87987,8.18272087e-09,1150.87987,8.1906684e-09
1205.11917,8.18271855e-09,1205.11917,8.19066552e-09
1261.91469,8.18271621e-09,1261.91469,8.19066258e-09
1321.3869,8.18271383e-09,1321.3869,8.19065953e-09
1383.66194,8.18271137e-09,1383.66194,8.19065637e-09
1448.87192,8.18270883e-09,1448.87192,8.19065306e-09
1517.15515,8.18270617e-09,1517.15515,8.19064957e-09
1588.65647,8.18270338e-09,1588.65647,8.19064587e-09
1663.52754,8.18270044e-09,1663.52754,8.19064194e-09
1741.92718,8.18269731e-09,1741.92718,8.19063774e-09
1824.02168,8.18269397e-09,1824.02168,8.19063323e-09
1909.98517,8.1826904e-09,1909.98517,8.19062838e-09
2000.0,8.18268656e-09,2000.0,8.19062314e-09
2094.2571,8.18268242e-09,2094.2571,8.19061748e-09
2192.95639,8.18267795e-09,2192.95639,8.19061133e-09
2296.30724,8.1826731e-09,2296.30724,8.19060466e-09
2404.52887,8.18266784e-09,2404.52887,8.19059739e-09
2517.85082,8.18266212e-09,2517.85082,8.19058948e-09
2636.51348,8.1826559e-09,2636.51348,8.19058086e-09
2760.76853,8.18264911e-09,2760.76853,8.19057144e-09
2890.87954,8.18264171e-09,2890.87954,8.19056116e-09
3027.1225,8.18263362e-09,3027.1225,8.19054992e-09
3169.78638,8.18262479e-09,3169.78638,8.19053763e-09
3319.17381,8.18261514e-09,3319.17381,8.19052418e-09
3475.60166,8.18260458e-09,3475.60166,8.19050946e-09
3639.40172,8.18259302e-09,3639.40172,8.19049335e-09
3810.92144,8.18258037e-09,3810.92144,8.19047571e-09
3990.52463,8.18256652e-09,3990.52463,8.19045639e-09
4178.59226,8.18255135e-09,4178.59226,8.19043522e-09
4375.52325,8.18253474e-09,4375.52325,8.19041203e-09
4581.73531,8.18251653e-09,4581.73531,8.19038662e-09
4797.66584,8.18249659e-09,4797.66584,8.19035877e-09
5023.77286,8.18247473e-09,5023.77286,8.19032825e-09
5260.53598,8.18245078e-09,5260.53598,8.1902948e-09
5508.45741,8.18242453e-09,5508.45741,8.19025814e-09
5768.06301,8.18239576e-09,5768.06301,8.19021795e-09
6039.90344,8.18236422e-09,6039.90344,8.19017389e-09
6324.55532,8.18232965e-09,6324.55532,8.1901256e-09
6622.62243,8.18229175e-09,6622.62243,8.19007266e-09
6934.73701,8.18225021e-09,6934.73701,8.19001462e-09
7261.5611,8.18220467e-09,7261.5611,8.189951e-09
7603.78793,8.18215474e-09,7603.78793,8.18988125e-09
7962.14341,8.18210001e-09,7962.14341,8.18980479e-09
8337.38767,8.18204002e-09,8337.38767,8.18972097e-09
8730.31664,8.18197424e-09,8730.31664,8.18962908e-09
9141.76379,8.18190214e-09,9141.76379,8.18952834e-09
9572.60185,8.18182309e-09,9572.60185,8.18941791e-09
10023.7447,8.18173643e-09,10023.7447,8.18929685e-09
10496.1492,8.18164144e-09,10496.1492,8.18916414e-09
10990.8175,8.1815373e-09,10990.8175,8.18901867e-09
11508.7987,8.18142314e-09,11508.7987,8.18885921e-09
12051.1917,8.181298e-09,12051.1917,8.18868441e-09
12619.1469,8.18116083e-09,12619.1469,8.18849281e-09
13213.869,8.18101047e-09,13213.869,8.18828279e-09
13836.6194,8.18084566e-09,13836.6194,8.18805261e-09
14488.7192,8.18066502e-09,14488.7192,8.18780032e-09
15171.5515,8.18046702e-09,15171.5515,8.18752381e-09
15886.5647,8.18025002e-09,15886.5647,8.18722078e-09
16635.2754,8.18001219e-09,16635.2754,8.18688869e-09
17419.2718,8.17975155e-09,17419.2718,8.18652478e-09
18240.2168,8.17946593e-09,18240.2168,8.18612601e-09
19099.8517,8.17915294e-09,19099.8517,8.18568909e-09
20000.0,8.17880999e-09,20000.0,8.18521038e-09
