col0,col1
20.0,75.5364691
22.4403691,75.8424263
25.1785082,76.1991697
28.2507509,76.6099815
31.6978638,77.0769195
35.5655882,77.6005937
39.9052463,78.1800782
44.7744228,78.8129739
50.2377286,79.4956077
56.3676586,80.2233225
63.2455532,80.990806
70.9626778,81.7924015
79.6214341,82.6223636
89.3367184,83.4750385
100.237447,84.3449643
112.468265,85.2269009
126.191469,86.1158027
141.589157,87.006753
158.865647,87.8948742
178.250188,88.7752322
200.0,89.6427495
224.403691,90.4921433
251.785082,91.3179053
282.507509,92.1143402
316.978638,92.875677
355.655882,93.5962585
399.052463,94.2708066
447.744228,94.8947353
502.377286,95.4644749
563.676586,95.9777485
632.455532,96.4337487
709.626778,96.8331725
796.214341,97.1781044
893.367184,97.471768
1002.37447,97.7181901
1124.68265,97.9218344
1261.91469,98.0872524
1415.89157,98.2187876
1588.65647,98.3203475
1782.50188,98.3952432
2000.0,98.4460856
2244.03691,98.4747244
2517.85082,98.4822128
2825.07509,98.4687875
3169.78638,98.4338543
3556.55882,98.3759769
3990.52463,98.2928696
4477.44228,98.1814012
5023.77286,98.0376203
5636.76586,97.8568154
6324.55532,97.6336255
7096.26778,97.3622117
7962.14341,97.0364917
8933.67184,96.6504267
10023.7447,96.1983301
11246.8265,95.6751547
12619.1469,95.0767088
14158.9157,94.3997618
15886.5647,93.6420262
17825.0188,92.802035
20000.0,91.8789665
22440.3691,90.8724798
25178.5082,89.7826213
28250.7509,88.6098346
31697.8638,87.3550706
35565.5882,86.0199609
39905.2463,84.6069912
44774.4228,83.1196139
50237.7286,81.5622513
56367.6586,79.9401769
63245.5532,78.2592942
70962.6778,76.5258548
79621.4341,74.7461684
89336.7184,72.9263477
100237.447,71.0721167
112468.265,69.1886951
126191.469,67.2807569
141589.157,65.352454
158865.647,63.4074909
178250.188,61.4492345
200000.0,59.4808449
