c124,c137,rsrc,cwire,fcross_hz,pm_deg,tdb_10hz
470p,22p,1m,1f,1.00125E+06,69.3048,72.2855
470p,22p,1m,100p,1.00442E+06,68.7433,72.2855
470p,22p,1m,220p,1.00817E+06,68.062,72.2855
470p,22p,1m,470p,1.01581E+06,66.6177,72.2855
470p,22p,1m,1n,1.03125E+06,63.4464,72.2855
470p,22p,1m,2.2n,1.05934E+06,55.8689,72.2855
470p,22p,1m,4.7n,1.06235E+06,40.9633,72.2854
470p,22p,430,1f,1.00124E+06,69.185,72.2855
470p,22p,430,100p,1.0044E+06,68.6231,72.2855
470p,22p,430,220p,1.00816E+06,67.9414,72.2855
470p,22p,430,470p,1.0158E+06,66.4962,72.2855
470p,22p,430,1n,1.03124E+06,63.323,72.2855
470p,22p,430,2.2n,1.05932E+06,55.7423,72.2855
470p,22p,430,4.7n,1.06234E+06,40.8365,72.2854
470p,47p,1m,1f,1.00187E+06,69.4141,72.2855
470p,47p,1m,100p,1.00502E+06,68.8534,72.2855
470p,47p,1m,220p,1.00875E+06,68.1732,72.2855
470p,47p,1m,470p,1.01636E+06,66.7311,72.2855
470p,47p,1m,1n,1.03173E+06,63.5646,72.2855
470p,47p,1m,2.2n,1.05952E+06,56.0013,72.2855
470p,47p,1m,4.7n,1.06176E+06,41.1307,72.2854
470p,47p,430,1f,1.00185E+06,69.2942,72.2855
470p,47p,430,100p,1.005E+06,68.7331,72.2855
470p,47p,430,220p,1.00874E+06,68.0525,72.2855
470p,47p,430,470p,1.01635E+06,66.6095,72.2855
470p,47p,430,1n,1.03172E+06,63.4412,72.2855
470p,47p,430,2.2n,1.05951E+06,55.8748,72.2855
470p,47p,430,4.7n,1.06175E+06,41.004,72.2854
560p,22p,1m,1f,842680,70.0017,72.2823
560p,22p,1m,100p,844533,69.5456,72.2823
560p,22p,1m,220p,846721,68.9943,72.2823
560p,22p,1m,470p,851146,67.8328,72.2823
560p,22p,1m,1n,860086,65.3111,72.2823
560p,22p,1m,2.2n,875907,59.4173,72.2823
560p,22p,1m,4.7n,880761,47.5348,72.2822
560p,22p,430,1f,842674,69.9008,72.2823
560p,22p,430,100p,844526,69.4445,72.2823
560p,22p,430,220p,846714,68.8929,72.2823
560p,22p,430,470p,851139,67.7309,72.2823
560p,22p,430,1n,860079,65.2083,72.2823
560p,22p,430,2.2n,875900,59.3126,72.2823
560p,22p,430,4.7n,880755,47.4295,72.2822
560p,47p,1m,1f,842940,70.0861,72.2823
560p,47p,1m,100p,844785,69.6304,72.2823
560p,47p,1m,220p,846964,69.0798,72.2823
560p,47p,1m,470p,851374,67.9194,72.2823
560p,47p,1m,1n,860262,65.4009,72.2823
560p,47p,1m,2.2n,875937,59.5148,72.2823
560p,47p,1m,4.7n,880430,47.6496,72.2822
560p,47p,430,1f,842933,69.9852,72.2823
560p,47p,430,100p,844778,69.5293,72.2823
560p,47p,430,220p,846957,68.9784,72.2823
560p,47p,430,470p,851367,67.8176,72.2823
560p,47p,430,1n,860254,65.298,72.2823
560p,47p,430,2.2n,875929,59.4101,72.2823
560p,47p,430,4.7n,880423,47.5445,72.2822
680p,22p,1m,1f,695680,70.6488,72.2771
680p,22p,1m,100p,696728,70.283,72.2771
680p,22p,1m,220p,697960,69.8422,72.2771
680p,22p,1m,470p,700440,68.9173,72.2771
680p,22p,1m,1n,705266,66.9314,72.2771
