c124,c137,riso,mode,rsrc,ccable,fcross_hz,pm_deg,tdb_10hz
470p,22p,47,1g,1m,1f,959802,63.0161,72.3992
470p,22p,47,1g,1m,100p,962115,62.4759,72.3992
470p,22p,47,1g,1m,470p,966159,60.5363,72.3992
470p,22p,47,1g,1m,1n,959725,58.2268,72.3992
470p,22p,47,1g,1m,1.5n,944423,56.7755,72.3993
470p,22p,47,1g,1m,2.2n,917614,55.7907,72.3993
470p,22p,47,1g,1m,3.3n,878737,55.6737,72.3993
470p,22p,47,1g,1m,4.7n,842838,56.4623,72.3993
470p,22p,47,1g,2.5k,1f,959653,62.3526,72.3992
470p,22p,47,1g,2.5k,100p,961965,61.8108,72.3992
470p,22p,47,1g,2.5k,470p,966007,59.8688,72.3992
470p,22p,47,1g,2.5k,1n,959579,57.564,72.3992
470p,22p,47,1g,2.5k,1.5n,944289,56.1232,72.3993
470p,22p,47,1g,2.5k,2.2n,917495,55.1566,72.3993
470p,22p,47,1g,2.5k,3.3n,878637,55.066,72.3993
470p,22p,47,1g,2.5k,4.7n,842750,55.879,72.3993
470p,22p,47,0.1,1m,1f,308478,86.0157,61.8675
470p,22p,47,0.1,1m,100p,308549,85.8681,61.8675
470p,22p,47,0.1,1m,470p,308668,85.3223,61.8675
470p,22p,47,0.1,1m,1n,308448,84.5506,61.8675
470p,22p,47,0.1,1m,1.5n,307835,83.847,61.8675
470p,22p,47,0.1,1m,2.2n,306378,82.9252,61.8675
470p,22p,47,0.1,1m,3.3n,302974,81.673,61.8675
470p,22p,47,0.1,1m,4.7n,297557,80.4642,61.8675
470p,22p,47,0.1,2.5k,1f,308473,85.8017,61.8675
470p,22p,47,0.1,2.5k,100p,308544,85.654,61.8675
470p,22p,47,0.1,2.5k,470p,308663,85.1081,61.8675
470p,22p,47,0.1,2.5k,1n,308443,84.3366,61.8675
470p,22p,47,0.1,2.5k,1.5n,307830,83.6335,61.8675
470p,22p,47,0.1,2.5k,2.2n,306373,82.7127,61.8675
470p,22p,47,0.1,2.5k,3.3n,302970,81.4629,61.8675
470p,22p,47,0.1,2.5k,4.7n,297552,80.2579,61.8675
470p,22p,68,1g,1m,1f,959802,63.0161,72.3992
470p,22p,68,1g,1m,100p,962012,62.4774,72.3992
470p,22p,68,1g,1m,470p,963863,60.6102,72.3993
470p,22p,68,1g,1m,1n,951575,58.7134,72.3993
470p,22p,68,1g,1m,1.5n,932395,57.8641,72.3993
470p,22p,68,1g,1m,2.2n,905796,57.658,72.3993
470p,22p,68,1g,1m,3.3n,874548,58.2503,72.3993
470p,22p,68,1g,1m,4.7n,850635,59.2619,72.3993
470p,22p,68,1g,2.5k,1f,959653,62.3526,72.3992
470p,22p,68,1g,2.5k,100p,961862,61.8125,72.3992
470p,22p,68,1g,2.5k,470p,963713,59.9443,72.3993
470p,22p,68,1g,2.5k,1n,951437,58.056,72.3993
470p,22p,68,1g,2.5k,1.5n,932269,57.2197,72.3993
470p,22p,68,1g,2.5k,2.2n,905683,57.0317,72.3993
470p,22p,68,1g,2.5k,3.3n,874445,57.6453,72.3993
470p,22p,68,1g,2.5k,4.7n,850541,58.6732,72.3993
470p,22p,68,0.1,1m,1f,308478,86.0157,61.8675
470p,22p,68,0.1,1m,100p,308546,85.8682,61.8675
470p,22p,68,0.1,1m,470p,308597,85.324,61.8675
470p,22p,68,0.1,1m,1n,308135,84.5657,61.8675
470p,22p,68,0.1,1m,1.5n,307167,83.896,61.8675
470p,22p,68,0.1,1m,2.2n,305102,83.0663,61.8675
470p,22p,68,0.1,1m,3.3n,300806,82.0606,61.8675
470p,22p,68,0.1,1m,4.7n,294796,81.2753,61.8675
470p,22p,68,0.1,2.5k,1f,308473,85.8017,61.8675
470p,22p,68,0.1,2.5k,100p,308541,85.6542,61.8675
470p,22p,68,0.1,2.5k,470p,308592,85.1099,61.8675
470p,22p,68,0.1,2.5k,1n,308130,84.352,61.8675
470p,22p,68,0.1,2.5k,1.5n,307162,83.683,61.8675
470p,22p,68,0.1,2.5k,2.2n,305097,82.8547,61.8675
470p,22p,68,0.1,2.5k,3.3n,300801,81.852,61.8675
470p,22p,68,0.1,2.5k,4.7n,294792,81.0708,61.8675
470p,47p,47,1g,1m,1f,943108,64.5687,72.3992
470p,47p,47,1g,1m,100p,945239,64.0483,72.3992
470p,47p,47,1g,1m,470p,948938,62.1657,72.3992
470p,47p,47,1g,1m,1n,942929,59.8742,72.3992
470p,47p,47,1g,1m,1.5n,928510,58.3795,72.3993
470p,47p,47,1g,1m,2.2n,903124,57.2852,72.3993
470p,47p,47,1g,1m,3.3n,865849,56.9998,72.3993
470p,47p,47,1g,1m,4.7n,831082,57.6403,72.3993
470p,47p,47,1g,2.5k,1f,942965,63.9164,72.3992
