c124,c137,rsrc,cwire,pm_deg
4.465E-10,3.135E-10,1m,1f,69.1332
4.465E-10,3.135E-10,1m,100p,68.5347
4.465E-10,3.135E-10,1m,220p,67.8077
4.465E-10,3.135E-10,1m,470p,66.258
4.465E-10,3.135E-10,1m,700p,64.7963
4.465E-10,3.135E-10,1m,1n,62.8409
4.465E-10,3.135E-10,1m,2.2n,54.6058
4.465E-10,3.135E-10,1m,4.7n,38.7526
4.465E-10,3.135E-10,430,1f,69.0063
4.465E-10,3.135E-10,430,100p,68.4075
4.465E-10,3.135E-10,430,220p,67.6799
4.465E-10,3.135E-10,430,470p,66.1291
4.465E-10,3.135E-10,430,700p,64.6665
4.465E-10,3.135E-10,430,1n,62.7099
4.465E-10,3.135E-10,430,2.2n,54.471
4.465E-10,3.135E-10,430,4.7n,38.6184
4.465E-10,3.465E-10,1m,1f,69.1176
4.465E-10,3.465E-10,1m,100p,68.5191
4.465E-10,3.465E-10,1m,220p,67.7919
4.465E-10,3.465E-10,1m,470p,66.2417
4.465E-10,3.465E-10,1m,700p,64.7797
4.465E-10,3.465E-10,1m,1n,62.8236
4.465E-10,3.465E-10,1m,2.2n,54.5857
4.465E-10,3.465E-10,1m,4.7n,38.7294
4.465E-10,3.465E-10,430,1f,68.9908
4.465E-10,3.465E-10,430,100p,68.3918
4.465E-10,3.465E-10,430,220p,67.6641
4.465E-10,3.465E-10,430,470p,66.1128
4.465E-10,3.465E-10,430,700p,64.6499
4.465E-10,3.465E-10,430,1n,62.6926
4.465E-10,3.465E-10,430,2.2n,54.4508
4.465E-10,3.465E-10,430,4.7n,38.5951
4.935E-10,3.135E-10,1m,1f,69.5868
4.935E-10,3.135E-10,1m,100p,69.0562
4.935E-10,3.135E-10,1m,220p,68.4133
4.935E-10,3.135E-10,1m,470p,67.0528
4.935E-10,3.135E-10,1m,700p,65.775
4.935E-10,3.135E-10,1m,1n,64.0743
4.935E-10,3.135E-10,1m,2.2n,57.0125
4.935E-10,3.135E-10,1m,4.7n,43.0689
4.935E-10,3.135E-10,430,1f,69.472
4.935E-10,3.135E-10,430,100p,68.9411
4.935E-10,3.135E-10,430,220p,68.2977
4.935E-10,3.135E-10,430,470p,66.9365
4.935E-10,3.135E-10,430,700p,65.6579
4.935E-10,3.135E-10,430,1n,63.9565
4.935E-10,3.135E-10,430,2.2n,56.8919
4.935E-10,3.135E-10,430,4.7n,42.9483
4.935E-10,3.465E-10,1m,1f,69.5722
4.935E-10,3.465E-10,1m,100p,69.0415
4.935E-10,3.465E-10,1m,220p,68.3984
4.935E-10,3.465E-10,1m,470p,67.0377
4.935E-10,3.465E-10,1m,700p,65.7594
4.935E-10,3.465E-10,1m,1n,64.0584
4.935E-10,3.465E-10,1m,2.2n,56.9945
4.935E-10,3.465E-10,1m,4.7n,43.0483
4.935E-10,3.465E-10,430,1f,69.4573
4.935E-10,3.465E-10,430,100p,68.9263
4.935E-10,3.465E-10,430,220p,68.2829
4.935E-10,3.465E-10,430,470p,66.9213
4.935E-10,3.465E-10,430,700p,65.6423
4.935E-10,3.465E-10,430,1n,63.9405
4.935E-10,3.465E-10,430,2.2n,56.8738
4.935E-10,3.465E-10,430,4.7n,42.9276
