col0,col1,col2,col3
1.0,72.408979,1.0,179.707983
1.02329299,72.4088406,1.02329299,179.703045
1.04712855,72.408706,1.04712855,179.697981
1.07151931,72.408575,1.07151931,179.692787
1.0964782,72.4084477,1.0964782,179.687459
1.12201845,72.4083239,1.12201845,179.681993
1.14815362,72.4082037,1.14815362,179.676385
1.17489755,72.408087,1.17489755,179.670631
1.20226443,72.4079738,1.20226443,179.664726
1.23026877,72.4078639,1.23026877,179.658666
1.25892541,72.4077572,1.25892541,179.652447
1.28824955,72.4076538,1.28824955,179.646064
1.31825674,72.4075535,1.31825674,179.639513
1.34896288,72.4074563,1.34896288,179.63279
1.38038426,72.4073621,1.38038426,179.62589
1.41253754,72.4072707,1.41253754,179.618808
1.44543977,72.4071821,1.44543977,179.61154
1.47910839,72.4070963,1.47910839,179.604081
1.51356125,72.4070131,1.51356125,179.596426
1.54881662,72.4069324,1.54881662,179.588571
1.58489319,72.4068541,1.58489319,179.58051
1.6218101,72.4067782,1.6218101,179.572239
1.65958691,72.4067046,1.65958691,179.563753
1.69824365,72.4066331,1.69824365,179.555046
1.73780083,72.4065637,1.73780083,179.546113
1.77827941,72.4064963,1.77827941,179.536948
1.81970086,72.4064307,1.81970086,179.527548
1.86208714,72.406367,1.86208714,179.517905
1.90546072,72.4063049,1.90546072,179.508014
1.9498446,72.4062445,1.9498446,179.49787
1.99526231,72.4061856,1.99526231,179.487467
2.04173794,72.4061281,2.04173794,179.476799
2.08929613,72.4060719,2.08929613,179.465859
2.13796209,72.406017,2.13796209,179.454642
2.18776162,72.4059632,2.18776162,179.443142
2.23872114,72.4059105,2.23872114,179.431351
2.29086765,72.4058588,2.29086765,179.419263
2.34422882,72.4058079,2.34422882,179.406872
2.39883292,72.4057579,2.39883292,179.394171
2.45470892,72.4057085,2.45470892,179.381152
2.51188643,72.4056598,2.51188643,179.367808
2.57039578,72.4056116,2.57039578,179.354133
2.63026799,72.4055639,2.63026799,179.340119
2.6915348,72.4055164,2.6915348,179.325757
2.7542287,72.4054693,2.7542287,179.311041
2.81838293,72.4054223,2.81838293,179.295962
2.8840315,72.4053754,2.8840315,179.280512
2.95120923,72.4053285,2.95120923,179.264683
3.01995172,72.4052814,3.01995172,179.248466
3.09029543,72.4052342,3.09029543,179.231852
3.16227766,72.4051867,3.16227766,179.214833
3.23593657,72.4051388,3.23593657,179.197398
3.31131121,72.4050904,3.31131121,179.17954
3.38844156,72.4050414,3.38844156,179.161247
3.4673685,72.4049917,3.4673685,179.142511
3.54813389,72.4049412,3.54813389,179.123322
3.63078055,72.4048899,3.63078055,179.103668
3.71535229,72.4048375,3.71535229,179.08354
3.80189396,72.4047841,3.80189396,179.062926
3.89045145,72.4047294,3.89045145,179.041816
3.98107171,72.4046733,3.98107171,179.020199
4.07380278,72.4046159,4.07380278,178.998062
4.16869383,72.4045568,4.16869383,178.975394
4.26579519,72.404496,4.26579519,178.952183
4.36515832,72.4044334,4.36515832,178.928416
4.46683592,72.4043688,4.46683592,178.90408
4.5708819,72.4043021,4.5708819,178.879164
4.67735141,72.4042332,4.67735141,178.853653
4.78630092,72.4041618,4.78630092,178.827533
4.89778819,72.4040879,4.89778819,178.800791
5.01187234,72.4040113,5.01187234,178.773412
5.12861384,72.4039317,5.12861384,178.745383
5.2480746,72.4038491,5.2480746,178.716687
5.37031796,72.4037633,5.37031796,178.687309
5.49540874,72.403674,5.49540874,178.657235
5.62341325,72.4035811,5.62341325,178.626446
5.75439937,72.4034843,5.75439937,178.594929
5.88843655,72.4033835,5.88843655,178.562664
6.02559586,72.4032784,6.02559586,178.529636
6.16595002,72.4031688,6.16595002,178.495826
6.30957344,72.4030544,6.30957344,178.461216
6.45654229,72.402935,6.45654229,178.425788
6.60693448,72.4028103,6.60693448,178.389523
6.76082975,72.40268,6.76082975,178.352402
6.91830971,72.4025439,6.91830971,178.314404
7.07945784,72.4024016,7.07945784,178.275509
7.2443596,72.4022528,7.2443596,178.235697
7.41310241,72.4020971,7.41310241,178.194946
7.58577575,72.4019343,7.58577575,178.153234
7.76247117,72.4017638,7.76247117,178.110539
7.94328235,72.4015854,7.94328235,178.066839
8.12830516,72.4013987,8.12830516,178.022108
8.31763771,72.401203,8.31763771,177.976325
8.51138038,72.4009982,8.51138038,177.929463
8.7096359,72.4007835,8.7096359,177.881499
8.91250938,72.4005587,8.91250938,177.832405
9.12010839,72.400323,9.12010839,177.782157
9.33254301,72.400076,9.33254301,177.730726
9.54992586,72.3998171,9.54992586,177.678086
9.77237221,72.3995456,9.77237221,177.624208
10.0,72.3992609,10.0,177.569063
10.2329299,72.3989624,10.2329299,177.512622
10.4712855,72.3986493,10.4712855,177.454854
10.7151931,72.3983208,10.7151931,177.395728
10.964782,72.3979763,10.964782,177.335213
11.2201845,72.3976147,11.2201845,177.273276
11.4815362,72.3972353,11.4815362,177.209884
11.7489755,72.3968372,11.7489755,177.145003
12.0226443,72.3964193,12.0226443,177.078598
12.3026877,72.3959807,12.3026877,177.010634
12.5892541,72.3955202,12.5892541,176.941074
12.8824955,72.3950368,12.8824955,176.869881
13.1825674,72.3945292,13.1825674,176.797018
13.4896288,72.3939963,13.4896288,176.722444
13.8038426,72.3934365,13.8038426,176.64612
14.1253754,72.3928487,14.1253754,176.568006
14.4543977,72.3922313,14.4543977,176.48806
14.7910839,72.3915828,14.7910839,176.40624
15.1356125,72.3909016,15.1356125,176.322501
15.4881662,72.3901859,15.4881662,176.2368
15.8489319,72.389434,15.8489319,176.149091
16.218101,72.388644,16.218101,176.059328
16.5958691,72.387814,16.5958691,175.967463
16.9824365,72.3869418,16.9824365,175.873448
17.3780083,72.3860254,17.3780083,175.777233
17.7827941,72.3850623,17.7827941,175.678769
18.1970086,72.3840502,18.1970086,175.578004
18.6208714,72.3829866,18.6208714,175.474884
19.0546072,72.3818688,19.0546072,175.369357
19.498446,72.380694,19.498446,175.261368
19.9526231,72.3794594,19.9526231,175.150861
20.4173794,72.3781618,20.4173794,175.037779
20.8929613,72.3767981,20.8929613,174.922064
21.3796209,72.3753649,21.3796209,174.803657
21.8776162,72.3738587,21.8776162,174.682498
22.3872114,72.3722758,22.3872114,174.558525
22.9086765,72.3706123,22.9086765,174.431677
23.4422882,72.3688642,23.4422882,174.301888
23.9883292,72.3670273,23.9883292,174.169095
24.5470892,72.3650972,24.5470892,174.033232
25.1188643,72.3630692,25.1188643,173.894231
25.7039578,72.3609384,25.7039578,173.752024
26.3026799,72.3587,26.3026799,173.606542
26.915348,72.3563485,26.915348,173.457715
27.542287,72.3538784,27.542287,173.30547
28.1838293,72.3512841,28.1838293,173.149734
28.840315,72.3485595,28.840315,172.990435
29.5120923,72.3456983,29.5120923,172.827496
30.1995172,72.342694,30.1995172,172.660842
30.9029543,72.3395399,30.9029543,172.490395
31.6227766,72.3362286,31.6227766,172.316076
32.3593657,72.332753,32.3593657,172.137806
33.1131121,72.3291053,33.1131121,171.955505
33.8844156,72.3252773,33.8844156,171.76909
34.673685,72.3212608,34.673685,171.578478
35.4813389,72.317047,35.4813389,171.383587
36.3078055,72.3126269,36.3078055,171.184331
37.1535229,72.3079909,37.1535229,170.980624
38.0189396,72.3031293,38.0189396,170.772379
38.9045145,72.2980318,38.9045145,170.55951
39.8107171,72.2926877,39.8107171,170.341926
40.7380278,72.2870861,40.7380278,170.11954
41.6869383,72.2812153,41.6869383,169.89226
42.6579519,72.2750634,42.6579519,169.659996
43.6515832,72.2686179,43.6515832,169.422657
44.6683592,72.2618659,44.6683592,169.18015
45.708819,72.254794,45.708819,168.932383
46.7735141,72.2473881,46.7735141,168.679262
47.8630092,72.2396339,47.8630092,168.420694
48.9778819,72.2315162,48.9778819,168.156586
50.1187234,72.2230194,50.1187234,167.886844
51.2861384,72.2141273,51.2861384,167.611373
52.480746,72.204823,52.480746,167.330081
53.7031796,72.1950892,53.7031796,167.042872
54.9540874,72.1849077,54.9540874,166.749655
56.2341325,72.1742598,56.2341325,166.450335
57.5439937,72.1631261,57.5439937,166.144822
58.8843655,72.1514864,58.8843655,165.833024
60.2559586,72.13932,60.2559586,165.51485
61.6595002,72.1266053,61.6595002,165.190211
63.0957344,72.1133201,63.0957344,164.85902
64.5654229,72.0994413,64.5654229,164.521191
66.0693448,72.0849451,66.0693448,164.176638
67.6082975,72.0698071,67.6082975,163.825281
69.1830971,72.0540018,69.1830971,163.46704
70.7945784,72.0375032,70.7945784,163.101836
