col0,col1,col2,col3
1.0,61.8761775,1.0,179.725326
1.02329299,61.8760478,1.02329299,179.720676
1.04712855,61.8759215,1.04712855,179.715907
1.07151931,61.8757987,1.07151931,179.711017
1.0964782,61.8756794,1.0964782,179.706001
1.12201845,61.8755635,1.12201845,179.700854
1.14815362,61.8754508,1.14815362,179.695574
1.17489755,61.8753415,1.17489755,179.690156
1.20226443,61.8752354,1.20226443,179.684597
1.23026877,61.8751325,1.23026877,179.678892
1.25892541,61.8750326,1.25892541,179.673037
1.28824955,61.8749358,1.28824955,179.667028
1.31825674,61.874842,1.31825674,179.660861
1.34896288,61.874751,1.34896288,179.654531
1.38038426,61.8746628,1.38038426,179.648035
1.41253754,61.8745774,1.41253754,179.641369
1.44543977,61.8744946,1.44543977,179.634527
1.47910839,61.8744144,1.47910839,179.627505
1.51356125,61.8743366,1.51356125,179.620299
1.54881662,61.8742613,1.54881662,179.612905
1.58489319,61.8741883,1.58489319,179.605317
1.6218101,61.8741175,1.6218101,179.597532
1.65958691,61.8740488,1.65958691,179.589543
1.69824365,61.8739822,1.69824365,179.581347
1.73780083,61.8739176,1.73780083,179.572939
1.77827941,61.8738548,1.77827941,179.564313
1.81970086,61.8737939,1.81970086,179.555464
1.86208714,61.8737347,1.86208714,179.546388
1.90546072,61.873677,1.90546072,179.537078
1.9498446,61.873621,1.9498446,179.52753
1.99526231,61.8735664,1.99526231,179.517738
2.04173794,61.8735132,2.04173794,179.507697
2.08929613,61.8734612,2.08929613,179.4974
2.13796209,61.8734105,2.13796209,179.486842
2.18776162,61.8733609,2.18776162,179.476018
2.23872114,61.8733123,2.23872114,179.46492
2.29086765,61.8732647,2.29086765,179.453543
2.34422882,61.873218,2.34422882,179.441881
2.39883292,61.873172,2.39883292,179.429926
2.45470892,61.8731268,2.45470892,179.417673
2.51188643,61.8730822,2.51188643,179.405114
2.57039578,61.8730382,2.57039578,179.392243
2.63026799,61.8729946,2.63026799,179.379053
2.6915348,61.8729515,2.6915348,179.365537
2.7542287,61.8729086,2.7542287,179.351686
2.81838293,61.872866,2.81838293,179.337494
2.8840315,61.8728235,2.8840315,179.322953
2.95120923,61.872781,2.95120923,179.308056
3.01995172,61.8727386,3.01995172,179.292793
3.09029543,61.872696,3.09029543,179.277156
3.16227766,61.8726532,3.16227766,179.261138
3.23593657,61.8726102,3.23593657,179.24473
3.31131121,61.8725668,3.31131121,179.227922
3.38844156,61.8725229,3.38844156,179.210706
3.4673685,61.8724785,3.4673685,179.193073
3.54813389,61.8724335,3.54813389,179.175013
3.63078055,61.8723878,3.63078055,179.156516
3.71535229,61.8723412,3.71535229,179.137572
3.80189396,61.8722937,3.80189396,179.118172
3.89045145,61.8722452,3.89045145,179.098304
3.98107171,61.8721955,3.98107171,179.077959
4.07380278,61.8721446,4.07380278,179.057125
4.16869383,61.8720924,4.16869383,179.035791
4.26579519,61.8720388,4.26579519,179.013946
4.36515832,61.8719836,4.36515832,178.991578
4.46683592,61.8719267,4.46683592,178.968675
4.5708819,61.8718679,4.5708819,178.945225
4.67735141,61.8718073,4.67735141,178.921216
4.78630092,61.8717446,4.78630092,178.896633
4.89778819,61.8716797,4.89778819,178.871465
5.01187234,61.8716124,5.01187234,178.845698
5.12861384,61.8715427,5.12861384,178.819318
5.2480746,61.8714703,5.2480746,178.792311
5.37031796,61.8713951,5.37031796,178.764663
5.49540874,61.8713169,5.49540874,178.736358
5.62341325,61.8712356,5.62341325,178.707382
5.75439937,61.871151,5.75439937,178.677719
5.88843655,61.8710628,5.88843655,178.647353
6.02559586,61.8709709,6.02559586,178.616268
6.16595002,61.8708751,6.16595002,178.584448
6.30957344,61.8707752,6.30957344,178.551875
6.45654229,61.8706709,6.45654229,178.518531
6.60693448,61.870562,6.60693448,178.4844
6.76082975,61.8704483,6.76082975,178.449463
6.91830971,61.8703294,6.91830971,178.4137
7.07945784,61.8702052,7.07945784,178.377094
7.2443596,61.8700753,7.2443596,178.339624
7.41310241,61.8699395,7.41310241,178.30127
7.58577575,61.8697973,7.58577575,178.262011
7.76247117,61.8696486,7.76247117,178.221828
7.94328235,61.8694929,7.94328235,178.180697
8.12830516,61.8693299,8.12830516,178.138597
8.31763771,61.8691593,8.31763771,178.095505
8.51138038,61.8689805,8.51138038,178.051399
8.7096359,61.8687932,8.7096359,178.006254
