col0,col1,col2,col3
1.0,61.8761772,1.0,179.725303
1.02329299,61.8760475,1.02329299,179.720652
1.04712855,61.8759213,1.04712855,179.715884
1.07151931,61.8757985,1.07151931,179.710993
1.0964782,61.8756791,1.0964782,179.705976
1.12201845,61.8755632,1.12201845,179.700829
1.14815362,61.8754506,1.14815362,179.695548
1.17489755,61.8753412,1.17489755,179.69013
1.20226443,61.8752351,1.20226443,179.68457
1.23026877,61.8751322,1.23026877,179.678864
1.25892541,61.8750323,1.25892541,179.673008
1.28824955,61.8749355,1.28824955,179.666999
1.31825674,61.8748417,1.31825674,179.660831
1.34896288,61.8747507,1.34896288,179.654501
1.38038426,61.8746625,1.38038426,179.648005
1.41253754,61.8745771,1.41253754,179.641337
1.44543977,61.8744943,1.44543977,179.634495
1.47910839,61.8744141,1.47910839,179.627472
1.51356125,61.8743363,1.51356125,179.620266
1.54881662,61.874261,1.54881662,179.612871
1.58489319,61.8741879,1.58489319,179.605282
1.6218101,61.8741171,1.6218101,179.597496
1.65958691,61.8740485,1.65958691,179.589507
1.69824365,61.8739819,1.69824365,179.58131
1.73780083,61.8739172,1.73780083,179.5729
1.77827941,61.8738545,1.77827941,179.564273
1.81970086,61.8737935,1.81970086,179.555424
1.86208714,61.8737343,1.86208714,179.546347
1.90546072,61.8736767,1.90546072,179.537036
1.9498446,61.8736206,1.9498446,179.527487
1.99526231,61.873566,1.99526231,179.517694
2.04173794,61.8735128,2.04173794,179.507652
2.08929613,61.8734608,2.08929613,179.497354
2.13796209,61.8734101,2.13796209,179.486796
2.18776162,61.8733605,2.18776162,179.47597
2.23872114,61.8733119,2.23872114,179.464871
2.29086765,61.8732643,2.29086765,179.453493
2.34422882,61.8732176,2.34422882,179.441829
2.39883292,61.8731716,2.39883292,179.429874
2.45470892,61.8731264,2.45470892,179.417619
2.51188643,61.8730818,2.51188643,179.40506
2.57039578,61.8730378,2.57039578,179.392188
2.63026799,61.8729942,2.63026799,179.378996
2.6915348,61.872951,2.6915348,179.365478
2.7542287,61.8729082,2.7542287,179.351626
2.81838293,61.8728655,2.81838293,179.337433
2.8840315,61.872823,2.8840315,179.322891
2.95120923,61.8727806,2.95120923,179.307991
3.01995172,61.8727381,3.01995172,179.292727
3.09029543,61.8726955,3.09029543,179.277089
3.16227766,61.8726528,3.16227766,179.26107
3.23593657,61.8726097,3.23593657,179.24466
3.31131121,61.8725663,3.31131121,179.22785
3.38844156,61.8725225,3.38844156,179.210633
3.4673685,61.8724781,3.4673685,179.192998
3.54813389,61.872433,3.54813389,179.174936
3.63078055,61.8723873,3.63078055,179.156437
3.71535229,61.8723407,3.71535229,179.137492
3.80189396,61.8722932,3.80189396,179.11809
3.89045145,61.8722446,3.89045145,179.09822
3.98107171,61.872195,3.98107171,179.077873
4.07380278,61.8721441,4.07380278,179.057037
4.16869383,61.8720919,4.16869383,179.035701
4.26579519,61.8720382,4.26579519,179.013854
4.36515832,61.871983,4.36515832,178.991484
4.46683592,61.8719261,4.46683592,178.968579
4.5708819,61.8718673,4.5708819,178.945127
4.67735141,61.8718067,4.67735141,178.921115
4.78630092,61.871744,4.78630092,178.89653
4.89778819,61.871679,4.89778819,178.87136
5.01187234,61.8716118,5.01187234,178.84559
5.12861384,61.871542,5.12861384,178.819208
5.2480746,61.8714696,5.2480746,178.792198
5.37031796,61.8713944,5.37031796,178.764547
5.49540874,61.8713162,5.49540874,178.736239
