col0,col1,col2,col3,col4,col5,col6,col7,col8,col9
0.0030031104,0.0145602519,0.0030031104,-0.0145558958,0.0030031104,0.0146166263,0.0030031104,0.0145581893,0.0030031104,0.0546330344
0.0030081104,0.0145664856,0.0030081104,-0.0145503458,0.0030081104,0.0146738011,0.0030081104,0.0145596552,0.0030081104,0.174466835
0.0030131104,0.0145727073,0.0030131104,-0.0145448011,0.0030131104,0.0147308403,0.0030131104,0.0145611166,0.0030131104,0.294112007
0.0030181104,0.0145789105,0.0030181104,-0.0145392675,0.0030181104,0.0147876874,0.0030181104,0.0145625719,0.0030181104,0.413450454
0.0030231104,0.0145850895,0.0030231104,-0.0145337502,0.0030231104,0.0148442862,0.0030231104,0.0145640198,0.0030231104,0.532364434
0.0030281104,0.0145912378,0.0030281104,-0.0145282549,0.0030281104,0.0149005808,0.0030281104,0.0145654588,0.0030281104,0.650736572
0.0030331104,0.0145973499,0.0030331104,-0.0145227869,0.0030331104,0.0149565155,0.0030331104,0.0145668877,0.0030331104,0.768450081
0.0030381104,0.0146034193,0.0030381104,-0.0145173518,0.0030381104,0.0150120349,0.0030381104,0.0145683051,0.0030381104,0.885388772
0.0030431104,0.0146094406,0.0030431104,-0.0145119549,0.0030431104,0.015067084,0.0030431104,0.0145697095,0.0030431104,1.00143727
0.0030481104,0.0146154074,0.0030481104,-0.0145066017,0.0030481104,0.0151216082,0.0030481104,0.0145710998,0.0030481104,1.11648103
0.0030531104,0.0146213144,0.0030531104,-0.0145012975,0.0030531104,0.0151755535,0.0030531104,0.0145724746,0.0030531104,1.23040655
0.0030581104,0.0146271553,0.0030581104,-0.0144960477,0.0030581104,0.0152288663,0.0030581104,0.0145738325,0.0030581104,1.34310138
0.0030631104,0.0146329249,0.0030631104,-0.0144908573,0.0030631104,0.0152814937,0.0030631104,0.0145751725,0.0030631104,1.45445434
0.0030681104,0.0146386172,0.0030681104,-0.0144857318,0.0030681104,0.0153333835,0.0030681104,0.0145764931,0.0030681104,1.56435552
0.0030731104,0.0146442271,0.0030731104,-0.0144806763,0.0030731104,0.015384484,0.0030731104,0.0145777933,0.0030731104,1.67269648
0.0030781104,0.0146497487,0.0030781104,-0.0144756957,0.0030781104,0.0154347445,0.0030781104,0.0145790717,0.0030781104,1.77937029
0.0030831104,0.0146551771,0.0030831104,-0.0144707952,0.0030831104,0.015484115,0.0030831104,0.0145803274,0.0030831104,1.88427171
0.0030881104,0.0146605066,0.0030881104,-0.0144659796,0.0030881104,0.0155325464,0.0030881104,0.014581559,0.0030881104,1.98729719
