carico,cwire,fcross_hz,pm_deg,tdb_10hz
1,1f,1.00125E+06,69.3048,72.2855
1,47p,1.00274E+06,69.0416,72.2855
1,100p,1.00442E+06,68.7433,72.2855
1,220p,1.00817E+06,68.062,72.2855
1,470p,1.01581E+06,66.6177,72.2855
1,1n,1.03125E+06,63.4464,72.2855
1,2.2n,1.05934E+06,55.8689,72.2855
1,4.7n,1.06235E+06,40.9633,72.2854
2,1f,1.00048E+06,69.314,72.2312
2,47p,1.00197E+06,69.0512,72.2312
2,100p,1.00363E+06,68.7534,72.2312
2,220p,1.00737E+06,68.0734,72.2312
2,470p,1.015E+06,66.6315,72.2312
2,1n,1.03037E+06,63.4666,72.2312
2,2.2n,1.05834E+06,55.9053,72.2312
2,4.7n,1.06143E+06,41.0249,72.2312
