col0,col1,col2,col3
20.0,1.18192025e-08,20.0,1.20626943e-08
20.942571,1.18167742e-08,20.942571,1.20449448e-08
21.9295639,1.18145483e-08,21.9295639,1.2028734e-08
22.9630724,1.18125088e-08,22.9630724,1.20139304e-08
24.0452887,1.18106407e-08,24.0452887,1.20004133e-08
25.1785082,1.18089304e-08,25.1785082,1.19880721e-08
26.3651348,1.18073649e-08,26.3651348,1.19768056e-08
27.6076853,1.18059325e-08,27.6076853,1.19665211e-08
28.9087954,1.18046222e-08,28.9087954,1.19571336e-08
30.271225,1.18034239e-08,30.271225,1.19485655e-08
31.6978638,1.18023283e-08,31.6978638,1.19407459e-08
33.1917381,1.18013267e-08,33.1917381,1.19336097e-08
34.7560166,1.18004114e-08,34.7560166,1.19270976e-08
36.3940172,1.17995749e-08,36.3940172,1.19211552e-08
38.1092144,1.17988107e-08,38.1092144,1.19157331e-08
39.9052463,1.17981125e-08,39.9052463,1.19107858e-08
41.7859226,1.17974749e-08,41.7859226,1.19062719e-08
43.7552325,1.17968925e-08,43.7552325,1.19021536e-08
45.8173531,1.17963607e-08,45.8173531,1.18983963e-08
47.9766584,1.17958751e-08,47.9766584,1.18949686e-08
50.2377286,1.17954318e-08,50.2377286,1.18918415e-08
52.6053598,1.1795027e-08,52.6053598,1.18889888e-08
55.0845741,1.17946576e-08,55.0845741,1.18863865e-08
57.6806301,1.17943204e-08,57.6806301,1.18840126e-08
60.3990344,1.17940126e-08,60.3990344,1.18818471e-08
63.2455532,1.17937317e-08,63.2455532,1.18798718e-08
66.2262243,1.17934753e-08,66.2262243,1.18780699e-08
69.3473701,1.17932414e-08,69.3473701,1.18764264e-08
72.615611,1.17930279e-08,72.615611,1.18749272e-08
76.0378793,1.17928331e-08,76.0378793,1.18735598e-08
79.6214341,1.17926554e-08,79.6214341,1.18723125e-08
83.3738767,1.17924932e-08,83.3738767,1.18711749e-08
87.3031664,1.17923453e-08,87.3031664,1.18701372e-08
91.4176379,1.17922103e-08,91.4176379,1.18691907e-08
95.7260185,1.17920872e-08,95.7260185,1.18683275e-08
100.237447,1.17919748e-08,100.237447,1.18675401e-08
104.961492,1.17918723e-08,104.961492,1.1866822e-08
109.908175,1.17917789e-08,109.908175,1.1866167e-08
115.087987,1.17916936e-08,115.087987,1.18655696e-08
120.511917,1.17916158e-08,120.511917,1.18650248e-08
126.191469,1.17915448e-08,126.191469,1.18645278e-08
132.13869,1.17914801e-08,132.13869,1.18640746e-08
138.366194,1.17914211e-08,138.366194,1.18636612e-08
144.887192,1.17913672e-08,144.887192,1.18632842e-08
151.715515,1.17913181e-08,151.715515,1.18629404e-08
158.865647,1.17912733e-08,158.865647,1.18626267e-08
166.352754,1.17912324e-08,166.352754,1.18623407e-08
174.192718,1.17911952e-08,174.192718,1.18620799e-08
182.402168,1.17911612e-08,182.402168,1.1861842e-08
190.998517,1.17911302e-08,190.998517,1.1861625e-08
200.0,1.17911019e-08,200.0,1.18614271e-08
209.42571,1.17910761e-08,209.42571,1.18612466e-08
219.295639,1.17910526e-08,219.295639,1.1861082e-08
229.630724,1.17910312e-08,229.630724,1.18609319e-08
240.452887,1.17910116e-08,240.452887,1.1860795e-08
251.785082,1.17909938e-08,251.785082,1.18606701e-08
263.651348,1.17909775e-08,263.651348,1.18605562e-08
276.076853,1.17909627e-08,276.076853,1.18604524e-08
289.087954,1.17909492e-08,289.087954,1.18603577e-08
302.71225,1.17909369e-08,302.71225,1.18602713e-08
316.978638,1.17909256e-08,316.978638,1.18601925e-08
331.917381,1.17909154e-08,331.917381,1.18601207e-08
347.560166,1.17909061e-08,347.560166,1.18600552e-08
363.940172,1.17908975e-08,363.940172,1.18599954e-08
381.092144,1.17908898e-08,381.092144,1.18599409e-08
399.052463,1.17908828e-08,399.052463,1.18598912e-08
417.859226,1.17908763e-08,417.859226,1.18598459e-08
437.552325,1.17908705e-08,437.552325,1.18598046e-08
458.173531,1.17908652e-08,458.173531,1.1859767e-08
479.766584,1.17908603e-08,479.766584,1.18597326e-08
502.377286,1.17908559e-08,502.377286,1.18597013e-08
526.053598,1.17908519e-08,526.053598,1.18596728e-08
550.845741,1.17908483e-08,550.845741,1.18596467e-08
576.806301,1.1790845e-08,576.806301,1.1859623e-08
603.990344,1.1790842e-08,603.990344,1.18596014e-08
632.455532,1.17908393e-08,632.455532,1.18595817e-08
662.262243,1.17908369e-08,662.262243,1.18595637e-08
693.473701,1.17908347e-08,693.473701,1.18595474e-08
726.15611,1.17908328e-08,726.15611,1.18595325e-08
760.378793,1.1790831e-08,760.378793,1.18595189e-08
796.214341,1.17908294e-08,796.214341,1.18595066e-08
833.738767,1.1790828e-08,833.738767,1.18594953e-08
873.031664,1.17908268e-08,873.031664,1.18594851e-08
914.176379,1.17908258e-08,914.176379,1.18594759e-08
957.260185,1.17908248e-08,957.260185,1.18594674e-08
1002.37447,1.17908241e-08,1002.37447,1.18594598e-08
1049.61492,1.17908234e-08,1049.61492,1.18594528e-08
1099.08175,1.17908229e-08,1099.08175,1.18594466e-08
1150.87987,1.17908225e-08,1150.87987,1.18594409e-08
1205.11917,1.17908222e-08,1205.11917,1.18594358e-08
1261.91469,1.17908221e-08,1261.91469,1.18594312e-08
1321.3869,1.1790822e-08,1321.3869,1.1859427e-08
1383.66194,1.17908221e-08,1383.66194,1.18594233e-08
1448.87192,1.17908223e-08,1448.87192,1.185942e-08
1517.15515,1.17908226e-08,1517.15515,1.18594171e-08
1588.65647,1.1790823e-08,1588.65647,1.18594146e-08
1663.52754,1.17908235e-08,1663.52754,1.18594123e-08
1741.92718,1.17908242e-08,1741.92718,1.18594104e-08
1824.02168,1.1790825e-08,1824.02168,1.18594088e-08
1909.98517,1.1790826e-08,1909.98517,1.18594075e-08
2000.0,1.17908271e-08,2000.0,1.18594064e-08
2094.2571,1.17908283e-08,2094.2571,1.18594056e-08
2192.95639,1.17908298e-08,2192.95639,1.1859405e-08
2296.30724,1.17908314e-08,2296.30724,1.18594047e-08
2404.52887,1.17908332e-08,2404.52887,1.18594047e-08
2517.85082,1.17908352e-08,2517.85082,1.18594049e-08
2636.51348,1.17908374e-08,2636.51348,1.18594053e-08
2760.76853,1.17908399e-08,2760.76853,1.18594061e-08
2890.87954,1.17908427e-08,2890.87954,1.1859407e-08
3027.1225,1.17908457e-08,3027.1225,1.18594082e-08
3169.78638,1.17908491e-08,3169.78638,1.18594098e-08
3319.17381,1.17908528e-08,3319.17381,1.18594116e-08
3475.60166,1.17908569e-08,3475.60166,1.18594137e-08
3639.40172,1.17908614e-08,3639.40172,1.18594161e-08
3810.92144,1.17908663e-08,3810.92144,1.18594189e-08
3990.52463,1.17908718e-08,3990.52463,1.1859422e-08
4178.59226,1.17908777e-08,4178.59226,1.18594255e-08
4375.52325,1.17908843e-08,4375.52325,1.18594295e-08
4581.73531,1.17908915e-08,4581.73531,1.18594339e-08
4797.66584,1.17908994e-08,4797.66584,1.18594388e-08
5023.77286,1.17909081e-08,5023.77286,1.18594443e-08
