col0,col1,col2,col3
1.0,72.4089401,1.0,179.7081
1.02329299,72.4088013,1.02329299,179.703169
1.04712855,72.4086662,1.04712855,179.698112
1.07151931,72.4085348,1.07151931,179.692925
1.0964782,72.4084071,1.0964782,179.687605
1.12201845,72.408283,1.12201845,179.682147
1.14815362,72.4081624,1.14815362,179.676546
1.17489755,72.4080453,1.17489755,179.6708
1.20226443,72.4079317,1.20226443,179.664903
1.23026877,72.4078214,1.23026877,179.658852
1.25892541,72.4077145,1.25892541,179.652641
1.28824955,72.4076107,1.28824955,179.646267
1.31825674,72.4075101,1.31825674,179.639725
1.34896288,72.4074126,1.34896288,179.633011
1.38038426,72.407318,1.38038426,179.62612
1.41253754,72.4072264,1.41253754,179.619048
1.44543977,72.4071375,1.44543977,179.61179
1.47910839,72.4070514,1.47910839,179.604341
1.51356125,72.4069679,1.51356125,179.596696
1.54881662,72.406887,1.54881662,179.588851
1.58489319,72.4068085,1.58489319,179.580801
1.6218101,72.4067323,1.6218101,179.572541
1.65958691,72.4066585,1.65958691,179.564065
1.69824365,72.4065868,1.69824365,179.55537
1.73780083,72.4065172,1.73780083,179.546448
1.77827941,72.4064495,1.77827941,179.537295
1.81970086,72.4063838,1.81970086,179.527907
1.86208714,72.4063199,1.86208714,179.518276
1.90546072,72.4062576,1.90546072,179.508398
1.9498446,72.406197,1.9498446,179.498266
1.99526231,72.406138,1.99526231,179.487876
2.04173794,72.4060803,2.04173794,179.477221
2.08929613,72.406024,2.08929613,179.466294
2.13796209,72.405969,2.13796209,179.455091
2.18776162,72.4059151,2.18776162,179.443604
2.23872114,72.4058623,2.23872114,179.431827
2.29086765,72.4058104,2.29086765,179.419754
2.34422882,72.4057595,2.34422882,179.407377
2.39883292,72.4057093,2.39883292,179.394691
2.45470892,72.4056599,2.45470892,179.381687
2.51188643,72.4056111,2.51188643,179.368359
2.57039578,72.4055628,2.57039578,179.3547
2.63026799,72.405515,2.63026799,179.340702
2.6915348,72.4054675,2.6915348,179.326357
2.7542287,72.4054203,2.7542287,179.311658
2.81838293,72.4053733,2.81838293,179.296596
2.8840315,72.4053263,2.8840315,179.281163
2.95120923,72.4052794,2.95120923,179.265352
3.01995172,72.4052323,3.01995172,179.249153
3.09029543,72.4051851,3.09029543,179.232558
3.16227766,72.4051375,3.16227766,179.215557
3.23593657,72.4050896,3.23593657,179.198142
3.31131121,72.4050412,3.31131121,179.180303
3.38844156,72.4049922,3.38844156,179.162031
3.4673685,72.4049426,3.4673685,179.143316
3.54813389,72.4048921,3.54813389,179.124147
3.63078055,72.4048408,3.63078055,179.104515
3.71535229,72.4047885,3.71535229,179.084409
3.80189396,72.404735,3.80189396,179.063818
3.89045145,72.4046804,3.89045145,179.04273
3.98107171,72.4046244,3.98107171,179.021136
4.07380278,72.404567,4.07380278,178.999023
4.16869383,72.404508,4.16869383,178.97638
4.26579519,72.4044473,4.26579519,178.953193
4.36515832,72.4043848,4.36515832,178.929452
4.46683592,72.4043203,4.46683592,178.905143
4.5708819,72.4042537,4.5708819,178.880253
4.67735141,72.4041848,4.67735141,178.854768
4.78630092,72.4041136,4.78630092,178.828676
4.89778819,72.4040398,4.89778819,178.801963
5.01187234,72.4039633,5.01187234,178.774613
5.12861384,72.4038839,5.12861384,178.746613
5.2480746,72.4038015,5.2480746,178.717947
5.37031796,72.4037158,5.37031796,178.688601
5.49540874,72.4036267,5.49540874,178.658558
5.62341325,72.4035339,5.62341325,178.627802
5.75439937,72.4034374,5.75439937,178.596317
5.88843655,72.4033368,5.88843655,178.564086
6.02559586,72.4032319,6.02559586,178.531093
6.16595002,72.4031225,6.16595002,178.497318
6.30957344,72.4030084,6.30957344,178.462744
6.45654229,72.4028892,6.45654229,178.427353
6.60693448,72.4027648,6.60693448,178.391126
6.76082975,72.4026348,6.76082975,178.354043
6.91830971,72.402499,6.91830971,178.316085
7.07945784,72.402357,7.07945784,178.27723
7.2443596,72.4022085,7.2443596,178.23746
7.41310241,72.4020532,7.41310241,178.196751
7.58577575,72.4018908,7.58577575,178.155082
7.76247117,72.4017207,7.76247117,178.112431
7.94328235,72.4015427,7.94328235,178.068775
8.12830516,72.4013564,8.12830516,178.024091
8.31763771,72.4011612,8.31763771,177.978354
8.51138038,72.4009568,8.51138038,177.931541
8.7096359,72.4007427,8.7096359,177.883626
8.91250938,72.4005183,8.91250938,177.834583
9.12010839,72.4002832,9.12010839,177.784386
9.33254301,72.4000368,9.33254301,177.733008
9.54992586,72.3997784,9.54992586,177.680422
9.77237221,72.3995076,9.77237221,177.626599
10.0,72.3992236,10.0,177.57151
10.2329299,72.3989258,10.2329299,177.515127
10.4712855,72.3986134,10.4712855,177.457418
10.7151931,72.3982857,10.7151931,177.398352
10.964782,72.3979419,10.964782,177.337899
11.2201845,72.3975812,11.2201845,177.276025
11.4815362,72.3972027,11.4815362,177.212698
11.7489755,72.3968055,11.7489755,177.147883
12.0226443,72.3963886,12.0226443,177.081545
12.3026877,72.395951,12.3026877,177.01365
12.5892541,72.3954916,12.5892541,176.944161
12.8824955,72.3950092,12.8824955,176.87304
13.1825674,72.3945028,13.1825674,176.80025
13.4896288,72.3939711,13.4896288,176.725752
13.8038426,72.3934126,13.8038426,176.649506
14.1253754,72.3928261,14.1253754,176.571471
14.4543977,72.3922101,14.4543977,176.491606
14.7910839,72.3915631,14.7910839,176.409868
15.1356125,72.3908833,15.1356125,176.326213
15.4881662,72.3901693,15.4881662,176.240599
15.8489319,72.3894191,15.8489319,176.152978
16.218101,72.3886309,16.218101,176.063305
16.5958691,72.3878027,16.5958691,175.971533
16.9824365,72.3869324,16.9824365,175.877612
17.3780083,72.386018,17.3780083,175.781494
17.7827941,72.385057,17.7827941,175.683129
18.1970086,72.3840471,18.1970086,175.582464
18.6208714,72.3829858,18.6208714,175.479448
19.0546072,72.3818704,19.0546072,175.374027
19.498446,72.3806982,19.498446,175.266146
19.9526231,72.3794662,19.9526231,175.155749
20.4173794,72.3781715,20.4173794,175.04278
20.8929613,72.3768107,20.8929613,174.92718
21.3796209,72.3753805,21.3796209,174.808891
21.8776162,72.3738775,21.8776162,174.687852
22.3872114,72.3722979,22.3872114,174.564003
22.9086765,72.3706379,22.9086765,174.43728
23.4422882,72.3688935,23.4422882,174.30762
23.9883292,72.3670605,23.9883292,174.174958
24.5470892,72.3651343,24.5470892,174.039229
25.1188643,72.3631105,25.1188643,173.900365
25.7039578,72.3609842,25.7039578,173.758299
26.3026799,72.3587503,26.3026799,173.61296
26.915348,72.3564036,26.915348,173.464279
27.542287,72.3539386,27.542287,173.312183
28.1838293,72.3513495,28.1838293,173.156601
28.840315,72.3486304,28.840315,172.997458
29.5120923,72.3457749,29.5120923,172.834678
30.1995172,72.3427767,30.1995172,172.668186
30.9029543,72.3396288,30.9029543,172.497905
31.6227766,72.3363242,31.6227766,172.323756
32.3593657,72.3328554,32.3593657,172.145659
33.1131121,72.3292148,33.1131121,171.963534
33.8844156,72.3253944,33.8844156,171.7773
34.673685,72.3213857,34.673685,171.586872
35.4813389,72.3171802,35.4813389,171.392169
36.3078055,72.3127686,36.3078055,171.193104
37.1535229,72.3081416,37.1535229,170.989592
38.0189396,72.3032894,38.0189396,170.781547
38.9045145,72.2982017,38.9045145,170.568881
39.8107171,72.2928678,39.8107171,170.351504
40.7380278,72.2872769,40.7380278,170.129329
41.6869383,72.2814172,41.6869383,169.902265
42.6579519,72.275277,42.6579519,169.67022
43.6515832,72.2688436,43.6515832,169.433105
44.6683592,72.2621044,44.6683592,169.190825
45.708819,72.2550457,45.708819,168.94329
46.7735141,72.2476537,46.7735141,168.690406
47.8630092,72.2399139,47.8630092,168.432078
48.9778819,72.2318113,48.9778819,168.168215
50.1187234,72.2233302,50.1187234,167.898722
51.2861384,72.2144545,51.2861384,167.623504
52.480746,72.2051674,52.480746,167.342469
53.7031796,72.1954514,53.7031796,167.055522
54.9540874,72.1852885,54.9540874,166.762571
56.2341325,72.1746599,56.2341325,166.463522
57.5439937,72.1635464,57.5439937,166.158284
58.8843655,72.1519278,58.8843655,165.846764
60.2559586,72.1397832,60.2559586,165.528873
61.6595002,72.1270913,61.6595002,165.204522
63.0957344,72.1138298,63.0957344,164.873622
64.5654229,72.0999757,64.5654229,164.536088
66.0693448,72.0855052,66.0693448,164.191835
67.6082975,72.0703939,67.6082975,163.840781
69.1830971,72.0546164,69.1830971,163.482846
70.7945784,72.0381466,70.7945784,163.117953
72.443596,72.0209577,72.443596,162.746028
74.1310241,72.0030219,74.1310241,162.366998
75.8577575,71.9843108,75.8577575,161.980798
77.6247117,71.9647951,77.6247117,161.587361
79.4328235,71.9444446,79.4328235,161.18663
81.2830516,71.9232284,81.2830516,160.778547
83.1763771,71.9011147,83.1763771,160.363064
85.1138038,71.8780712,85.1138038,159.940134
87.096359,71.8540645,87.096359,159.509718
89.1250938,71.8290605,89.1250938,159.071781
91.2010839,71.8030245,91.2010839,158.626296
93.3254301,71.775921,93.3254301,158.173243
95.4992586,71.7477137,95.4992586,157.712606
97.7237221,71.718366,97.7237221,157.244381
