col0,col1,col2,col3
1.0,72.4089453,1.0,179.708073
1.02329299,72.4088066,1.02329299,179.70314
1.04712855,72.4086716,1.04712855,179.698082
1.07151931,72.4085403,1.07151931,179.692894
1.0964782,72.4084127,1.0964782,179.687572
1.12201845,72.4082886,1.12201845,179.682112
1.14815362,72.4081681,1.14815362,179.67651
1.17489755,72.4080512,1.17489755,179.670762
1.20226443,72.4079376,1.20226443,179.664863
1.23026877,72.4078274,1.23026877,179.65881
1.25892541,72.4077205,1.25892541,179.652597
1.28824955,72.4076168,1.28824955,179.646221
1.31825674,72.4075163,1.31825674,179.639678
1.34896288,72.4074188,1.34896288,179.632962
1.38038426,72.4073243,1.38038426,179.626069
1.41253754,72.4072328,1.41253754,179.618994
1.44543977,72.407144,1.44543977,179.611734
1.47910839,72.4070579,1.47910839,179.604283
1.51356125,72.4069745,1.51356125,179.596636
1.54881662,72.4068936,1.54881662,179.588789
1.58489319,72.4068151,1.58489319,179.580736
1.6218101,72.4067391,1.6218101,179.572474
1.65958691,72.4066652,1.65958691,179.563996
1.69824365,72.4065936,1.69824365,179.555297
1.73780083,72.406524,1.73780083,179.546373
1.77827941,72.4064564,1.77827941,179.537218
1.81970086,72.4063907,1.81970086,179.527827
1.86208714,72.4063268,1.86208714,179.518193
1.90546072,72.4062647,1.90546072,179.508312
1.9498446,72.4062041,1.9498446,179.498178
1.99526231,72.406145,1.99526231,179.487785
2.04173794,72.4060874,2.04173794,179.477127
2.08929613,72.4060312,2.08929613,179.466198
2.13796209,72.4059761,2.13796209,179.454991
2.18776162,72.4059223,2.18776162,179.443501
2.23872114,72.4058695,2.23872114,179.431721
2.29086765,72.4058177,2.29086765,179.419645
2.34422882,72.4057667,2.34422882,179.407265
2.39883292,72.4057166,2.39883292,179.394575
2.45470892,72.4056672,2.45470892,179.381569
2.51188643,72.4056184,2.51188643,179.368237
2.57039578,72.4055702,2.57039578,179.354575
2.63026799,72.4055223,2.63026799,179.340573
2.6915348,72.4054749,2.6915348,179.326224
2.7542287,72.4054277,2.7542287,179.311521
2.81838293,72.4053807,2.81838293,179.296456
2.8840315,72.4053337,2.8840315,179.281019
2.95120923,72.4052868,2.95120923,179.265204
3.01995172,72.4052397,3.01995172,179.249001
3.09029543,72.4051925,3.09029543,179.232402
3.16227766,72.4051449,3.16227766,179.215397
3.23593657,72.405097,3.23593657,179.197978
3.31131121,72.4050486,3.31131121,179.180134
3.38844156,72.4049996,3.38844156,179.161858
3.4673685,72.40495,3.4673685,179.143138
3.54813389,72.4048995,3.54813389,179.123965
3.63078055,72.4048482,3.63078055,179.104328
3.71535229,72.4047959,3.71535229,179.084217
3.80189396,72.4047424,3.80189396,179.063621
3.89045145,72.4046878,3.89045145,179.042528
3.98107171,72.4046318,3.98107171,179.020929
4.07380278,72.4045744,4.07380278,178.998811
4.16869383,72.4045153,4.16869383,178.976162
4.26579519,72.4044546,4.26579519,178.95297
4.36515832,72.4043921,4.36515832,178.929223
4.46683592,72.4043276,4.46683592,178.904908
4.5708819,72.404261,4.5708819,178.880012
4.67735141,72.4041921,4.67735141,178.854522
4.78630092,72.4041208,4.78630092,178.828424
4.89778819,72.404047,4.89778819,178.801704
5.01187234,72.4039705,5.01187234,178.774348
5.12861384,72.403891,5.12861384,178.746341
5.2480746,72.4038086,5.2480746,178.717669
5.37031796,72.4037229,5.37031796,178.688316
5.49540874,72.4036337,5.49540874,178.658266
5.62341325,72.4035409,5.62341325,178.627503
5.75439937,72.4034443,5.75439937,178.596011
5.88843655,72.4033437,5.88843655,178.563772
6.02559586,72.4032387,6.02559586,178.530771
6.16595002,72.4031293,6.16595002,178.496988
6.30957344,72.4030151,6.30957344,178.462407
6.45654229,72.4028959,6.45654229,178.427008
6.60693448,72.4027715,6.60693448,178.390772
6.76082975,72.4026414,6.76082975,178.353681
6.91830971,72.4025055,6.91830971,178.315714
7.07945784,72.4023635,7.07945784,178.276851
7.2443596,72.4022149,7.2443596,178.237071
7.41310241,72.4020595,7.41310241,178.196352
7.58577575,72.401897,7.58577575,178.154674
7.76247117,72.4017268,7.76247117,178.112014
7.94328235,72.4015488,7.94328235,178.068348
8.12830516,72.4013623,8.12830516,178.023653
8.31763771,72.4011671,8.31763771,177.977907
8.51138038,72.4009626,8.51138038,177.931083
8.7096359,72.4007483,8.7096359,177.883156
8.91250938,72.4005238,8.91250938,177.834102
9.12010839,72.4002886,9.12010839,177.783894
9.33254301,72.4000421,9.33254301,177.732504
9.54992586,72.3997836,9.54992586,177.679906
9.77237221,72.3995126,9.77237221,177.626071
10.0,72.3992285,10.0,177.57097
10.2329299,72.3989305,10.2329299,177.514574
10.4712855,72.398618,10.4712855,177.456852
10.7151931,72.3982901,10.7151931,177.397773
10.964782,72.3979462,10.964782,177.337306
11.2201845,72.3975853,11.2201845,177.275418
11.4815362,72.3972066,11.4815362,177.212077
11.7489755,72.3968092,11.7489755,177.147247
12.0226443,72.3963921,12.0226443,177.080895
12.3026877,72.3959542,12.3026877,177.012985
12.5892541,72.3954946,12.5892541,176.94348
