col0,col1,col2,col3
1.0,72.4089542,1.0,179.708028
1.02329299,72.4088156,1.02329299,179.703092
1.04712855,72.4086808,1.04712855,179.698031
1.07151931,72.4085497,1.07151931,179.69284
1.0964782,72.4084222,1.0964782,179.687515
1.12201845,72.4082983,1.12201845,179.682053
1.14815362,72.4081779,1.14815362,179.676448
1.17489755,72.4080611,1.17489755,179.670697
1.20226443,72.4079476,1.20226443,179.664795
1.23026877,72.4078376,1.23026877,179.658739
1.25892541,72.4077308,1.25892541,179.652523
1.28824955,72.4076272,1.28824955,179.646144
1.31825674,72.4075268,1.31825674,179.639597
1.34896288,72.4074295,1.34896288,179.632877
1.38038426,72.4073351,1.38038426,179.625981
1.41253754,72.4072436,1.41253754,179.618903
1.44543977,72.4071549,1.44543977,179.611639
1.47910839,72.407069,1.47910839,179.604184
1.51356125,72.4069856,1.51356125,179.596533
1.54881662,72.4069048,1.54881662,179.588682
1.58489319,72.4068265,1.58489319,179.580626
1.6218101,72.4067505,1.6218101,179.572359
1.65958691,72.4066767,1.65958691,179.563877
1.69824365,72.4066052,1.69824365,179.555175
1.73780083,72.4065357,1.73780083,179.546246
1.77827941,72.4064681,1.77827941,179.537087
1.81970086,72.4064025,1.81970086,179.527691
1.86208714,72.4063387,1.86208714,179.518053
1.90546072,72.4062766,1.90546072,179.508168
1.9498446,72.4062161,1.9498446,179.498029
1.99526231,72.4061571,1.99526231,179.487631
2.04173794,72.4060995,2.04173794,179.476968
2.08929613,72.4060433,2.08929613,179.466034
2.13796209,72.4059883,2.13796209,179.454822
2.18776162,72.4059345,2.18776162,179.443327
2.23872114,72.4058818,2.23872114,179.431542
2.29086765,72.40583,2.29086765,179.41946
2.34422882,72.4057791,2.34422882,179.407075
2.39883292,72.405729,2.39883292,179.39438
2.45470892,72.4056796,2.45470892,179.381367
2.51188643,72.4056309,2.51188643,179.36803
2.57039578,72.4055826,2.57039578,179.354361
2.63026799,72.4055348,2.63026799,179.340353
2.6915348,72.4054874,2.6915348,179.325999
2.7542287,72.4054402,2.7542287,179.311289
2.81838293,72.4053932,2.81838293,179.296217
2.8840315,72.4053463,2.8840315,179.280775
2.95120923,72.4052993,2.95120923,179.264952
3.01995172,72.4052523,3.01995172,179.248743
3.09029543,72.4052051,3.09029543,179.232136
3.16227766,72.4051575,3.16227766,179.215125
3.23593657,72.4051096,3.23593657,179.197698
3.31131121,72.4050612,3.31131121,179.179848
3.38844156,72.4050122,3.38844156,179.161563
3.4673685,72.4049626,3.4673685,179.142836
3.54813389,72.4049121,3.54813389,179.123655
3.63078055,72.4048608,3.63078055,179.10401
3.71535229,72.4048084,3.71535229,179.08389
3.80189396,72.404755,3.80189396,179.063286
3.89045145,72.4047003,3.89045145,179.042185
3.98107171,72.4046443,3.98107171,179.020577
4.07380278,72.4045868,4.07380278,178.99845
4.16869383,72.4045278,4.16869383,178.975792
4.26579519,72.4044671,4.26579519,178.952591
4.36515832,72.4044045,4.36515832,178.928834
4.46683592,72.4043399,4.46683592,178.904509
4.5708819,72.4042733,4.5708819,178.879604
4.67735141,72.4042044,4.67735141,178.854103
4.78630092,72.4041331,4.78630092,178.827995
4.89778819,72.4040592,4.89778819,178.801264
5.01187234,72.4039826,5.01187234,178.773898
5.12861384,72.4039032,5.12861384,178.74588
5.2480746,72.4038206,5.2480746,178.717196
5.37031796,72.4037348,5.37031796,178.687831
5.49540874,72.4036456,5.49540874,178.657769
5.62341325,72.4035528,5.62341325,178.626994
5.75439937,72.4034561,5.75439937,178.59549
5.88843655,72.4033554,5.88843655,178.563239
6.02559586,72.4032504,6.02559586,178.530225
6.16595002,72.4031409,6.16595002,178.496429
6.30957344,72.4030266,6.30957344,178.461834
6.45654229,72.4029073,6.45654229,178.426421
6.60693448,72.4027827,6.60693448,178.390171
6.76082975,72.4026526,6.76082975,178.353065
6.91830971,72.4025166,6.91830971,178.315084
7.07945784,72.4023744,7.07945784,178.276205
7.2443596,72.4022257,7.2443596,178.23641
7.41310241,72.4020702,7.41310241,178.195676
7.58577575,72.4019075,7.58577575,178.153981
7.76247117,72.4017372,7.76247117,178.111304
7.94328235,72.401559,7.94328235,178.067622
8.12830516,72.4013724,8.12830516,178.02291
8.31763771,72.401177,8.31763771,177.977145
8.51138038,72.4009723,8.51138038,177.930303
8.7096359,72.4007579,8.7096359,177.882359
8.91250938,72.4005332,8.91250938,177.833286
9.12010839,72.4002978,9.12010839,177.783058
9.33254301,72.400051,9.33254301,177.731649
9.54992586,72.3997924,9.54992586,177.679031
9.77237221,72.3995212,9.77237221,177.625175
10.0,72.3992368,10.0,177.570053
10.2329299,72.3989385,10.2329299,177.513635
10.4712855,72.3986257,10.4712855,177.455891
10.7151931,72.3982976,10.7151931,177.396789
10.964782,72.3979534,10.964782,177.336299
11.2201845,72.3975922,11.2201845,177.274388
