col0,col1,col2,col3
1.0,72.4089412,1.0,179.708093
1.02329299,72.4088024,1.02329299,179.703162
1.04712855,72.4086674,1.04712855,179.698104
1.07151931,72.408536,1.07151931,179.692917
1.0964782,72.4084083,1.0964782,179.687597
1.12201845,72.4082842,1.12201845,179.682138
1.14815362,72.4081636,1.14815362,179.676537
1.17489755,72.4080466,1.17489755,179.670791
1.20226443,72.407933,1.20226443,179.664893
1.23026877,72.4078227,1.23026877,179.658841
1.25892541,72.4077158,1.25892541,179.65263
1.28824955,72.407612,1.28824955,179.646256
1.31825674,72.4075115,1.31825674,179.639714
1.34896288,72.4074139,1.34896288,179.632999
1.38038426,72.4073194,1.38038426,179.626108
1.41253754,72.4072277,1.41253754,179.619035
1.44543977,72.4071389,1.44543977,179.611776
1.47910839,72.4070528,1.47910839,179.604327
1.51356125,72.4069693,1.51356125,179.596682
1.54881662,72.4068884,1.54881662,179.588836
1.58489319,72.4068099,1.58489319,179.580786
1.6218101,72.4067338,1.6218101,179.572525
1.65958691,72.4066599,1.65958691,179.564049
1.69824365,72.4065882,1.69824365,179.555352
1.73780083,72.4065186,1.73780083,179.54643
1.77827941,72.406451,1.77827941,179.537277
1.81970086,72.4063853,1.81970086,179.527887
1.86208714,72.4063214,1.86208714,179.518256
1.90546072,72.4062592,1.90546072,179.508377
1.9498446,72.4061986,1.9498446,179.498245
1.99526231,72.4061395,1.99526231,179.487854
2.04173794,72.4060819,2.04173794,179.477198
2.08929613,72.4060256,2.08929613,179.466271
2.13796209,72.4059705,2.13796209,179.455067
2.18776162,72.4059166,2.18776162,179.44358
2.23872114,72.4058638,2.23872114,179.431802
2.29086765,72.405812,2.29086765,179.419728
2.34422882,72.4057611,2.34422882,179.407351
2.39883292,72.4057109,2.39883292,179.394663
2.45470892,72.4056615,2.45470892,179.381659
2.51188643,72.4056127,2.51188643,179.368331
2.57039578,72.4055644,2.57039578,179.35467
2.63026799,72.4055166,2.63026799,179.340671
2.6915348,72.4054691,2.6915348,179.326326
2.7542287,72.4054219,2.7542287,179.311625
2.81838293,72.4053749,2.81838293,179.296563
2.8840315,72.4053279,2.8840315,179.281129
2.95120923,72.405281,2.95120923,179.265317
3.01995172,72.4052339,3.01995172,179.249117
3.09029543,72.4051867,3.09029543,179.232521
3.16227766,72.4051391,3.16227766,179.215519
3.23593657,72.4050912,3.23593657,179.198103
3.31131121,72.4050428,3.31131121,179.180263
3.38844156,72.4049938,3.38844156,179.16199
3.4673685,72.4049442,3.4673685,179.143274
3.54813389,72.4048937,3.54813389,179.124104
3.63078055,72.4048424,3.63078055,179.104471
3.71535229,72.4047901,3.71535229,179.084363
3.80189396,72.4047366,3.80189396,179.063771
3.89045145,72.404682,3.89045145,179.042683
3.98107171,72.404626,3.98107171,179.021087
4.07380278,72.4045686,4.07380278,178.998973
4.16869383,72.4045096,4.16869383,178.976328
4.26579519,72.4044489,4.26579519,178.953141
4.36515832,72.4043864,4.36515832,178.929398
4.46683592,72.4043219,4.46683592,178.905087
4.5708819,72.4042553,4.5708819,178.880196
4.67735141,72.4041864,4.67735141,178.85471
4.78630092,72.4041152,4.78630092,178.828617
4.89778819,72.4040414,4.89778819,178.801902
5.01187234,72.4039648,5.01187234,178.774551
5.12861384,72.4038855,5.12861384,178.746549
5.2480746,72.403803,5.2480746,178.717882
5.37031796,72.4037173,5.37031796,178.688534
5.49540874,72.4036282,5.49540874,178.658489
5.62341325,72.4035354,5.62341325,178.627732
5.75439937,72.4034389,5.75439937,178.596245
5.88843655,72.4033383,5.88843655,178.564012
6.02559586,72.4032334,6.02559586,178.531017
6.16595002,72.403124,6.16595002,178.49724
6.30957344,72.4030098,6.30957344,178.462665
6.45654229,72.4028907,6.45654229,178.427272
6.60693448,72.4027662,6.60693448,178.391043
6.76082975,72.4026362,6.76082975,178.353958
6.91830971,72.4025004,6.91830971,178.315997
7.07945784,72.4023584,7.07945784,178.277141
7.2443596,72.4022099,7.2443596,178.237368
7.41310241,72.4020546,7.41310241,178.196657
7.58577575,72.4018921,7.58577575,178.154986
7.76247117,72.401722,7.76247117,178.112333
7.94328235,72.401544,7.94328235,178.068675
8.12830516,72.4013576,8.12830516,178.023988
8.31763771,72.4011624,8.31763771,177.978249
8.51138038,72.400958,8.51138038,177.931433
8.7096359,72.4007438,8.7096359,177.883515
8.91250938,72.4005195,8.91250938,177.83447
9.12010839,72.4002843,9.12010839,177.78427
9.33254301,72.4000378,9.33254301,177.73289
9.54992586,72.3997795,9.54992586,177.6803
9.77237221,72.3995086,9.77237221,177.626475
10.0,72.3992246,10.0,177.571383
10.2329299,72.3989267,10.2329299,177.514997
10.4712855,72.3986143,10.4712855,177.457285
10.7151931,72.3982866,10.7151931,177.398216
10.964782,72.3979428,10.964782,177.337759
11.2201845,72.397582,11.2201845,177.275882
11.4815362,72.3972035,11.4815362,177.212552
