col0,col1,col2,col3
1.0,72.4089573,1.0,179.708011
1.02329299,72.4088188,1.02329299,179.703074
1.04712855,72.408684,1.04712855,179.698012
1.07151931,72.4085529,1.07151931,179.69282
1.0964782,72.4084255,1.0964782,179.687495
1.12201845,72.4083016,1.12201845,179.682031
1.14815362,72.4081814,1.14815362,179.676425
1.17489755,72.4080645,1.17489755,179.670673
1.20226443,72.4079512,1.20226443,179.66477
1.23026877,72.4078411,1.23026877,179.658712
1.25892541,72.4077344,1.25892541,179.652496
1.28824955,72.4076309,1.28824955,179.646115
1.31825674,72.4075305,1.31825674,179.639567
1.34896288,72.4074332,1.34896288,179.632846
1.38038426,72.4073389,1.38038426,179.625949
1.41253754,72.4072474,1.41253754,179.618869
1.44543977,72.4071588,1.44543977,179.611604
1.47910839,72.4070728,1.47910839,179.604148
1.51356125,72.4069895,1.51356125,179.596496
1.54881662,72.4069088,1.54881662,179.588643
1.58489319,72.4068304,1.58489319,179.580586
1.6218101,72.4067545,1.6218101,179.572318
1.65958691,72.4066808,1.65958691,179.563834
1.69824365,72.4066092,1.69824365,179.55513
1.73780083,72.4065398,1.73780083,179.5462
1.77827941,72.4064723,1.77827941,179.537039
1.81970086,72.4064067,1.81970086,179.527642
1.86208714,72.4063429,1.86208714,179.518002
1.90546072,72.4062808,1.90546072,179.508115
1.9498446,72.4062203,1.9498446,179.497975
1.99526231,72.4061613,1.99526231,179.487575
2.04173794,72.4061038,2.04173794,179.47691
2.08929613,72.4060476,2.08929613,179.465974
2.13796209,72.4059926,2.13796209,179.454761
2.18776162,72.4059388,2.18776162,179.443264
2.23872114,72.4058861,2.23872114,179.431477
2.29086765,72.4058343,2.29086765,179.419393
2.34422882,72.4057834,2.34422882,179.407006
2.39883292,72.4057333,2.39883292,179.394308
2.45470892,72.405684,2.45470892,179.381294
2.51188643,72.4056352,2.51188643,179.367955
2.57039578,72.405587,2.57039578,179.354284
2.63026799,72.4055392,2.63026799,179.340274
2.6915348,72.4054918,2.6915348,179.325917
2.7542287,72.4054446,2.7542287,179.311205
2.81838293,72.4053976,2.81838293,179.296131
2.8840315,72.4053507,2.8840315,179.280686
2.95120923,72.4053038,2.95120923,179.264861
3.01995172,72.4052567,3.01995172,179.248649
3.09029543,72.4052095,3.09029543,179.23204
3.16227766,72.405162,3.16227766,179.215026
3.23593657,72.405114,3.23593657,179.197597
3.31131121,72.4050656,3.31131121,179.179744
3.38844156,72.4050167,3.38844156,179.161457
3.4673685,72.404967,3.4673685,179.142726
3.54813389,72.4049165,3.54813389,179.123542
3.63078055,72.4048652,3.63078055,179.103894
3.71535229,72.4048128,3.71535229,179.083772
3.80189396,72.4047594,3.80189396,179.063165
3.89045145,72.4047047,3.89045145,179.042061
3.98107171,72.4046487,3.98107171,179.02045
4.07380278,72.4045912,4.07380278,178.998319
4.16869383,72.4045322,4.16869383,178.975658
4.26579519,72.4044714,4.26579519,178.952453
4.36515832,72.4044088,4.36515832,178.928693
4.46683592,72.4043443,4.46683592,178.904365
4.5708819,72.4042776,4.5708819,178.879456
4.67735141,72.4042087,4.67735141,178.853952
4.78630092,72.4041374,4.78630092,178.82784
4.89778819,72.4040635,4.89778819,178.801105
5.01187234,72.4039869,5.01187234,178.773735
5.12861384,72.4039074,5.12861384,178.745713
5.2480746,72.4038248,5.2480746,178.717025
5.37031796,72.403739,5.37031796,178.687656
5.49540874,72.4036498,5.49540874,178.65759
5.62341325,72.4035569,5.62341325,178.62681
5.75439937,72.4034602,5.75439937,178.595301
5.88843655,72.4033595,5.88843655,178.563046
6.02559586,72.4032544,6.02559586,178.530027
6.16595002,72.4031449,6.16595002,178.496226
6.30957344,72.4030306,6.30957344,178.461626
6.45654229,72.4029113,6.45654229,178.426209
6.60693448,72.4027866,6.60693448,178.389954
6.76082975,72.4026565,6.76082975,178.352843
6.91830971,72.4025204,6.91830971,178.314856
7.07945784,72.4023782,7.07945784,178.275972
7.2443596,72.4022295,7.2443596,178.236171
7.41310241,72.4020739,7.41310241,178.195431
7.58577575,72.4019112,7.58577575,178.153731
7.76247117,72.4017409,7.76247117,178.111048
7.94328235,72.4015626,7.94328235,178.067359
8.12830516,72.4013759,8.12830516,178.022641
8.31763771,72.4011804,8.31763771,177.97687
8.51138038,72.4009757,8.51138038,177.930022
8.7096359,72.4007612,8.7096359,177.88207
8.91250938,72.4005365,8.91250938,177.83299
9.12010839,72.400301,9.12010839,177.782756
9.33254301,72.4000541,9.33254301,177.731339
9.54992586,72.3997954,9.54992586,177.678714
9.77237221,72.3995241,9.77237221,177.624851
10.0,72.3992396,10.0,177.569721
10.2329299,72.3989413,10.2329299,177.513295
10.4712855,72.3986284,10.4712855,177.455543
10.7151931,72.3983002,10.7151931,177.396433
10.964782,72.3979558,10.964782,177.335935
11.2201845,72.3975945,11.2201845,177.274015
11.4815362,72.3972154,11.4815362,177.210641
11.7489755,72.3968176,11.7489755,177.145777
12.0226443,72.3964,12.0226443,177.079391
12.3026877,72.3959616,12.3026877,177.011445
12.5892541,72.3955015,12.5892541,176.941904
12.8824955,72.3950184,12.8824955,176.870731
13.1825674,72.3945111,13.1825674,176.797887
13.4896288,72.3939785,13.4896288,176.723334
13.8038426,72.3934192,13.8038426,176.647031
14.1253754,72.3928317,14.1253754,176.568938
14.4543977,72.3922147,14.4543977,176.489014
14.7910839,72.3915666,14.7910839,176.407215
15.1356125,72.3908858,15.1356125,176.3235
15.4881662,72.3901706,15.4881662,176.237822
15.8489319,72.3894193,15.8489319,176.150136
16.218101,72.3886298,16.218101,176.060397
16.5958691,72.3878003,16.5958691,175.968557
16.9824365,72.3869287,16.9824365,175.874568
17.3780083,72.3860128,17.3780083,175.77838
17.7827941,72.3850504,17.7827941,175.679942
18.1970086,72.3840389,18.1970086,175.579204
18.6208714,72.382976,18.6208714,175.476112
19.0546072,72.3818589,19.0546072,175.370613
19.498446,72.3806849,19.498446,175.262653
19.9526231,72.379451,19.9526231,175.152176
20.4173794,72.3781542,20.4173794,175.039124
20.8929613,72.3767914,20.8929613,174.92344
21.3796209,72.3753591,21.3796209,174.805065
21.8776162,72.3738538,21.8776162,174.683938
22.3872114,72.3722719,22.3872114,174.559999
22.9086765,72.3706094,22.9086765,174.433184
23.4422882,72.3688624,23.4422882,174.30343
23.9883292,72.3670267,23.9883292,174.170672
24.5470892,72.3650977,24.5470892,174.034845
25.1188643,72.3630709,25.1188643,173.895881
25.7039578,72.3609415,25.7039578,173.753712
26.3026799,72.3587044,26.3026799,173.608268
26.915348,72.3563543,26.915348,173.45948
27.542287,72.3538857,27.542287,173.307275
28.1838293,72.3512929,28.1838293,173.151581
28.840315,72.3485699,28.840315,172.992324
29.5120923,72.3457104,29.5120923,172.829428
30.1995172,72.3427079,30.1995172,172.662817
30.9029543,72.3395556,30.9029543,172.492414
31.6227766,72.3362463,31.6227766,172.318141
32.3593657,72.3327727,32.3593657,172.139918
33.1131121,72.3291271,33.1131121,171.957664
33.8844156,72.3253014,33.8844156,171.771297
34.673685,72.3212872,34.673685,171.580735
35.4813389,72.3170758,35.4813389,171.385894
36.3078055,72.3126582,36.3078055,171.186689
37.1535229,72.3080249,37.1535229,170.983035
38.0189396,72.303166,38.0189396,170.774843
38.9045145,72.2980714,38.9045145,170.562028
39.8107171,72.2927304,39.8107171,170.3445
40.7380278,72.2871318,40.7380278,170.12217
41.6869383,72.2812643,41.6869383,169.894948
42.6579519,72.2751159,42.6579519,169.662743
43.6515832,72.268674,43.6515832,169.425463
44.6683592,72.2619257,44.6683592,169.183017
45.708819,72.2548577,45.708819,168.935312
46.7735141,72.247456,46.7735141,168.682254
47.8630092,72.239706,47.8630092,168.423751
48.9778819,72.2315927,48.9778819,168.159708
50.1187234,72.2231006,50.1187234,167.890032
51.2861384,72.2142133,51.2861384,167.614629
52.480746,72.2049141,52.480746,167.333404
53.7031796,72.1951856,53.7031796,167.046265
54.9540874,72.1850096,54.9540874,166.753119
56.2341325,72.1743674,56.2341325,166.453871
57.5439937,72.1632396,57.5439937,166.148431
58.8843655,72.1516062,58.8843655,165.836706
60.2559586,72.1394462,60.2559586,165.518607
61.6595002,72.1267383,61.6595002,165.194044
63.0957344,72.1134601,63.0957344,164.86293
64.5654229,72.0995885,64.5654229,164.525179
66.0693448,72.0851,66.0693448,164.180705
67.6082975,72.0699698,67.6082975,163.829428
69.1830971,72.0541728,69.1830971,163.471267
70.7945784,72.0376827,70.7945784,163.106145
72.443596,72.0204726,72.443596,162.733988
74.1310241,72.0025149,74.1310241,162.354724
75.8577575,71.983781,75.8577575,161.968286
77.6247117,71.9642416,77.6247117,161.57461
79.4328235,71.9438666,79.4328235,161.173637
81.2830516,71.9226249,81.2830516,160.76531
83.1763771,71.9004849,83.1763771,160.34958
85.1138038,71.8774141,85.1138038,159.926402
87.096359,71.853379,87.096359,159.495736
89.1250938,71.8283457,89.1250938,159.057547
91.2010839,71.8022794,91.2010839,158.611809
93.3254301,71.7751445,93.3254301,158.158501
95.4992586,71.7469048,95.4992586,157.697609
97.7237221,71.7175235,97.7237221,157.229127
100.0,71.6869631,100.0,156.753057
102.329299,71.6551854,102.329299,156.269408
104.712855,71.6221519,104.712855,155.7782
107.151931,71.5878235,107.151931,155.279459
109.64782,71.5521607,109.64782,154.773224
112.201845,71.5151234,112.201845,154.25954
114.815362,71.4766716,114.815362,153.738465
117.489755,71.4367648,117.489755,153.210067
120.226443,71.3953623,120.226443,152.674423
123.026877,71.3524234,123.026877,152.131623
125.892541,71.3079075,125.892541,151.581768
128.824955,71.2617738,128.824955,151.024971
131.825674,71.213982,131.825674,150.461354
134.896288,71.1644918,134.896288,149.891055
138.038426,71.1132635,138.038426,149.314221
141.253754,71.0602578,141.253754,148.731013
144.543977,71.0054359,144.543977,148.141603
147.910839,70.9487598,147.910839,147.546177
151.356125,70.8901922,151.356125,146.944931
154.881662,70.829697,154.881662,146.338075
158.489319,70.7672388,158.489319,145.725829
162.18101,70.7027835,162.18101,145.108427
165.958691,70.6362984,165.958691,144.486112
169.824365,70.5677518,169.824365,143.859141
173.780083,70.497114,173.780083,143.227779
177.827941,70.4243565,177.827941,142.592303
181.970086,70.3494527,181.970086,141.953
186.208714,70.2723777,186.208714,141.310164
190.546072,70.1931086,190.546072,140.664102
194.98446,70.1116244,194.98446,140.015125
199.526231,70.0279062,199.526231,139.363553
204.173794,69.9419374,204.173794,138.709712
208.929613,69.8537033,208.929613,138.053935
213.796209,69.7631918,213.796209,137.39656
218.776162,69.670393,218.776162,136.737928
223.872114,69.5752992,223.872114,136.078383
229.086765,69.4779055,229.086765,135.418274
234.422882,69.3782091,234.422882,134.757948
239.883292,69.2762096,239.883292,134.097755
245.470892,69.1719094,245.470892,133.438045
251.188643,69.0653129,251.188643,132.779164
257.039578,68.9564272,257.039578,132.121459
263.026799,68.8452617,263.026799,131.465272
269.15348,68.7318281,269.15348,130.81094
275.42287,68.6161405,275.42287,130.158799
281.838293,68.498215,281.838293,129.509175
288.40315,68.3780701,288.40315,128.862391
295.120923,68.2557263,295.120923,128.21876
301.995172,68.1312062,301.995172,127.57859
309.029543,68.0045343,309.029543,126.942177
316.227766,67.8757367,316.227766,126.309811
323.593657,67.7448415,323.593657,125.68177
331.131121,67.6118784,331.131121,125.058323
338.844156,67.4768786,338.844156,124.439729
346.73685,67.3398746,346.73685,123.826234
354.813389,67.2009002,354.813389,123.218073
363.078055,67.0599906,363.078055,122.61547
371.535229,66.9171819,371.535229,122.018638
380.189396,66.7725111,380.189396,121.427776
389.045145,66.6260162,389.045145,120.843071
398.107171,66.4777358,398.107171,120.264699
407.380278,66.3277092,407.380278,119.692824
416.869383,66.1759762,416.869383,119.127595
426.579519,66.0225768,426.579519,118.569151
436.515832,65.8675517,436.515832,118.01762
446.683592,65.7109415,446.683592,117.473116
457.08819,65.5527869,457.08819,116.935742
467.735141,65.3931288,467.735141,116.405589
478.630092,65.232008,478.630092,115.882739
489.778819,65.069465,489.778819,115.367261
501.187234,64.9055402,501.187234,114.859213
512.861384,64.7402736,512.861384,114.358644
524.80746,64.5737051,524.80746,113.865594
537.031796,64.4058739,537.031796,113.380092
549.540874,64.2368189,549.540874,112.902157
562.341325,64.0665783,562.341325,112.431801
