col0,col1,col2,col3
1.0,61.8666277,1.0,179.725415
1.02329299,61.866498,1.02329299,179.720766
1.04712855,61.8663719,1.04712855,179.715999
1.07151931,61.8662492,1.07151931,179.71111
1.0964782,61.8661299,1.0964782,179.706095
1.12201845,61.866014,1.12201845,179.70095
1.14815362,61.8659015,1.14815362,179.695671
1.17489755,61.8657923,1.17489755,179.690255
1.20226443,61.8656862,1.20226443,179.684697
1.23026877,61.8655834,1.23026877,179.678993
1.25892541,61.8654836,1.25892541,179.67314
1.28824955,61.8653868,1.28824955,179.667132
1.31825674,61.865293,1.31825674,179.660967
1.34896288,61.8652021,1.34896288,179.654639
1.38038426,61.865114,1.38038426,179.648145
1.41253754,61.8650287,1.41253754,179.64148
1.44543977,61.8649459,1.44543977,179.634639
1.47910839,61.8648657,1.47910839,179.62762
1.51356125,61.8647881,1.51356125,179.620416
1.54881662,61.8647128,1.54881662,179.613023
1.58489319,61.8646398,1.58489319,179.605437
1.6218101,61.864569,1.6218101,179.597654
1.65958691,61.8645004,1.65958691,179.589667
1.69824365,61.8644339,1.69824365,179.581474
1.73780083,61.8643693,1.73780083,179.573067
1.77827941,61.8643066,1.77827941,179.564443
1.81970086,61.8642457,1.81970086,179.555597
1.86208714,61.8641865,1.86208714,179.546523
1.90546072,61.8641289,1.90546072,179.537216
1.9498446,61.8640729,1.9498446,179.52767
1.99526231,61.8640183,1.99526231,179.517881
2.04173794,61.8639651,2.04173794,179.507842
2.08929613,61.8639132,2.08929613,179.497548
2.13796209,61.8638625,2.13796209,179.486993
2.18776162,61.8638129,2.18776162,179.476172
2.23872114,61.8637644,2.23872114,179.465077
2.29086765,61.8637168,2.29086765,179.453703
2.34422882,61.8636701,2.34422882,179.442043
2.39883292,61.8636241,2.39883292,179.430092
2.45470892,61.8635789,2.45470892,179.417842
2.51188643,61.8635344,2.51188643,179.405287
2.57039578,61.8634904,2.57039578,179.392419
2.63026799,61.8634468,2.63026799,179.379233
2.6915348,61.8634036,2.6915348,179.36572
2.7542287,61.8633608,2.7542287,179.351873
2.81838293,61.8633181,2.81838293,179.337685
2.8840315,61.8632757,2.8840315,179.323148
2.95120923,61.8632332,2.95120923,179.308254
3.01995172,61.8631908,3.01995172,179.292995
3.09029543,61.8631482,3.09029543,179.277363
3.16227766,61.8631055,3.16227766,179.261349
3.23593657,61.8630624,3.23593657,179.244945
3.31131121,61.863019,3.31131121,179.228142
3.38844156,61.8629752,3.38844156,179.210931
3.4673685,61.8629308,3.4673685,179.193302
3.54813389,61.8628857,3.54813389,179.175247
3.63078055,61.86284,3.63078055,179.156755
3.71535229,61.8627934,3.71535229,179.137817
3.80189396,61.8627459,3.80189396,179.118421
3.89045145,61.8626974,3.89045145,179.098559
3.98107171,61.8626477,3.98107171,179.07822
4.07380278,61.8625968,4.07380278,179.057391
4.16869383,61.8625446,4.16869383,179.036063
4.26579519,61.8624909,4.26579519,179.014224
4.36515832,61.8624357,4.36515832,178.991862
4.46683592,61.8623788,4.46683592,178.968966
4.5708819,61.86232,4.5708819,178.945522
4.67735141,61.8622594,4.67735141,178.921519
4.78630092,61.8621967,4.78630092,178.896943
4.89778819,61.8621317,4.89778819,178.871782
5.01187234,61.8620644,5.01187234,178.846022
5.12861384,61.8619947,5.12861384,178.819649
5.2480746,61.8619222,5.2480746,178.79265
5.37031796,61.861847,5.37031796,178.765009
5.49540874,61.8617688,5.49540874,178.736712
5.62341325,61.8616875,5.62341325,178.707744
5.75439937,61.8616028,5.75439937,178.678089
5.88843655,61.8615146,5.88843655,178.647731
6.02559586,61.8614227,6.02559586,178.616655
6.16595002,61.8613268,6.16595002,178.584843
6.30957344,61.8612268,6.30957344,178.552279
6.45654229,61.8611225,6.45654229,178.518945
6.60693448,61.8610136,6.60693448,178.484823
6.76082975,61.8608998,6.76082975,178.449896
6.91830971,61.8607809,6.91830971,178.414143
7.07945784,61.8606566,7.07945784,178.377547
7.2443596,61.8605266,7.2443596,178.340087
7.41310241,61.8603907,7.41310241,178.301743
7.58577575,61.8602485,7.58577575,178.262496
7.76247117,61.8600997,7.76247117,178.222323
7.94328235,61.859944,7.94328235,178.181204
8.12830516,61.8597809,8.12830516,178.139115
8.31763771,61.8596101,8.31763771,178.096036
8.51138038,61.8594313,8.51138038,178.051942
8.7096359,61.8592439,8.7096359,178.006809
8.91250938,61.8590475,8.91250938,177.960615
9.12010839,61.8588417,9.12010839,177.913333
9.33254301,61.858626,9.33254301,177.864939
9.54992586,61.8583999,9.54992586,177.815406
9.77237221,61.8581628,9.77237221,177.764707
10.0,61.8579141,10.0,177.712817
10.2329299,61.8576533,10.2329299,177.659706
