col0,col1,col2,col3
1.0,72.4089401,1.0,179.708046
1.02329299,72.4088012,1.02329299,179.703113
1.04712855,72.4086662,1.04712855,179.698055
1.07151931,72.4085348,1.07151931,179.692867
1.0964782,72.408407,1.0964782,179.687545
1.12201845,72.4082829,1.12201845,179.682086
1.14815362,72.4081623,1.14815362,179.676484
1.17489755,72.4080453,1.17489755,179.670736
1.20226443,72.4079316,1.20226443,179.664838
1.23026877,72.4078214,1.23026877,179.658785
1.25892541,72.4077144,1.25892541,179.652573
1.28824955,72.4076106,1.28824955,179.646197
1.31825674,72.40751,1.31825674,179.639654
1.34896288,72.4074125,1.34896288,179.632938
1.38038426,72.4073179,1.38038426,179.626045
1.41253754,72.4072263,1.41253754,179.618971
1.44543977,72.4071374,1.44543977,179.611711
1.47910839,72.4070513,1.47910839,179.60426
1.51356125,72.4069678,1.51356125,179.596614
1.54881662,72.4068869,1.54881662,179.588767
1.58489319,72.4068084,1.58489319,179.580715
1.6218101,72.4067322,1.6218101,179.572453
1.65958691,72.4066584,1.65958691,179.563975
1.69824365,72.4065867,1.69824365,179.555277
1.73780083,72.406517,1.73780083,179.546353
1.77827941,72.4064494,1.77827941,179.537199
1.81970086,72.4063837,1.81970086,179.527808
1.86208714,72.4063197,1.86208714,179.518175
1.90546072,72.4062575,1.90546072,179.508294
1.9498446,72.4061969,1.9498446,179.49816
1.99526231,72.4061378,1.99526231,179.487767
2.04173794,72.4060802,2.04173794,179.47711
2.08929613,72.4060239,2.08929613,179.466181
2.13796209,72.4059688,2.13796209,179.454975
2.18776162,72.4059149,2.18776162,179.443485
2.23872114,72.4058621,2.23872114,179.431705
2.29086765,72.4058102,2.29086765,179.419629
2.34422882,72.4057593,2.34422882,179.40725
2.39883292,72.4057091,2.39883292,179.39456
2.45470892,72.4056597,2.45470892,179.381554
2.51188643,72.4056109,2.51188643,179.368223
2.57039578,72.4055626,2.57039578,179.35456
2.63026799,72.4055148,2.63026799,179.340559
2.6915348,72.4054673,2.6915348,179.326211
2.7542287,72.4054201,2.7542287,179.311508
2.81838293,72.405373,2.81838293,179.296443
2.8840315,72.4053261,2.8840315,179.281007
2.95120923,72.4052791,2.95120923,179.265191
3.01995172,72.405232,3.01995172,179.248989
3.09029543,72.4051848,3.09029543,179.23239
3.16227766,72.4051372,3.16227766,179.215385
3.23593657,72.4050893,3.23593657,179.197966
3.31131121,72.4050408,3.31131121,179.180123
3.38844156,72.4049919,3.38844156,179.161847
3.4673685,72.4049422,3.4673685,179.143127
3.54813389,72.4048917,3.54813389,179.123954
3.63078055,72.4048404,3.63078055,179.104318
3.71535229,72.404788,3.71535229,179.084207
3.80189396,72.4047346,3.80189396,179.063611
3.89045145,72.4046799,3.89045145,179.042519
3.98107171,72.4046239,3.98107171,179.02092
4.07380278,72.4045665,4.07380278,178.998802
4.16869383,72.4045074,4.16869383,178.976153
4.26579519,72.4044467,4.26579519,178.952961
4.36515832,72.4043842,4.36515832,178.929215
4.46683592,72.4043196,4.46683592,178.9049
4.5708819,72.404253,4.5708819,178.880004
4.67735141,72.4041841,4.67735141,178.854514
4.78630092,72.4041129,4.78630092,178.828416
4.89778819,72.404039,4.89778819,178.801697
5.01187234,72.4039625,5.01187234,178.774341
5.12861384,72.4038831,5.12861384,178.746335
5.2480746,72.4038006,5.2480746,178.717662
5.37031796,72.4037149,5.37031796,178.688309
5.49540874,72.4036257,5.49540874,178.658259
5.62341325,72.4035329,5.62341325,178.627496
5.75439937,72.4034363,5.75439937,178.596005
5.88843655,72.4033357,5.88843655,178.563767
6.02559586,72.4032307,6.02559586,178.530765
6.16595002,72.4031213,6.16595002,178.496983
6.30957344,72.4030071,6.30957344,178.462402
6.45654229,72.4028879,6.45654229,178.427003
6.60693448,72.4027634,6.60693448,178.390767
6.76082975,72.4026334,6.76082975,178.353676
6.91830971,72.4024975,6.91830971,178.315709
7.07945784,72.4023554,7.07945784,178.276846
7.2443596,72.4022069,7.2443596,178.237066
7.41310241,72.4020515,7.41310241,178.196348
7.58577575,72.4018889,7.58577575,178.15467
7.76247117,72.4017188,7.76247117,178.112009
7.94328235,72.4015407,7.94328235,178.068344
8.12830516,72.4013543,8.12830516,178.02365
