col0,col1,col2,col3
1.0,72.40894,1.0,179.707953
1.02329299,72.4088012,1.02329299,179.703018
1.04712855,72.4086661,1.04712855,179.697958
1.07151931,72.4085347,1.07151931,179.692768
1.0964782,72.408407,1.0964782,179.687444
1.12201845,72.4082828,1.12201845,179.681982
1.14815362,72.4081623,1.14815362,179.676378
1.17489755,72.4080452,1.17489755,179.670627
1.20226443,72.4079315,1.20226443,179.664727
1.23026877,72.4078213,1.23026877,179.658671
1.25892541,72.4077143,1.25892541,179.652456
1.28824955,72.4076105,1.28824955,179.646078
1.31825674,72.4075099,1.31825674,179.639532
1.34896288,72.4074124,1.34896288,179.632813
1.38038426,72.4073178,1.38038426,179.625918
1.41253754,72.4072262,1.41253754,179.618841
1.44543977,72.4071373,1.44543977,179.611578
1.47910839,72.4070512,1.47910839,179.604124
1.51356125,72.4069677,1.51356125,179.596474
1.54881662,72.4068867,1.54881662,179.588624
1.58489319,72.4068082,1.58489319,179.580569
1.6218101,72.4067321,1.6218101,179.572303
1.65958691,72.4066582,1.65958691,179.563822
1.69824365,72.4065865,1.69824365,179.55512
1.73780083,72.4065169,1.73780083,179.546193
1.77827941,72.4064492,1.77827941,179.537034
1.81970086,72.4063835,1.81970086,179.527639
1.86208714,72.4063195,1.86208714,179.518003
1.90546072,72.4062573,1.90546072,179.508118
1.9498446,72.4061967,1.9498446,179.49798
1.99526231,72.4061376,1.99526231,179.487583
2.04173794,72.4060799,2.04173794,179.476921
2.08929613,72.4060236,2.08929613,179.465988
2.13796209,72.4059686,2.13796209,179.454777
2.18776162,72.4059146,2.18776162,179.443283
2.23872114,72.4058618,2.23872114,179.431499
2.29086765,72.4058099,2.29086765,179.419418
2.34422882,72.405759,2.34422882,179.407033
2.39883292,72.4057088,2.39883292,179.394339
2.45470892,72.4056594,2.45470892,179.381327
2.51188643,72.4056105,2.51188643,179.367991
2.57039578,72.4055622,2.57039578,179.354323
2.63026799,72.4055144,2.63026799,179.340316
2.6915348,72.4054669,2.6915348,179.325962
2.7542287,72.4054196,2.7542287,179.311253
2.81838293,72.4053726,2.81838293,179.296182
2.8840315,72.4053256,2.8840315,179.28074
2.95120923,72.4052786,2.95120923,179.264919
3.01995172,72.4052315,3.01995172,179.24871
3.09029543,72.4051842,3.09029543,179.232104
3.16227766,72.4051366,3.16227766,179.215093
3.23593657,72.4050887,3.23593657,179.197667
3.31131121,72.4050402,3.31131121,179.179817
3.38844156,72.4049912,3.38844156,179.161534
3.4673685,72.4049415,3.4673685,179.142807
3.54813389,72.404891,3.54813389,179.123627
3.63078055,72.4048396,3.63078055,179.103982
3.71535229,72.4047873,3.71535229,179.083864
3.80189396,72.4047338,3.80189396,179.06326
3.89045145,72.4046791,3.89045145,179.04216
3.98107171,72.404623,3.98107171,179.020552
4.07380278,72.4045656,4.07380278,178.998425
4.16869383,72.4045065,4.16869383,178.975768
4.26579519,72.4044457,4.26579519,178.952567
4.36515832,72.4043831,4.36515832,178.928811
4.46683592,72.4043185,4.46683592,178.904487
4.5708819,72.4042519,4.5708819,178.879582
4.67735141,72.4041829,4.67735141,178.854082
4.78630092,72.4041116,4.78630092,178.827974
4.89778819,72.4040377,4.89778819,178.801244
5.01187234,72.4039611,5.01187234,178.773878
5.12861384,72.4038816,5.12861384,178.745861
5.2480746,72.4037991,5.2480746,178.717178
5.37031796,72.4037133,5.37031796,178.687813
5.49540874,72.4036241,5.49540874,178.657752
5.62341325,72.4035312,5.62341325,178.626977
5.75439937,72.4034345,5.75439937,178.595473
5.88843655,72.4033338,5.88843655,178.563223
6.02559586,72.4032288,6.02559586,178.530209
6.16595002,72.4031192,6.16595002,178.496413
6.30957344,72.4030049,6.30957344,178.461819
6.45654229,72.4028856,6.45654229,178.426406
6.60693448,72.4027611,6.60693448,178.390157
6.76082975,72.4026309,6.76082975,178.353052
6.91830971,72.4024949,6.91830971,178.31507
7.07945784,72.4023527,7.07945784,178.276192
7.2443596,72.402204,7.2443596,178.236397
7.41310241,72.4020485,7.41310241,178.195663
7.58577575,72.4018858,7.58577575,178.153969
7.76247117,72.4017155,7.76247117,178.111293
7.94328235,72.4015373,7.94328235,178.06761
8.12830516,72.4013507,8.12830516,178.022899
8.31763771,72.4011553,8.31763771,177.977135
8.51138038,72.4009506,8.51138038,177.930293
8.7096359,72.4007361,8.7096359,177.882349
8.91250938,72.4005115,8.91250938,177.833276
9.12010839,72.400276,9.12010839,177.783049
9.33254301,72.4000293,9.33254301,177.73164
9.54992586,72.3997706,9.54992586,177.679022
9.77237221,72.3994994,9.77237221,177.625167
10.0,72.399215,10.0,177.570045
10.2329299,72.3989168,10.2329299,177.513627
10.4712855,72.3986039,10.4712855,177.455883
10.7151931,72.3982758,10.7151931,177.396782
10.964782,72.3979316,10.964782,177.336292
11.2201845,72.3975704,11.2201845,177.274381
11.4815362,72.3971914,11.4815362,177.211016
11.7489755,72.3967936,11.7489755,177.146162
12.0226443,72.3963762,12.0226443,177.079785
12.3026877,72.395938,12.3026877,177.011849
12.5892541,72.395478,12.5892541,176.942318
12.8824955,72.394995,12.8824955,176.871154
13.1825674,72.3944879,13.1825674,176.798321
13.4896288,72.3939554,13.4896288,176.723778
13.8038426,72.3933963,13.8038426,176.647486
14.1253754,72.392809,14.1253754,176.569404
14.4543977,72.3921922,14.4543977,176.489491
14.7910839,72.3915443,14.7910839,176.407704
15.1356125,72.3908637,15.1356125,176.324
15.4881662,72.3901487,15.4881662,176.238334
15.8489319,72.3893975,15.8489319,176.150661
16.218101,72.3886083,16.218101,176.060934
16.5958691,72.3877791,16.5958691,175.969107
16.9824365,72.3869077,16.9824365,175.875131
17.3780083,72.3859921,17.3780083,175.778956
17.7827941,72.3850299,17.7827941,175.680532
18.1970086,72.3840187,18.1970086,175.579807
18.6208714,72.3829561,18.6208714,175.47673
19.0546072,72.3818393,19.0546072,175.371246
19.498446,72.3806656,19.498446,175.2633
19.9526231,72.3794321,19.9526231,175.152838
20.4173794,72.3781358,20.4173794,175.039802
20.8929613,72.3767733,20.8929613,174.924134
21.3796209,72.3753414,21.3796209,174.805775
21.8776162,72.3738365,21.8776162,174.684665
22.3872114,72.372255,22.3872114,174.560742
22.9086765,72.370593,22.9086765,174.433944
23.4422882,72.3688465,23.4422882,174.304208
23.9883292,72.3670113,23.9883292,174.171468
24.5470892,72.3650828,24.5470892,174.03566
25.1188643,72.3630566,25.1188643,173.896714
25.7039578,72.3609277,25.7039578,173.754564
26.3026799,72.3586912,26.3026799,173.609141
26.915348,72.3563417,26.915348,173.460372
27.542287,72.3538738,27.542287,173.308188
28.1838293,72.3512818,28.1838293,173.152515
28.840315,72.3485595,28.840315,172.993279
29.5120923,72.3457007,29.5120923,172.830405
30.1995172,72.342699,30.1995172,172.663816
30.9029543,72.3395475,30.9029543,172.493436
31.6227766,72.3362391,31.6227766,172.319186
32.3593657,72.3327664,32.3593657,172.140987
33.1131121,72.3291217,33.1131121,171.958757
33.8844156,72.3252969,33.8844156,171.772415
34.673685,72.3212838,34.673685,171.581878
35.4813389,72.3170735,35.4813389,171.387063
