col0,col1,col2,col3
1.0,72.2913282,1.0,179.760925
1.02329299,72.2913256,1.02329299,179.755356
1.04712855,72.2913228,1.04712855,179.749657
1.07151931,72.29132,1.07151931,179.743825
1.0964782,72.2913169,1.0964782,179.737857
1.12201845,72.2913137,1.12201845,179.73175
1.14815362,72.2913104,1.14815362,179.725501
1.17489755,72.2913069,1.17489755,179.719106
1.20226443,72.2913033,1.20226443,179.712562
1.23026877,72.2912994,1.23026877,179.705866
1.25892541,72.2912954,1.25892541,179.699014
1.28824955,72.2912912,1.28824955,179.692002
1.31825674,72.2912867,1.31825674,179.684827
1.34896288,72.2912821,1.34896288,179.677484
1.38038426,72.2912772,1.38038426,179.669971
1.41253754,72.2912721,1.41253754,179.662282
1.44543977,72.2912668,1.44543977,179.654415
1.47910839,72.2912612,1.47910839,179.646364
1.51356125,72.2912553,1.51356125,179.638126
1.54881662,72.2912492,1.54881662,179.629695
1.58489319,72.2912427,1.58489319,179.621068
1.6218101,72.291236,1.6218101,179.612241
1.65958691,72.2912289,1.65958691,179.603207
1.69824365,72.2912215,1.69824365,179.593963
1.73780083,72.2912137,1.73780083,179.584504
1.77827941,72.2912055,1.77827941,179.574824
1.81970086,72.291197,1.81970086,179.564919
1.86208714,72.291188,1.86208714,179.554783
1.90546072,72.2911787,1.90546072,179.544411
1.9498446,72.2911688,1.9498446,179.533798
1.99526231,72.2911586,1.99526231,179.522937
2.04173794,72.2911478,2.04173794,179.511823
2.08929613,72.2911365,2.08929613,179.500449
2.13796209,72.2911247,2.13796209,179.488811
2.18776162,72.2911123,2.18776162,179.476902
2.23872114,72.2910993,2.23872114,179.464716
2.29086765,72.2910857,2.29086765,179.452245
2.34422882,72.2910714,2.34422882,179.439484
2.39883292,72.2910565,2.39883292,179.426425
2.45470892,72.2910408,2.45470892,179.413062
2.51188643,72.2910245,2.51188643,179.399388
2.57039578,72.2910073,2.57039578,179.385395
2.63026799,72.2909893,2.63026799,179.371076
2.6915348,72.2909705,2.6915348,179.356424
2.7542287,72.2909508,2.7542287,179.341429
2.81838293,72.2909301,2.81838293,179.326086
2.8840315,72.2909084,2.8840315,179.310385
2.95120923,72.2908858,2.95120923,179.294318
3.01995172,72.290862,3.01995172,179.277876
3.09029543,72.2908371,3.09029543,179.261051
3.16227766,72.2908111,3.16227766,179.243834
3.23593657,72.2907838,3.23593657,179.226216
3.31131121,72.2907552,3.31131121,179.208187
3.38844156,72.2907252,3.38844156,179.189738
3.4673685,72.2906938,3.4673685,179.170859
3.54813389,72.2906609,3.54813389,179.15154
3.63078055,72.2906265,3.63078055,179.13177
3.71535229,72.2905904,3.71535229,179.11154
3.80189396,72.2905526,3.80189396,179.090837
3.89045145,72.290513,3.89045145,179.069653
3.98107171,72.2904715,3.98107171,179.047974
4.07380278,72.290428,4.07380278,179.025789
4.16869383,72.2903824,4.16869383,179.003088
4.26579519,72.2903347,4.26579519,178.979857
4.36515832,72.2902847,4.36515832,178.956084
4.46683592,72.2902323,4.46683592,178.931757
4.5708819,72.2901774,4.5708819,178.906862
4.67735141,72.2901199,4.67735141,178.881387
4.78630092,72.2900597,4.78630092,178.855317
4.89778819,72.2899965,4.89778819,178.82864
5.01187234,72.2899303,5.01187234,178.80134
5.12861384,72.289861,5.12861384,178.773403
