col0,col1,col2,col3
1.0,72.2913281,1.0,179.760679
1.02329299,72.2913255,1.02329299,179.755103
1.04712855,72.2913227,1.04712855,179.749398
1.07151931,72.2913198,1.07151931,179.74356
1.0964782,72.2913168,1.0964782,179.737586
1.12201845,72.2913136,1.12201845,179.731473
1.14815362,72.2913102,1.14815362,179.725217
1.17489755,72.2913067,1.17489755,179.718816
1.20226443,72.2913031,1.20226443,179.712266
1.23026877,72.2912992,1.23026877,179.705562
1.25892541,72.2912952,1.25892541,179.698703
1.28824955,72.2912909,1.28824955,179.691684
1.31825674,72.2912865,1.31825674,179.684501
1.34896288,72.2912818,1.34896288,179.677151
1.38038426,72.291277,1.38038426,179.66963
1.41253754,72.2912718,1.41253754,179.661934
1.44543977,72.2912665,1.44543977,179.654058
1.47910839,72.2912609,1.47910839,179.645999
1.51356125,72.291255,1.51356125,179.637752
1.54881662,72.2912488,1.54881662,179.629313
1.58489319,72.2912424,1.58489319,179.620677
1.6218101,72.2912356,1.6218101,179.61184
1.65958691,72.2912285,1.65958691,179.602798
1.69824365,72.291221,1.69824365,179.593544
1.73780083,72.2912132,1.73780083,179.584075
1.77827941,72.2912051,1.77827941,179.574386
1.81970086,72.2911965,1.81970086,179.56447
1.86208714,72.2911875,1.86208714,179.554324
1.90546072,72.2911782,1.90546072,179.543941
1.9498446,72.2911683,1.9498446,179.533316
1.99526231,72.291158,1.99526231,179.522444
2.04173794,72.2911472,2.04173794,179.511319
2.08929613,72.2911359,2.08929613,179.499934
2.13796209,72.291124,2.13796209,179.488284
2.18776162,72.2911116,2.18776162,179.476362
2.23872114,72.2910986,2.23872114,179.464163
2.29086765,72.2910849,2.29086765,179.45168
2.34422882,72.2910706,2.34422882,179.438905
2.39883292,72.2910557,2.39883292,179.425833
2.45470892,72.29104,2.45470892,179.412457
2.51188643,72.2910236,2.51188643,179.398768
2.57039578,72.2910064,2.57039578,179.384761
2.63026799,72.2909883,2.63026799,179.370427
2.6915348,72.2909695,2.6915348,179.355759
2.7542287,72.2909497,2.7542287,179.34075
2.81838293,72.290929,2.81838293,179.32539
2.8840315,72.2909073,2.8840315,179.309673
2.95120923,72.2908845,2.95120923,179.293589
3.01995172,72.2908607,3.01995172,179.277131
3.09029543,72.2908358,3.09029543,179.260289
3.16227766,72.2908096,3.16227766,179.243054
3.23593657,72.2907823,3.23593657,179.225418
3.31131121,72.2907536,3.31131121,179.20737
3.38844156,72.2907236,3.38844156,179.188902
