col0,col1,col2,col3
1.0,72.2913282,1.0,179.760931
1.02329299,72.2913256,1.02329299,179.755361
1.04712855,72.2913228,1.04712855,179.749662
1.07151931,72.29132,1.07151931,179.74383
1.0964782,72.2913169,1.0964782,179.737863
1.12201845,72.2913137,1.12201845,179.731756
1.14815362,72.2913104,1.14815362,179.725507
1.17489755,72.2913069,1.17489755,179.719112
1.20226443,72.2913033,1.20226443,179.712568
1.23026877,72.2912994,1.23026877,179.705872
1.25892541,72.2912954,1.25892541,179.69902
1.28824955,72.2912912,1.28824955,179.692009
1.31825674,72.2912867,1.31825674,179.684834
1.34896288,72.2912821,1.34896288,179.677491
1.38038426,72.2912772,1.38038426,179.669978
1.41253754,72.2912721,1.41253754,179.66229
1.44543977,72.2912668,1.44543977,179.654422
1.47910839,72.2912612,1.47910839,179.646372
1.51356125,72.2912553,1.51356125,179.638133
1.54881662,72.2912492,1.54881662,179.629703
1.58489319,72.2912427,1.58489319,179.621077
1.6218101,72.291236,1.6218101,179.612249
1.65958691,72.2912289,1.65958691,179.603216
1.69824365,72.2912215,1.69824365,179.593972
1.73780083,72.2912137,1.73780083,179.584513
1.77827941,72.2912055,1.77827941,179.574834
1.81970086,72.291197,1.81970086,179.564929
1.86208714,72.291188,1.86208714,179.554793
1.90546072,72.2911787,1.90546072,179.544421
1.9498446,72.2911689,1.9498446,179.533808
1.99526231,72.2911586,1.99526231,179.522947
2.04173794,72.2911478,2.04173794,179.511833
2.08929613,72.2911365,2.08929613,179.50046
2.13796209,72.2911247,2.13796209,179.488823
2.18776162,72.2911123,2.18776162,179.476914
2.23872114,72.2910993,2.23872114,179.464727
2.29086765,72.2910857,2.29086765,179.452257
2.34422882,72.2910714,2.34422882,179.439496
2.39883292,72.2910565,2.39883292,179.426438
2.45470892,72.2910409,2.45470892,179.413075
2.51188643,72.2910245,2.51188643,179.399401
2.57039578,72.2910073,2.57039578,179.385409
2.63026799,72.2909893,2.63026799,179.37109
2.6915348,72.2909705,2.6915348,179.356438
2.7542287,72.2909508,2.7542287,179.341444
2.81838293,72.2909301,2.81838293,179.326101
2.8840315,72.2909085,2.8840315,179.3104
2.95120923,72.2908858,2.95120923,179.294333
3.01995172,72.290862,3.01995172,179.277892
3.09029543,72.2908372,3.09029543,179.261068
3.16227766,72.2908111,3.16227766,179.243851
3.23593657,72.2907838,3.23593657,179.226233
3.31131121,72.2907552,3.31131121,179.208205
3.38844156,72.2907252,3.38844156,179.189756
3.4673685,72.2906938,3.4673685,179.170877
3.54813389,72.2906609,3.54813389,179.151558
3.63078055,72.2906265,3.63078055,179.131789
3.71535229,72.2905904,3.71535229,179.111559
3.80189396,72.2905526,3.80189396,179.090857
3.89045145,72.290513,3.89045145,179.069673
3.98107171,72.2904715,3.98107171,179.047994
4.07380278,72.290428,4.07380278,179.025811
4.16869383,72.2903825,4.16869383,179.003109
4.26579519,72.2903348,4.26579519,178.979879
4.36515832,72.2902848,4.36515832,178.956107
4.46683592,72.2902324,4.46683592,178.93178
4.5708819,72.2901775,4.5708819,178.906886
4.67735141,72.29012,4.67735141,178.881411
4.78630092,72.2900597,4.78630092,178.855342
4.89778819,72.2899966,4.89778819,178.828665
5.01187234,72.2899304,5.01187234,178.801366
5.12861384,72.2898611,5.12861384,178.77343
5.2480746,72.2897884,5.2480746,178.744842
5.37031796,72.2897123,5.37031796,178.715587
5.49540874,72.2896325,5.49540874,178.685649
5.62341325,72.2895488,5.62341325,178.655013
5.75439937,72.2894612,5.75439937,178.623661
5.88843655,72.2893693,5.88843655,178.591578
6.02559586,72.289273,6.02559586,178.558746
6.16595002,72.2891721,6.16595002,178.525148
6.30957344,72.2890663,6.30957344,178.490765
6.45654229,72.2889553,6.45654229,178.45558
6.60693448,72.2888391,6.60693448,178.419573
6.76082975,72.2887172,6.76082975,178.382725
6.91830971,72.2885894,6.91830971,178.345016
7.07945784,72.2884554,7.07945784,178.306427
7.2443596,72.2883149,7.2443596,178.266937
7.41310241,72.2881675,7.41310241,178.226524
7.58577575,72.288013,7.58577575,178.185166
7.76247117,72.287851,7.76247117,178.142843
7.94328235,72.2876811,7.94328235,178.09953
8.12830516,72.2875029,8.12830516,178.055206
8.31763771,72.287316,8.31763771,178.009845
8.51138038,72.2871199,8.51138038,177.963424
8.7096359,72.2869143,8.7096359,177.915918
8.91250938,72.2866985,8.91250938,177.867301
9.12010839,72.2864722,9.12010839,177.817548
9.33254301,72.2862347,9.33254301,177.766631
9.54992586,72.2859855,9.54992586,177.714524
9.77237221,72.2857241,9.77237221,177.661197
10.0,72.2854497,10.0,177.606624
10.2329299,72.2851617,10.2329299,177.550774
10.4712855,72.2848595,10.4712855,177.493617
10.7151931,72.2845423,10.7151931,177.435123
10.964782,72.2842093,10.964782,177.37526
11.2201845,72.2838597,11.2201845,177.313997
11.4815362,72.2834928,11.4815362,177.2513
11.7489755,72.2831075,11.7489755,177.187136
12.0226443,72.2827029,12.0226443,177.12147
12.3026877,72.2822781,12.3026877,177.054268
12.5892541,72.281832,12.5892541,176.985492
12.8824955,72.2813636,12.8824955,176.915107
13.1825674,72.2808715,13.1825674,176.843075
13.4896288,72.2803547,13.4896288,176.769357
13.8038426,72.2798118,13.8038426,176.693915
14.1253754,72.2792416,14.1253754,176.616706
14.4543977,72.2786425,14.4543977,176.537691
14.7910839,72.278013,14.7910839,176.456828
15.1356125,72.2773517,15.1356125,176.374073
15.4881662,72.2766569,15.4881662,176.289382
15.8489319,72.2759267,15.8489319,176.202712
16.218101,72.2751595,16.218101,176.114014
16.5958691,72.2743532,16.5958691,176.023244
16.9824365,72.2735058,16.9824365,175.930353
17.3780083,72.2726153,17.3780083,175.835292
17.7827941,72.2716794,17.7827941,175.738011
18.1970086,72.2706957,18.1970086,175.638459
18.6208714,72.2696618,18.6208714,175.536585
19.0546072,72.2685751,19.0546072,175.432335
19.498446,72.2674329,19.498446,175.325656
19.9526231,72.2662324,19.9526231,175.216491
20.4173794,72.2649705,20.4173794,175.104785
20.8929613,72.2636442,20.8929613,174.990481
21.3796209,72.2622502,21.3796209,174.873519
21.8776162,72.260785,21.8776162,174.753841
22.3872114,72.2592451,22.3872114,174.631385
22.9086765,72.2576266,22.9086765,174.50609
23.4422882,72.2559257,23.4422882,174.377893
23.9883292,72.2541382,23.9883292,174.246729
24.5470892,72.2522597,24.5470892,174.112534
25.1188643,72.2502859,25.1188643,173.975241
25.7039578,72.248212,25.7039578,173.834782
26.3026799,72.246033,26.3026799,173.691089
26.915348,72.2437438,26.915348,173.544091
27.542287,72.241339,27.542287,173.393719
28.1838293,72.238813,28.1838293,173.239899
28.840315,72.23616,28.840315,173.082558
29.5120923,72.2333738,29.5120923,172.921622
30.1995172,72.230448,30.1995172,172.757016
30.9029543,72.227376,30.9029543,172.588662
31.6227766,72.2241509,31.6227766,172.416483
32.3593657,72.2207654,32.3593657,172.2404
33.1131121,72.217212,33.1131121,172.060332
33.8844156,72.2134828,33.8844156,171.8762
34.673685,72.2095697,34.673685,171.68792
35.4813389,72.2054641,35.4813389,171.495409
36.3078055,72.2011572,36.3078055,171.298584
37.1535229,72.1966396,37.1535229,171.097358
38.0189396,72.1919019,38.0189396,170.891646
38.9045145,72.186934,38.9045145,170.68136
39.8107171,72.1817255,39.8107171,170.466413
40.7380278,72.1762655,40.7380278,170.246716
41.6869383,72.1705429,41.6869383,170.022179
42.6579519,72.1645458,42.6579519,169.792711
43.6515832,72.1582622,43.6515832,169.558222
44.6683592,72.1516793,44.6683592,169.318619
45.708819,72.1447841,45.708819,169.073811
46.7735141,72.1375628,46.7735141,168.823704
47.8630092,72.1300014,47.8630092,168.568205
48.9778819,72.1220849,48.9778819,168.307221
50.1187234,72.1137982,50.1187234,168.040658
51.2861384,72.1051254,51.2861384,167.768421
52.480746,72.09605,52.480746,167.490418
53.7031796,72.0865549,53.7031796,167.206555
54.9540874,72.0766224,54.9540874,166.916737
56.2341325,72.0662342,56.2341325,166.620871
57.5439937,72.0553711,57.5439937,166.318866
58.8843655,72.0440136,58.8843655,166.01063
60.2559586,72.0321411,60.2559586,165.69607
61.6595002,72.0197326,61.6595002,165.375099
63.0957344,72.0067662,63.0957344,165.047626
64.5654229,71.9932193,64.5654229,164.713566
66.0693448,71.9790686,66.0693448,164.372832
67.6082975,71.96429,67.6082975,164.025341
69.1830971,71.9488585,69.1830971,163.671013
70.7945784,71.9327486,70.7945784,163.309768
72.443596,71.9159337,72.443596,162.941531
74.1310241,71.8983866,74.1310241,162.566228
75.8577575,71.8800792,75.8577575,162.18379
77.6247117,71.8609825,77.6247117,161.79415
79.4328235,71.841067,79.4328235,161.397248
81.2830516,71.8203021,81.2830516,160.993025
83.1763771,71.7986565,83.1763771,160.581428
85.1138038,71.7760981,85.1138038,160.162408
87.096359,71.752594,87.096359,159.735924
89.1250938,71.7281106,89.1250938,159.301937
91.2010839,71.7026135,91.2010839,158.860418
93.3254301,71.6760675,93.3254301,158.411341
95.4992586,71.6484369,95.4992586,157.954689
97.7237221,71.619685,97.7237221,157.490452
100.0,71.5897748,100.0,157.018626
102.329299,71.5586685,102.329299,156.539218
104.712855,71.5263278,104.712855,156.05224
107.151931,71.4927138,107.151931,155.557717
109.64782,71.4577871,109.64782,155.055679
112.201845,71.4215083,112.201845,154.546168
114.815362,71.383837,114.815362,154.029235
117.489755,71.3447331,117.489755,153.504943
120.226443,71.3041559,120.226443,152.973363
123.026877,71.2620649,123.026877,152.434579
125.892541,71.2184192,125.892541,151.888686
128.824955,71.1731782,128.824955,151.335788
131.825674,71.1263014,131.825674,150.776005
134.896288,71.0777483,134.896288,150.209464
138.038426,71.027479,138.038426,149.636309
141.253754,70.9754539,141.253754,149.056692
144.543977,70.9216339,144.543977,148.47078
147.910839,70.8659806,147.910839,147.87875
151.356125,70.8084562,151.356125,147.280794
154.881662,70.7490241,154.881662,146.677113
158.489319,70.6876483,158.489319,146.067922
162.18101,70.6242941,162.18101,145.453448
165.958691,70.558928,165.958691,144.833929
169.824365,70.4915176,169.824365,144.209614
173.780083,70.4220323,173.780083,143.580764
177.827941,70.3504428,177.827941,142.947649
181.970086,70.2767214,181.970086,142.310551
186.208714,70.2008423,186.208714,141.669761
190.546072,70.1227816,190.546072,141.025578
194.98446,70.042517,194.98446,140.37831
199.526231,69.9600287,199.526231,139.728275
204.173794,69.8752986,204.173794,139.075793
208.929613,69.7883111,208.929613,138.421196
213.796209,69.6990526,213.796209,137.764818
218.776162,69.607512,218.776162,137.106997
223.872114,69.5136804,223.872114,136.448078
229.086765,69.4175513,229.086765,135.788407
234.422882,69.3191207,234.422882,135.128331
239.883292,69.218387,239.883292,134.4682
245.470892,69.115351,245.470892,133.808364
251.188643,69.010016,251.188643,133.149171
257.039578,68.9023877,257.039578,132.490967
263.026799,68.7924741,263.026799,131.834097
269.15348,68.6802857,269.15348,131.178903
275.42287,68.5658353,275.42287,130.52572
281.838293,68.4491379,281.838293,129.87488
288.40315,68.3302107,288.40315,129.226708
295.120923,68.2090731,295.120923,128.581522
301.995172,68.0857465,301.995172,127.939634
309.029543,67.9602544,309.029543,127.301347
316.227766,67.8326221,316.227766,126.666953
323.593657,67.7028766,323.593657,126.036738
331.131121,67.5710466,331.131121,125.410976
338.844156,67.4371626,338.844156,124.789931
346.73685,67.3012564,346.73685,124.173856
354.813389,67.1633611,354.813389,123.562994
363.078055,67.0235111,363.078055,122.957575
371.535229,66.881742,371.535229,122.357816
380.189396,66.7380904,380.189396,121.763926
389.045145,66.5925937,389.045145,121.176098
398.107171,66.4452902,398.107171,120.594514
407.380278,66.2962188,407.380278,120.019345
416.869383,66.1454191,416.869383,119.450748
426.579519,65.992931,426.579519,118.888869
436.515832,65.8387948,436.515832,118.333841
446.683592,65.6830511,446.683592,117.785786
457.08819,65.5257407,457.08819,117.244813
467.735141,65.3669043,467.735141,116.71102
478.630092,65.2065827,478.630092,116.184494
489.778819,65.0448168,489.778819,115.665312
501.187234,64.8816468,501.187234,115.153537
512.861384,64.7171132,512.861384,114.649224
524.80746,64.5512557,524.80746,114.152418
537.031796,64.3841141,537.031796,113.663154
549.540874,64.2157273,549.540874,113.181456
562.341325,64.046134,562.341325,112.707341
575.439937,63.8753722,575.439937,112.240817
588.843655,63.7034794,588.843655,111.781883
602.559586,63.5304925,602.559586,111.330531
616.595002,63.3564475,616.595002,110.886744
630.957344,63.1813799,630.957344,110.4505
645.654229,63.0053246,645.654229,110.02177
660.693448,62.8283154,660.693448,109.600517
676.082975,62.6503857,676.082975,109.186699
691.830971,62.4715678,691.830971,108.780271
707.945784,62.2918935,707.945784,108.381178
724.43596,62.1113936,724.43596,107.989364
741.310241,61.930098,741.310241,107.604767
758.577575,61.7480362,758.577575,107.227322
776.247117,61.5652364,776.247117,106.856958
794.328235,61.3817263,794.328235,106.493604
812.830516,61.1975327,812.830516,106.137182
831.763771,61.0126816,831.763771,105.787613
851.138038,60.8271981,851.138038,105.444817
870.96359,60.6411068,870.96359,105.108708
891.250938,60.4544311,891.250938,104.779202
912.010839,60.267194,912.010839,104.456209
933.254301,60.0794177,933.254301,104.13964
954.992586,59.8911233,954.992586,103.829405
977.237221,59.7023316,977.237221,103.525411
1000.0,59.5130626,1000.0,103.227566
1023.29299,59.3233354,1023.29299,102.935775
1047.12855,59.1331685,1047.12855,102.649943
1071.51931,58.9425799,1071.51931,102.369977
1096.4782,58.7515869,1096.4782,102.09578
1122.01845,58.5602059,1122.01845,101.827258
1148.15362,58.3684529,1148.15362,101.564314
1174.89755,58.1763435,1174.89755,101.306853
1202.26443,57.9838923,1202.26443,101.054781
1230.26877,57.7911137,1230.26877,100.808001
1258.92541,57.5980212,1258.92541,100.56642
1288.24955,57.4046281,1288.24955,100.329944
1318.25674,57.2109471,1318.25674,100.098479
1348.96288,57.0169903,1348.96288,99.8719325
1380.38426,56.8227693,1380.38426,99.6502123
1412.53754,56.6282954,1412.53754,99.4332271
1445.43977,56.4335794,1445.43977,99.2208867
1479.10839,56.2386316,1479.10839,99.0131016
1513.56125,56.0434619,1513.56125,98.8097831
1548.81662,55.8480798,1548.81662,98.6108438
1584.89319,55.6524944,1584.89319,98.416197
1621.8101,55.4567146,1621.8101,98.2257575
1659.58691,55.2607486,1659.58691,98.0394408
1698.24365,55.0646046,1698.24365,97.8571636
1737.80083,54.8682903,1737.80083,97.678844
1778.27941,54.671813,1778.27941,97.5044009
1819.70086,54.4751798,1819.70086,97.3337546
1862.08714,54.2783975,1862.08714,97.1668266
1905.46072,54.0814727,1905.46072,97.0035395
1949.8446,53.8844114,1949.8446,96.8438171
1995.26231,53.6872198,1995.26231,96.6875845
2041.73794,53.4899035,2041.73794,96.534768
2089.29613,53.2924679,2089.29613,96.3852951
2137.96209,53.0949183,2137.96209,96.2390944
2187.76162,52.8972598,2187.76162,96.0960961
2238.72114,52.699497,2238.72114,95.9562311
2290.86765,52.5016347,2290.86765,95.8194319
2344.22882,52.3036771,2344.22882,95.6856319
2398.83292,52.1056285,2398.83292,95.554766
2454.70892,51.9074929,2454.70892,95.4267701
2511.88643,51.7092741,2511.88643,95.3015812
2570.39578,51.5109759,2570.39578,95.1791377
2630.26799,51.3126017,2630.26799,95.0593789
2691.5348,51.1141549,2691.5348,94.9422455
2754.2287,50.9156387,2754.2287,94.827679
2818.38293,50.7170562,2818.38293,94.7156223
2884.0315,50.5184103,2884.0315,94.6060193
2951.20923,50.319704,2951.20923,94.4988149
3019.95172,50.1209397,3019.95172,94.3939552
3090.29543,49.9221202,3090.29543,94.2913874
3162.27766,49.7232479,3162.27766,94.1910594
3235.93657,49.5243251,3235.93657,94.0929205
3311.31121,49.325354,3311.31121,93.9969208
3388.44156,49.1263369,3388.44156,93.9030115
3467.3685,48.9272758,3467.3685,93.8111447
3548.13389,48.7281727,3548.13389,93.7212735
3630.78055,48.5290293,3630.78055,93.6333519
3715.35229,48.3298476,3715.35229,93.5473348
3801.89396,48.1306292,3801.89396,93.4631781
3890.45145,47.9313758,3890.45145,93.3808385
