col0,col1,col2,col3
1.0,72.2913282,1.0,179.760877
1.02329299,72.2913256,1.02329299,179.755306
1.04712855,72.2913228,1.04712855,179.749606
1.07151931,72.2913199,1.07151931,179.743773
1.0964782,72.2913169,1.0964782,179.737804
1.12201845,72.2913137,1.12201845,179.731696
1.14815362,72.2913104,1.14815362,179.725445
1.17489755,72.2913069,1.17489755,179.719049
1.20226443,72.2913032,1.20226443,179.712504
1.23026877,72.2912994,1.23026877,179.705806
1.25892541,72.2912953,1.25892541,179.698953
1.28824955,72.2912911,1.28824955,179.69194
1.31825674,72.2912867,1.31825674,179.684763
1.34896288,72.291282,1.34896288,179.677419
1.38038426,72.2912772,1.38038426,179.669904
1.41253754,72.2912721,1.41253754,179.662214
1.44543977,72.2912667,1.44543977,179.654345
1.47910839,72.2912611,1.47910839,179.646292
1.51356125,72.2912552,1.51356125,179.638052
1.54881662,72.2912491,1.54881662,179.62962
1.58489319,72.2912426,1.58489319,179.620992
1.6218101,72.2912359,1.6218101,179.612162
1.65958691,72.2912288,1.65958691,179.603127
1.69824365,72.2912214,1.69824365,179.593881
1.73780083,72.2912136,1.73780083,179.58442
1.77827941,72.2912054,1.77827941,179.574738
1.81970086,72.2911969,1.81970086,179.564831
1.86208714,72.2911879,1.86208714,179.554693
1.90546072,72.2911786,1.90546072,179.544319
1.9498446,72.2911687,1.9498446,179.533703
1.99526231,72.2911584,1.99526231,179.52284
2.04173794,72.2911477,2.04173794,179.511724
2.08929613,72.2911364,2.08929613,179.500348
2.13796209,72.2911245,2.13796209,179.488708
2.18776162,72.2911121,2.18776162,179.476796
2.23872114,72.2910991,2.23872114,179.464607
2.29086765,72.2910855,2.29086765,179.452134
2.34422882,72.2910713,2.34422882,179.43937
2.39883292,72.2910563,2.39883292,179.426309
2.45470892,72.2910407,2.45470892,179.412943
2.51188643,72.2910243,2.51188643,179.399266
2.57039578,72.2910071,2.57039578,179.385271
2.63026799,72.2909891,2.63026799,179.370949
2.6915348,72.2909703,2.6915348,179.356293
2.7542287,72.2909505,2.7542287,179.341296
2.81838293,72.2909299,2.81838293,179.325949
2.8840315,72.2909082,2.8840315,179.310245
2.95120923,72.2908855,2.95120923,179.294175
3.01995172,72.2908618,3.01995172,179.27773
3.09029543,72.2908369,3.09029543,179.260902
3.16227766,72.2908108,3.16227766,179.243681
3.23593657,72.2907835,3.23593657,179.22606
3.31131121,72.2907548,3.31131121,179.208027
3.38844156,72.2907249,3.38844156,179.189574
3.4673685,72.2906935,3.4673685,179.170691
3.54813389,72.2906606,3.54813389,179.151368
3.63078055,72.2906261,3.63078055,179.131594
3.71535229,72.29059,3.71535229,179.11136
3.80189396,72.2905522,3.80189396,179.090653
3.89045145,72.2905125,3.89045145,179.069464
3.98107171,72.290471,3.98107171,179.047781
4.07380278,72.2904275,4.07380278,179.025592
4.16869383,72.2903819,4.16869383,179.002886
4.26579519,72.2903342,4.26579519,178.97965
4.36515832,72.2902842,4.36515832,178.955873
4.46683592,72.2902318,4.46683592,178.93154
4.5708819,72.2901769,4.5708819,178.906641
4.67735141,72.2901193,4.67735141,178.88116
4.78630092,72.290059,4.78630092,178.855086
4.89778819,72.2899958,4.89778819,178.828403
5.01187234,72.2899296,5.01187234,178.801097
5.12861384,72.2898603,5.12861384,178.773155
5.2480746,72.2897876,5.2480746,178.74456
5.37031796,72.2897114,5.37031796,178.715299
5.49540874,72.2896315,5.49540874,178.685354
5.62341325,72.2895479,5.62341325,178.654711
5.75439937,72.2894602,5.75439937,178.623353
5.88843655,72.2893682,5.88843655,178.591263
6.02559586,72.2892719,6.02559586,178.558423
6.16595002,72.2891709,6.16595002,178.524817
6.30957344,72.289065,6.30957344,178.490427
6.45654229,72.2889541,6.45654229,178.455233
6.60693448,72.2888377,6.60693448,178.419218
6.76082975,72.2887157,6.76082975,178.382362
6.91830971,72.2885879,6.91830971,178.344645
7.07945784,72.2884538,7.07945784,178.306048
7.2443596,72.2883132,7.2443596,178.266548
7.41310241,72.2881658,7.41310241,178.226126
7.58577575,72.2880113,7.58577575,178.18476
7.76247117,72.2878492,7.76247117,178.142427
7.94328235,72.2876792,7.94328235,178.099105
8.12830516,72.2875009,8.12830516,178.05477
8.31763771,72.2873139,8.31763771,178.009399
8.51138038,72.2871177,8.51138038,177.962968
8.7096359,72.2869119,8.7096359,177.915451
8.91250938,72.2866961,8.91250938,177.866824
9.12010839,72.2864696,9.12010839,177.817059
9.33254301,72.286232,9.33254301,177.766131
9.54992586,72.2859827,9.54992586,177.714012
9.77237221,72.2857211,9.77237221,177.660674
10.0,72.2854466,10.0,177.606088
10.2329299,72.2851585,10.2329299,177.550225
10.4712855,72.2848561,10.4712855,177.493056
10.7151931,72.2845387,10.7151931,177.434549
10.964782,72.2842056,10.964782,177.374673
11.2201845,72.2838558,11.2201845,177.313396
11.4815362,72.2834887,11.4815362,177.250685
11.7489755,72.2831032,11.7489755,177.186507
12.0226443,72.2826985,12.0226443,177.120826
12.3026877,72.2822735,12.3026877,177.053609
12.5892541,72.2818271,12.5892541,176.984818
12.8824955,72.2813584,12.8824955,176.914418
13.1825674,72.2808661,13.1825674,176.84237
13.4896288,72.2803491,13.4896288,176.768636
13.8038426,72.2798059,13.8038426,176.693176
14.1253754,72.2792354,14.1253754,176.615951
14.4543977,72.278636,14.4543977,176.536918
14.7910839,72.2780063,14.7910839,176.456037
15.1356125,72.2773446,15.1356125,176.373264
15.4881662,72.2766494,15.4881662,176.288554
15.8489319,72.275919,15.8489319,176.201864
16.218101,72.2751513,16.218101,176.113148
16.5958691,72.2743447,16.5958691,176.022357
16.9824365,72.2734969,16.9824365,175.929446
17.3780083,72.272606,17.3780083,175.834363
17.7827941,72.2716696,17.7827941,175.737061
18.1970086,72.2706855,18.1970086,175.637488
18.6208714,72.2696511,18.6208714,175.535591
19.0546072,72.2685639,19.0546072,175.431318
