col0,col1,col2,col3
1.0,72.2913282,1.0,179.760906
1.02329299,72.2913256,1.02329299,179.755336
1.04712855,72.2913228,1.04712855,179.749636
1.07151931,72.2913199,1.07151931,179.743803
1.0964782,72.2913169,1.0964782,179.737835
1.12201845,72.2913137,1.12201845,179.731728
1.14815362,72.2913104,1.14815362,179.725478
1.17489755,72.2913069,1.17489755,179.719082
1.20226443,72.2913032,1.20226443,179.712538
1.23026877,72.2912994,1.23026877,179.705841
1.25892541,72.2912954,1.25892541,179.698989
1.28824955,72.2912911,1.28824955,179.691976
1.31825674,72.2912867,1.31825674,179.6848
1.34896288,72.2912821,1.34896288,179.677457
1.38038426,72.2912772,1.38038426,179.669943
1.41253754,72.2912721,1.41253754,179.662254
1.44543977,72.2912668,1.44543977,179.654386
1.47910839,72.2912612,1.47910839,179.646334
1.51356125,72.2912553,1.51356125,179.638095
1.54881662,72.2912491,1.54881662,179.629664
1.58489319,72.2912427,1.58489319,179.621037
1.6218101,72.2912359,1.6218101,179.612208
1.65958691,72.2912288,1.65958691,179.603174
1.69824365,72.2912214,1.69824365,179.593929
1.73780083,72.2912136,1.73780083,179.584469
1.77827941,72.2912055,1.77827941,179.574789
1.81970086,72.2911969,1.81970086,179.564883
1.86208714,72.291188,1.86208714,179.554746
1.90546072,72.2911786,1.90546072,179.544373
1.9498446,72.2911688,1.9498446,179.533759
1.99526231,72.2911585,1.99526231,179.522897
2.04173794,72.2911477,2.04173794,179.511782
2.08929613,72.2911364,2.08929613,179.500408
2.13796209,72.2911246,2.13796209,179.488769
2.18776162,72.2911122,2.18776162,179.476859
2.23872114,72.2910992,2.23872114,179.464671
2.29086765,72.2910856,2.29086765,179.452199
2.34422882,72.2910713,2.34422882,179.439437
2.39883292,72.2910564,2.39883292,179.426377
2.45470892,72.2910408,2.45470892,179.413013
2.51188643,72.2910244,2.51188643,179.399338
2.57039578,72.2910072,2.57039578,179.385344
2.63026799,72.2909892,2.63026799,179.371024
2.6915348,72.2909704,2.6915348,179.35637
2.7542287,72.2909507,2.7542287,179.341374
2.81838293,72.29093,2.81838293,179.32603
2.8840315,72.2909084,2.8840315,179.310327
2.95120923,72.2908857,2.95120923,179.294259
3.01995172,72.2908619,3.01995172,179.277816
3.09029543,72.290837,3.09029543,179.26099
3.16227766,72.2908109,3.16227766,179.243771
3.23593657,72.2907836,3.23593657,179.226152
3.31131121,72.290755,3.31131121,179.208121
3.38844156,72.2907251,3.38844156,179.189671
3.4673685,72.2906937,3.4673685,179.17079
3.54813389,72.2906608,3.54813389,179.151469
3.63078055,72.2906263,3.63078055,179.131698
3.71535229,72.2905902,3.71535229,179.111465
3.80189396,72.2905524,3.80189396,179.090761
3.89045145,72.2905128,3.89045145,179.069575
3.98107171,72.2904713,3.98107171,179.047894
4.07380278,72.2904278,4.07380278,179.025708
4.16869383,72.2903822,4.16869383,179.003004
4.26579519,72.2903345,4.26579519,178.979771
4.36515832,72.2902845,4.36515832,178.955997
4.46683592,72.2902321,4.46683592,178.931667
4.5708819,72.2901772,4.5708819,178.906771
4.67735141,72.2901197,4.67735141,178.881293
4.78630092,72.2900594,4.78630092,178.855222
4.89778819,72.2899962,4.89778819,178.828542
5.01187234,72.2899301,5.01187234,178.80124
5.12861384,72.2898607,5.12861384,178.773301
5.2480746,72.289788,5.2480746,178.74471
5.37031796,72.2897119,5.37031796,178.715451
5.49540874,72.289632,5.49540874,178.685511
5.62341325,72.2895484,5.62341325,178.654871
5.75439937,72.2894607,5.75439937,178.623516
5.88843655,72.2893688,5.88843655,178.59143
6.02559586,72.2892725,6.02559586,178.558594
6.16595002,72.2891715,6.16595002,178.524993
6.30957344,72.2890657,6.30957344,178.490606
6.45654229,72.2889547,6.45654229,178.455417
6.60693448,72.2888384,6.60693448,178.419406
6.76082975,72.2887165,6.76082975,178.382554
6.91830971,72.2885887,6.91830971,178.344842
7.07945784,72.2884546,7.07945784,178.306249
7.2443596,72.2883141,7.2443596,178.266754
7.41310241,72.2881667,7.41310241,178.226337
7.58577575,72.2880122,7.58577575,178.184975
7.76247117,72.2878501,7.76247117,178.142647
7.94328235,72.2876802,7.94328235,178.09933
8.12830516,72.287502,8.12830516,178.055001
8.31763771,72.287315,8.31763771,178.009636
8.51138038,72.2871189,8.51138038,177.96321
8.7096359,72.2869132,8.7096359,177.915699
8.91250938,72.2866974,8.91250938,177.867077
9.12010839,72.286471,9.12010839,177.817318
9.33254301,72.2862334,9.33254301,177.766396
9.54992586,72.2859842,9.54992586,177.714283
9.77237221,72.2857227,9.77237221,177.660951
10.0,72.2854482,10.0,177.606372
10.2329299,72.2851602,10.2329299,177.550516
10.4712855,72.2848579,10.4712855,177.493353
10.7151931,72.2845406,10.7151931,177.434853
10.964782,72.2842075,10.964782,177.374984
11.2201845,72.2838579,11.2201845,177.313715
11.4815362,72.2834909,11.4815362,177.251011
11.7489755,72.2831055,11.7489755,177.18684
12.0226443,72.2827008,12.0226443,177.121168
12.3026877,72.2822759,12.3026877,177.053958
12.5892541,72.2818297,12.5892541,176.985176
12.8824955,72.2813611,12.8824955,176.914783
13.1825674,72.280869,13.1825674,176.842744
13.4896288,72.2803521,13.4896288,176.769018
13.8038426,72.2798091,13.8038426,176.693567
14.1253754,72.2792387,14.1253754,176.616351
14.4543977,72.2786394,14.4543977,176.537328
14.7910839,72.2780099,14.7910839,176.456456
15.1356125,72.2773484,15.1356125,176.373693
15.4881662,72.2766534,15.4881662,176.288993
15.8489319,72.2759231,15.8489319,176.202313
16.218101,72.2751556,16.218101,176.113607
16.5958691,72.2743492,16.5958691,176.022827
16.9824365,72.2735016,16.9824365,175.929926
17.3780083,72.2726109,17.3780083,175.834855
17.7827941,72.2716748,17.7827941,175.737564
18.1970086,72.2706909,18.1970086,175.638003
18.6208714,72.2696568,18.6208714,175.536118
19.0546072,72.2685699,19.0546072,175.431857
19.498446,72.2674274,19.498446,175.325167
19.9526231,72.2662266,19.9526231,175.215991
20.4173794,72.2649645,20.4173794,175.104274
20.8929613,72.2636379,20.8929613,174.989957
21.3796209,72.2622436,21.3796209,174.872984
21.8776162,72.2607781,21.8776162,174.753293
22.3872114,72.2592378,22.3872114,174.630825
22.9086765,72.257619,22.9086765,174.505517
23.4422882,72.2559177,23.4422882,174.377307
23.9883292,72.2541298,23.9883292,174.24613
24.5470892,72.252251,24.5470892,174.111921
