col0,col1,col2,col3
1.0,72.4137336,1.0,179.522032
1.02329299,72.4132723,1.02329299,179.511805
1.04712855,72.412793,1.04712855,179.501397
1.07151931,72.4122949,1.07151931,179.490807
1.0964782,72.4117777,1.0964782,179.480035
1.12201845,72.4112407,1.12201845,179.46908
1.14815362,72.4106834,1.14815362,179.457941
1.17489755,72.4101053,1.17489755,179.446619
1.20226443,72.4095057,1.20226443,179.435112
1.23026877,72.4088841,1.23026877,179.423421
1.25892541,72.4082401,1.25892541,179.411547
1.28824955,72.4075731,1.28824955,179.399489
1.31825674,72.4068825,1.31825674,179.387248
1.34896288,72.406168,1.34896288,179.374824
1.38038426,72.4054289,1.38038426,179.362219
1.41253754,72.4046649,1.41253754,179.349433
1.44543977,72.4038756,1.44543977,179.336468
1.47910839,72.4030604,1.47910839,179.323325
1.51356125,72.402219,1.51356125,179.310005
1.54881662,72.4013512,1.54881662,179.29651
1.58489319,72.4004565,1.58489319,179.282843
1.6218101,72.3995347,1.6218101,179.269004
1.65958691,72.3985856,1.65958691,179.254996
1.69824365,72.3976089,1.69824365,179.240822
1.73780083,72.3966046,1.73780083,179.226483
1.77827941,72.3955725,1.77827941,179.211981
1.81970086,72.3945127,1.81970086,179.197321
1.86208714,72.3934251,1.86208714,179.182503
1.90546072,72.3923099,1.90546072,179.167531
1.9498446,72.3911672,1.9498446,179.152406
1.99526231,72.3899971,1.99526231,179.137132
2.04173794,72.3888001,2.04173794,179.121711
2.08929613,72.3875764,2.08929613,179.106145
2.13796209,72.3863266,2.13796209,179.090436
2.18776162,72.385051,2.18776162,179.074587
2.23872114,72.3837503,2.23872114,179.058599
2.29086765,72.3824251,2.29086765,179.042474
2.34422882,72.3810762,2.34422882,179.026213
2.39883292,72.3797043,2.39883292,179.009818
2.45470892,72.3783104,2.45470892,178.993287
2.51188643,72.3768953,2.51188643,178.976623
2.57039578,72.3754602,2.57039578,178.959824
2.63026799,72.3740062,2.63026799,178.942891
2.6915348,72.3725342,2.6915348,178.92582
2.7542287,72.3710457,2.7542287,178.908612
2.81838293,72.3695419,2.81838293,178.891263
2.8840315,72.3680241,2.8840315,178.87377
2.95120923,72.3664937,2.95120923,178.85613
3.01995172,72.3649522,3.01995172,178.838338
3.09029543,72.3634009,3.09029543,178.820388
3.16227766,72.3618415,3.16227766,178.802275
3.23593657,72.3602755,3.23593657,178.783992
3.31131121,72.3587043,3.31131121,178.765531
3.38844156,72.3571296,3.38844156,178.746883
3.4673685,72.3555529,3.4673685,178.728041
3.54813389,72.3539758,3.54813389,178.708992
3.63078055,72.3523999,3.63078055,178.689727
3.71535229,72.3508267,3.71535229,178.670234
3.80189396,72.3492578,3.80189396,178.650499
3.89045145,72.3476945,3.89045145,178.630509
3.98107171,72.3461385,3.98107171,178.61025
4.07380278,72.3445911,4.07380278,178.589707
4.16869383,72.3430536,4.16869383,178.568863
4.26579519,72.3415275,4.26579519,178.547702
4.36515832,72.3400139,4.36515832,178.526206
4.46683592,72.338514,4.46683592,178.504357
4.5708819,72.3370291,4.5708819,178.482136
4.67735141,72.3355601,4.67735141,178.459523
4.78630092,72.3341079,4.78630092,178.436497
4.89778819,72.3326736,4.89778819,178.413038
5.01187234,72.331258,5.01187234,178.389124
5.12861384,72.3298617,5.12861384,178.364733
5.2480746,72.3284855,5.2480746,178.339842
5.37031796,72.3271298,5.37031796,178.314428
5.49540874,72.3257953,5.49540874,178.288467
5.62341325,72.3244823,5.62341325,178.261936
5.75439937,72.323191,5.75439937,178.234808
5.88843655,72.3219218,5.88843655,178.20706
6.02559586,72.3206748,6.02559586,178.178667
6.16595002,72.3194501,6.16595002,178.149602
6.30957344,72.3182476,6.30957344,178.119839
6.45654229,72.3170673,6.45654229,178.089352
6.60693448,72.315909,6.60693448,178.058114
6.76082975,72.3147724,6.76082975,178.026099
6.91830971,72.3136573,6.91830971,177.993279
7.07945784,72.3125632,7.07945784,177.959626
7.2443596,72.3114898,7.2443596,177.925114
7.41310241,72.3104365,7.41310241,177.889712
7.58577575,72.3094027,7.58577575,177.853395
7.76247117,72.3083878,7.76247117,177.816132
7.94328235,72.3073911,7.94328235,177.777894
8.12830516,72.306412,8.12830516,177.738654
8.31763771,72.3054495,8.31763771,177.69838
8.51138038,72.3045028,8.51138038,177.657044
8.7096359,72.3035711,8.7096359,177.614616
8.91250938,72.3026534,8.91250938,177.571064
9.12010839,72.3017488,9.12010839,177.526359
9.33254301,72.3008561,9.33254301,177.480469
9.54992586,72.2999744,9.54992586,177.433363
9.77237221,72.2991025,9.77237221,177.385008
10.0,72.2982393,10.0,177.335373
10.2329299,72.2973835,10.2329299,177.284426
