col0,col1,col2,col3
20.0,8.22233427e-09,20.0,8.23280942e-09
20.4658598,8.22055775e-09,20.4658598,8.23091844e-09
20.942571,8.21886071e-09,20.942571,8.22911215e-09
21.4303861,8.21723963e-09,21.4303861,8.22738675e-09
21.9295639,8.21569111e-09,21.9295639,8.22573865e-09
22.4403691,8.21421192e-09,22.4403691,8.22416439e-09
22.9630724,8.21279898e-09,22.9630724,8.22266068e-09
23.4979511,8.21144932e-09,23.4979511,8.22122437e-09
24.0452887,8.21016013e-09,24.0452887,8.21985244e-09
24.6053754,8.20892871e-09,24.6053754,8.21854202e-09
25.1785082,8.20775247e-09,25.1785082,8.21729036e-09
25.764991,8.20662896e-09,25.764991,8.21609483e-09
26.3651348,8.20555581e-09,26.3651348,8.21495293e-09
26.9792577,8.20453078e-09,26.9792577,8.21386224e-09
27.6076853,8.20355171e-09,27.6076853,8.21282049e-09
28.2507509,8.20261656e-09,28.2507509,8.21182547e-09
28.9087954,8.20172334e-09,28.9087954,8.2108751e-09
29.5821678,8.2008702e-09,29.5821678,8.20996739e-09
30.271225,8.20005533e-09,30.271225,8.2091004e-09
30.9763324,8.19927703e-09,30.9763324,8.20827234e-09
31.6978638,8.19853365e-09,31.6978638,8.20748144e-09
32.4362019,8.19782363e-09,32.4362019,8.20672604e-09
33.1917381,8.19714548e-09,33.1917381,8.20600456e-09
33.964873,8.19649777e-09,33.964873,8.20531547e-09
34.7560166,8.19587913e-09,34.7560166,8.20465733e-09
35.5655882,8.19528827e-09,35.5655882,8.20402873e-09
36.3940172,8.19472394e-09,36.3940172,8.20342837e-09
37.2417427,8.19418494e-09,37.2417427,8.20285496e-09
38.1092144,8.19367015e-09,38.1092144,8.20230731e-09
38.996892,8.19317848e-09,38.996892,8.20178426e-09
39.9052463,8.19270889e-09,39.9052463,8.2012847e-09
40.8347589,8.19226039e-09,40.8347589,8.20080758e-09
41.7859226,8.19183203e-09,41.7859226,8.20035189e-09
42.7592418,8.19142291e-09,42.7592418,8.19991668e-09
43.7552325,8.19103218e-09,43.7552325,8.19950101e-09
44.7744228,8.19065899e-09,44.7744228,8.19910402e-09
45.8173531,8.19030257e-09,45.8173531,8.19872487e-09
46.8845763,8.18996217e-09,46.8845763,8.19836276e-09
47.9766584,8.18963706e-09,47.9766584,8.19801692e-09
49.0941783,8.18932656e-09,49.0941783,8.19768661e-09
50.2377286,8.18903001e-09,50.2377286,8.19737115e-09
51.4079157,8.18874679e-09,51.4079157,8.19706987e-09
52.6053598,8.18847629e-09,52.6053598,8.19678213e-09
53.8306961,8.18821795e-09,53.8306961,8.19650732e-09
55.0845741,8.18797123e-09,55.0845741,8.19624486e-09
56.3676586,8.18773559e-09,56.3676586,8.1959942e-09
57.6806301,8.18751054e-09,57.6806301,8.19575481e-09
59.0241845,8.18729561e-09,59.0241845,8.19552617e-09
60.3990344,8.18709034e-09,60.3990344,8.19530782e-09
61.8059087,8.1868943e-09,61.8059087,8.19509927e-09
63.2455532,8.18670707e-09,63.2455532,8.19490011e-09
64.7187314,8.18652826e-09,64.7187314,8.1947099e-09
66.2262243,8.18635748e-09,66.2262243,8.19452824e-09
67.7688312,8.18619439e-09,67.7688312,8.19435474e-09
69.3473701,8.18603863e-09,69.3473701,8.19418905e-09
70.9626778,8.18588987e-09,70.9626778,8.19403081e-09
72.615611,8.1857478e-09,72.615611,8.19387968e-09
74.3070458,8.18561212e-09,74.3070458,8.19373535e-09
76.0378793,8.18548254e-09,76.0378793,8.1935975e-09
77.809029,8.18535878e-09,77.809029,8.19346586e-09
79.6214341,8.18524059e-09,79.6214341,8.19334013e-09
81.4760556,8.18512772e-09,81.4760556,8.19322006e-09
83.3738767,8.18501992e-09,83.3738767,8.19310539e-09
85.3159038,8.18491697e-09,85.3159038,8.19299588e-09
87.3031664,8.18481865e-09,87.3031664,8.19289129e-09
89.3367184,8.18472475e-09,89.3367184,8.1927914e-09
91.4176379,8.18463508e-09,91.4176379,8.19269601e-09
93.5470283,8.18454944e-09,93.5470283,8.1926049e-09
95.7260185,8.18446765e-09,95.7260185,8.1925179e-09
97.9557639,8.18438954e-09,97.9557639,8.1924348e-09
100.237447,8.18431494e-09,100.237447,8.19235544e-09
102.572277,8.1842437e-09,102.572277,8.19227966e-09
104.961492,8.18417566e-09,104.961492,8.19220728e-09
107.406359,8.18411068e-09,107.406359,8.19213815e-09
109.908175,8.18404863e-09,109.908175,8.19207214e-09
112.468265,8.18398936e-09,112.468265,8.19200909e-09
115.087987,8.18393277e-09,115.087987,8.19194888e-09
117.768731,8.18387871e-09,117.768731,8.19189138e-09
120.511917,8.18382709e-09,120.511917,8.19183646e-09
123.319,8.1837778e-09,123.319,8.19178402e-09
126.191469,8.18373071e-09,126.191469,8.19173393e-09
129.130846,8.18368575e-09,129.130846,8.19168609e-09
132.13869,8.18364281e-09,132.13869,8.19164041e-09
135.216595,8.1836018e-09,135.216595,8.19159678e-09
138.366194,8.18356264e-09,138.366194,8.19155511e-09
141.589157,8.18352524e-09,141.589157,8.19151531e-09
144.887192,8.18348952e-09,144.887192,8.19147731e-09
148.262048,8.1834554e-09,148.262048,8.19144101e-09
151.715515,8.18342282e-09,151.715515,8.19140634e-09
155.249423,8.18339171e-09,155.249423,8.19137324e-09
158.865647,8.183362e-09,158.865647,8.19134162e-09
162.566103,8.18333362e-09,162.566103,8.19131142e-09
166.352754,8.18330652e-09,166.352754,8.19128258e-09
170.227608,8.18328063e-09,170.227608,8.19125504e-09
174.192718,8.18325591e-09,174.192718,8.19122873e-09
178.250188,8.18323231e-09,178.250188,8.1912036e-09
182.402168,8.18320976e-09,182.402168,8.19117961e-09
186.65086,8.18318823e-09,186.65086,8.19115669e-09
190.998517,8.18316767e-09,190.998517,8.1911348e-09
195.447444,8.18314803e-09,195.447444,8.19111389e-09
200.0,8.18312927e-09,200.0,8.19109392e-09
204.658598,8.18311136e-09,204.658598,8.19107485e-09
209.42571,8.18309425e-09,209.42571,8.19105663e-09
214.303861,8.18307791e-09,214.303861,8.19103923e-09
219.295639,8.1830623e-09,219.295639,8.19102261e-09
224.403691,8.1830474e-09,224.403691,8.19100674e-09
229.630724,8.18303316e-09,229.630724,8.19099158e-09
234.979511,8.18301957e-09,234.979511,8.19097709e-09
240.452887,8.18300658e-09,240.452887,8.19096325e-09
246.053754,8.18299418e-09,246.053754,8.19095004e-09
251.785082,8.18298233e-09,251.785082,8.19093741e-09
257.64991,8.18297102e-09,257.64991,8.19092535e-09
263.651348,8.18296021e-09,263.651348,8.19091383e-09
269.792577,8.18294989e-09,269.792577,8.19090282e-09
276.076853,8.18294003e-09,276.076853,8.1908923e-09
282.507509,8.18293062e-09,282.507509,8.19088225e-09
289.087954,8.18292162e-09,289.087954,8.19087264e-09
295.821678,8.18291303e-09,295.821678,8.19086347e-09
302.71225,8.18290482e-09,302.71225,8.1908547e-09
309.763324,8.18289698e-09,309.763324,8.19084632e-09
316.978638,8.18288949e-09,316.978638,8.19083831e-09
324.362019,8.18288233e-09,324.362019,8.19083066e-09
331.917381,8.1828755e-09,331.917381,8.19082334e-09
339.64873,8.18286896e-09,339.64873,8.19081635e-09
347.560166,8.18286272e-09,347.560166,8.19080966e-09
355.655882,8.18285676e-09,355.655882,8.19080327e-09
363.940172,8.18285106e-09,363.940172,8.19079715e-09
372.417427,8.18284562e-09,372.417427,8.1907913e-09
381.092144,8.18284042e-09,381.092144,8.19078571e-09
389.96892,8.18283545e-09,389.96892,8.19078036e-09
399.052463,8.18283069e-09,399.052463,8.19077524e-09
408.347589,8.18282615e-09,408.347589,8.19077034e-09
417.859226,8.18282181e-09,417.859226,8.19076565e-09
427.592418,8.18281766e-09,427.592418,8.19076117e-09
437.552325,8.18281369e-09,437.552325,8.19075687e-09
447.744228,8.1828099e-09,447.744228,8.19075275e-09
458.173531,8.18280627e-09,458.173531,8.1907488e-09
468.845763,8.1828028e-09,468.845763,8.19074502e-09
479.766584,8.18279948e-09,479.766584,8.1907414e-09
490.941783,8.1827963e-09,490.941783,8.19073792e-09
502.377286,8.18279326e-09,502.377286,8.19073459e-09
514.079157,8.18279036e-09,514.079157,8.19073139e-09
526.053598,8.18278757e-09,526.053598,8.19072832e-09
538.306961,8.18278491e-09,538.306961,8.19072536e-09
550.845741,8.18278235e-09,550.845741,8.19072253e-09
563.676586,8.18277991e-09,563.676586,8.1907198e-09
576.806301,8.18277757e-09,576.806301,8.19071717e-09
590.241845,8.18277532e-09,590.241845,8.19071464e-09
603.990344,8.18277317e-09,603.990344,8.1907122e-09
618.059087,8.1827711e-09,618.059087,8.19070985e-09
632.455532,8.18276912e-09,632.455532,8.19070758e-09
647.187314,8.18276722e-09,647.187314,8.19070539e-09
662.262243,8.18276539e-09,662.262243,8.19070327e-09
677.688312,8.18276364e-09,677.688312,8.19070121e-09
693.473701,8.18276195e-09,693.473701,8.19069922e-09
