col0,col1
20.0,72.8973154
22.4403691,72.8882955
25.1785082,72.8768767
28.2507509,72.862472
31.6978638,72.8443484
35.5655882,72.8215939
39.9052463,72.7930805
44.7744228,72.7574203
50.2377286,72.7129169
56.3676586,72.6575137
63.2455532,72.5887419
70.9626778,72.503673
79.6214341,72.3988855
89.3367184,72.270456
100.237447,72.1139878
112.468265,71.9246943
126.191469,71.6975488
141.589157,71.4275089
158.865647,71.1098096
178.250188,70.7403022
200.0,70.3157984
224.403691,69.8343654
251.785082,69.2955177
282.507509,68.7002669
316.978638,68.0510187
355.655882,67.3513391
399.052463,66.6056352
447.744228,65.8188078
502.377286,64.9959242
563.676586,64.1419483
632.455532,63.2615429
709.626778,62.3589441
796.214341,61.4378997
893.367184,60.501655
1002.37447,59.5529726
1124.68265,58.5941712
1261.91469,57.6271761
1415.89157,56.6535713
1588.65647,55.6746509
1782.50188,54.6914658
2000.0,53.7048661
2244.03691,52.7155361
2517.85082,51.7240256
2825.07509,50.7307751
3169.78638,49.7361364
3556.55882,48.7403904
3990.52463,47.7437607
4477.44228,46.7464249
5023.77286,45.7485235
5636.76586,44.7501677
6324.55532,43.7514446
7096.26778,42.7524218
7962.14341,41.7531513
8933.67184,40.7536717
10023.7447,39.7540108
11246.8265,38.7541866
12619.1469,37.7542086
14158.9157,36.7540782
15886.5647,35.7537887
17825.0188,34.7533252
20000.0,33.7526637
22440.3691,32.7517702
25178.5082,31.750599
28250.7509,30.7490909
31697.8638,29.7471701
35565.5882,28.7447419
39905.2463,27.7416887
44774.4228,26.737866
50237.7286,25.7330991
56367.6586,24.7271783
63245.5532,23.719857
70962.6778,22.710851
79621.4341,21.6998417
89336.7184,20.6864863
100237.447,19.6704376
112468.265,18.6513772
126191.469,17.6290675
141589.157,16.6034243
158865.647,15.5746117
178250.188,14.5431564
200000.0,13.5100683
