col0,col1,col2,col3
20.0,1693.41862,20.0,1.47034413
22.4403691,1509.43004,22.4403691,1.4703444
25.1785082,1345.46686,25.1785082,1.47034453
28.2507509,1199.35449,28.2507509,1.47034454
31.6978638,1069.15486,31.6978638,1.47034446
35.5655882,953.140869,35.5655882,1.47034433
39.9052463,849.773432,39.9052463,1.47034416
44.7744228,757.681175,44.7744228,1.47034398
50.2377286,675.642238,50.2377286,1.47034381
56.3676586,602.568085,56.3676586,1.47034366
63.2455532,537.489066,63.2455532,1.47034354
70.9626778,479.541556,70.9626778,1.47034347
79.6214341,427.956481,79.6214341,1.47034345
89.3367184,382.049101,89.3367184,1.47034349
100.237447,341.209897,100.237447,1.47034359
112.468265,304.89644,112.468265,1.47034377
126.191469,272.62614,126.191469,1.47034404
141.589157,243.969761,141.589157,1.47034441
158.865647,218.545617,158.865647,1.47034492
178.250188,196.014365,178.250188,1.47034557
200.0,176.074308,200.0,1.47034642
224.403691,158.457144,224.403691,1.4703475
251.785082,142.92409,251.785082,1.47034888
282.507509,129.262329,282.507509,1.47035062
316.978638,117.281726,316.978638,1.47035282
355.655882,106.811792,355.655882,1.47035561
399.052463,97.6988777,399.052463,1.47035911
447.744228,89.8036215,447.744228,1.47036353
502.377286,82.9986902,502.377286,1.47036909
563.676586,77.1668696,563.676586,1.4703761
632.455532,72.1995714,632.455532,1.47038493
709.626778,67.9957955,709.626778,1.47039604
796.214341,64.461547,796.214341,1.47041003
893.367184,61.5096464,893.367184,1.47042765
1002.37447,59.0598196,1002.37447,1.47044983
1124.68265,57.0389196,1124.68265,1.47047775
1261.91469,55.3811357,1261.91469,1.47051289
1415.89157,54.0280764,1415.89157,1.47055714
1588.65647,52.9286632,1588.65647,1.47061284
1782.50188,52.0388234,1782.50188,1.47068297
2000.0,51.3210112,2000.0,1.47077124
2244.03691,50.7436055,2244.03691,1.47088236
2517.85082,50.2802414,2517.85082,1.47102224
2825.07509,49.9091261,2825.07509,1.47119831
3169.78638,49.6123777,3169.78638,1.47141994
3556.55882,49.3754129,3556.55882,1.47169889
3990.52463,49.1863991,3990.52463,1.47204998
4477.44228,49.0357756,4477.44228,1.47249184
5023.77286,48.9158445,5023.77286,1.47304788
5636.76586,48.8204252,5636.76586,1.47374753
6324.55532,48.7445676,6324.55532,1.47462777
7096.26778,48.6843155,7096.26778,1.47573502
7962.14341,48.6365131,7962.14341,1.47712756
8933.67184,48.5986482,8933.67184,1.47887841
10023.7447,48.5687257,10023.7447,1.48107905
11246.8265,48.5451652,11246.8265,1.4838439
12619.1469,48.5267204,12619.1469,1.48731583
14158.9157,48.5124141,14158.9157,1.49167286
15886.5647,48.5014872,15886.5647,1.49713625
17825.0188,48.4933589,17825.0188,1.50398014
20000.0,48.4875962,20000.0,1.51254278
22440.3691,48.4838907,22440.3691,1.52323951
25178.5082,48.4820419,25178.5082,1.53657725
28250.7509,48.4819458,28250.7509,1.55317009
31697.8638,48.483588,31697.8638,1.5737553
35565.5882,48.4870415,35565.5882,1.59920839
39905.2463,48.4924674,39905.2463,1.63055564
44774.4228,48.500119,44774.4228,1.66898155
50237.7286,48.5103481,50237.7286,1.71582881
56367.6586,48.5236135,56367.6586,1.77258784
63245.5532,48.5404893,63245.5532,1.8408739
70962.6778,48.5616723,70962.6778,1.92239068
79621.4341,48.5879852,79621.4341,2.01888116
89336.7184,48.6203727,89336.7184,2.13206866
100237.447,48.659886,100237.447,2.26359329
112468.265,48.7076528,112468.265,2.41495107
126191.469,48.7648284,126191.469,2.58744529
141589.157,48.8325299,141589.157,2.7821617
158865.647,48.9117607,158865.647,2.99998102
178250.188,49.0033378,178250.188,3.241643
200000.0,49.1078495,200000.0,3.50787302
