col0,col1,col2,col3
1.0,61.8761772,1.0,179.725433
1.02329299,61.8760475,1.02329299,179.720786
1.04712855,61.8759213,1.04712855,179.71602
1.07151931,61.8757985,1.07151931,179.711132
1.0964782,61.8756792,1.0964782,179.706118
1.12201845,61.8755632,1.12201845,179.700975
1.14815362,61.8754506,1.14815362,179.695698
1.17489755,61.8753413,1.17489755,179.690283
1.20226443,61.8752351,1.20226443,179.684726
1.23026877,61.8751322,1.23026877,179.679024
1.25892541,61.8750324,1.25892541,179.673172
1.28824955,61.8749355,1.28824955,179.667166
1.31825674,61.8748417,1.31825674,179.661003
1.34896288,61.8747507,1.34896288,179.654677
1.38038426,61.8746625,1.38038426,179.648184
1.41253754,61.8745771,1.41253754,179.641521
1.44543977,61.8744943,1.44543977,179.634683
1.47910839,61.8744141,1.47910839,179.627665
1.51356125,61.8743363,1.51356125,179.620463
1.54881662,61.874261,1.54881662,179.613072
1.58489319,61.874188,1.58489319,179.605488
1.6218101,61.8741172,1.6218101,179.597707
1.65958691,61.8740485,1.65958691,179.589722
1.69824365,61.8739819,1.69824365,179.581531
1.73780083,61.8739173,1.73780083,179.573126
1.77827941,61.8738545,1.77827941,179.564505
1.81970086,61.8737936,1.81970086,179.555661
1.86208714,61.8737343,1.86208714,179.546589
1.90546072,61.8736767,1.90546072,179.537284
1.9498446,61.8736207,1.9498446,179.527741
1.99526231,61.8735661,1.99526231,179.517954
2.04173794,61.8735128,2.04173794,179.507918
2.08929613,61.8734609,2.08929613,179.497626
2.13796209,61.8734102,2.13796209,179.487074
2.18776162,61.8733605,2.18776162,179.476255
2.23872114,61.873312,2.23872114,179.465162
2.29086765,61.8732644,2.29086765,179.453791
2.34422882,61.8732176,2.34422882,179.442134
2.39883292,61.8731717,2.39883292,179.430186
2.45470892,61.8731265,2.45470892,179.417939
2.51188643,61.8730819,2.51188643,179.405386
2.57039578,61.8730379,2.57039578,179.392522
2.63026799,61.8729943,2.63026799,179.379338
2.6915348,61.8729511,2.6915348,179.365828
2.7542287,61.8729082,2.7542287,179.351985
2.81838293,61.8728656,2.81838293,179.3378
2.8840315,61.8728231,2.8840315,179.323266
2.95120923,61.8727807,2.95120923,179.308375
3.01995172,61.8727382,3.01995172,179.29312
3.09029543,61.8726956,3.09029543,179.277491
3.16227766,61.8726529,3.16227766,179.261481
3.23593657,61.8726098,3.23593657,179.245081
3.31131121,61.8725664,3.31131121,179.228281
3.38844156,61.8725226,3.38844156,179.211074
3.4673685,61.8724782,3.4673685,179.193449
3.54813389,61.8724331,3.54813389,179.175398
3.63078055,61.8723874,3.63078055,179.156909
