col0,col1,col2,col3
1.0,72.4089717,1.0,179.70802
1.02329299,72.4088332,1.02329299,179.703083
1.04712855,72.4086984,1.04712855,179.698022
1.07151931,72.4085673,1.07151931,179.69283
1.0964782,72.4084398,1.0964782,179.687504
1.12201845,72.408316,1.12201845,179.682041
1.14815362,72.4081957,1.14815362,179.676435
1.17489755,72.4080789,1.17489755,179.670683
1.20226443,72.4079655,1.20226443,179.664781
1.23026877,72.4078555,1.23026877,179.658723
1.25892541,72.4077488,1.25892541,179.652507
1.28824955,72.4076452,1.28824955,179.646127
1.31825674,72.4075449,1.31825674,179.639579
1.34896288,72.4074475,1.34896288,179.632858
1.38038426,72.4073532,1.38038426,179.625961
1.41253754,72.4072618,1.41253754,179.618882
1.44543977,72.4071731,1.44543977,179.611617
1.47910839,72.4070872,1.47910839,179.604161
1.51356125,72.4070039,1.51356125,179.596509
1.54881662,72.4069231,1.54881662,179.588657
1.58489319,72.4068448,1.58489319,179.5806
1.6218101,72.4067688,1.6218101,179.572332
1.65958691,72.4066951,1.65958691,179.563849
1.69824365,72.4066236,1.69824365,179.555145
1.73780083,72.4065541,1.73780083,179.546216
1.77827941,72.4064866,1.77827941,179.537055
1.81970086,72.406421,1.81970086,179.527658
1.86208714,72.4063572,1.86208714,179.518019
1.90546072,72.4062951,1.90546072,179.508132
1.9498446,72.4062346,1.9498446,179.497992
1.99526231,72.4061756,1.99526231,179.487593
2.04173794,72.4061181,2.04173794,179.476928
2.08929613,72.4060619,2.08929613,179.465993
2.13796209,72.4060069,2.13796209,179.45478
2.18776162,72.4059531,2.18776162,179.443283
2.23872114,72.4059004,2.23872114,179.431497
2.29086765,72.4058486,2.29086765,179.419413
2.34422882,72.4057978,2.34422882,179.407027
2.39883292,72.4057477,2.39883292,179.39433
2.45470892,72.4056983,2.45470892,179.381316
2.51188643,72.4056496,2.51188643,179.367977
2.57039578,72.4056013,2.57039578,179.354307
2.63026799,72.4055536,2.63026799,179.340297
2.6915348,72.4055061,2.6915348,179.325941
2.7542287,72.405459,2.7542287,179.31123
2.81838293,72.405412,2.81838293,179.296156
2.8840315,72.405365,2.8840315,179.280711
2.95120923,72.4053181,2.95120923,179.264888
3.01995172,72.4052711,3.01995172,179.248676
3.09029543,72.4052238,3.09029543,179.232068
3.16227766,72.4051763,3.16227766,179.215054
3.23593657,72.4051284,3.23593657,179.197626
3.31131121,72.40508,3.31131121,179.179773
3.38844156,72.405031,3.38844156,179.161487
3.4673685,72.4049813,3.4673685,179.142757
3.54813389,72.4049309,3.54813389,179.123574
3.63078055,72.4048795,3.63078055,179.103927
3.71535229,72.4048272,3.71535229,179.083805
3.80189396,72.4047737,3.80189396,179.063198
3.89045145,72.404719,3.89045145,179.042095
3.98107171,72.404663,3.98107171,179.020485
4.07380278,72.4046056,4.07380278,178.998355
4.16869383,72.4045465,4.16869383,178.975695
4.26579519,72.4044858,4.26579519,178.952491
4.36515832,72.4044232,4.36515832,178.928732
4.46683592,72.4043586,4.46683592,178.904405
4.5708819,72.404292,4.5708819,178.879496
4.67735141,72.404223,4.67735141,178.853993
4.78630092,72.4041517,4.78630092,178.827882
4.89778819,72.4040778,4.89778819,178.801149
5.01187234,72.4040012,5.01187234,178.773779
5.12861384,72.4039217,5.12861384,178.745758
5.2480746,72.4038392,5.2480746,178.717072
5.37031796,72.4037534,5.37031796,178.687704
5.49540874,72.4036642,5.49540874,178.657638
5.62341325,72.4035713,5.62341325,178.62686
5.75439937,72.4034746,5.75439937,178.595352
5.88843655,72.4033738,5.88843655,178.563098
6.02559586,72.4032688,6.02559586,178.53008
6.16595002,72.4031592,6.16595002,178.496281
6.30957344,72.4030449,6.30957344,178.461682
6.45654229,72.4029256,6.45654229,178.426266
6.60693448,72.402801,6.60693448,178.390012
6.76082975,72.4026708,6.76082975,178.352903
6.91830971,72.4025348,6.91830971,178.314917
7.07945784,72.4023926,7.07945784,178.276035
7.2443596,72.4022438,7.2443596,178.236235
7.41310241,72.4020883,7.41310241,178.195497
7.58577575,72.4019255,7.58577575,178.153798
7.76247117,72.4017552,7.76247117,178.111117
7.94328235,72.4015769,7.94328235,178.067429
8.12830516,72.4013903,8.12830516,178.022713
8.31763771,72.4011948,8.31763771,177.976944
8.51138038,72.4009901,8.51138038,177.930097
8.7096359,72.4007756,8.7096359,177.882148
8.91250938,72.4005509,8.91250938,177.83307
9.12010839,72.4003154,9.12010839,177.782837
9.33254301,72.4000685,9.33254301,177.731422
9.54992586,72.3998098,9.54992586,177.678799
9.77237221,72.3995385,9.77237221,177.624937
10.0,72.399254,10.0,177.56981
10.2329299,72.3989557,10.2329299,177.513386
10.4712855,72.3986428,10.4712855,177.455636
10.7151931,72.3983146,10.7151931,177.396529
10.964782,72.3979702,10.964782,177.336032
11.2201845,72.3976089,11.2201845,177.274115
11.4815362,72.3972298,11.4815362,177.210742
11.7489755,72.396832,11.7489755,177.145882
12.0226443,72.3964144,12.0226443,177.079497
12.3026877,72.395976,12.3026877,177.011554
12.5892541,72.3955159,12.5892541,176.942016
12.8824955,72.3950328,12.8824955,176.870845
13.1825674,72.3945256,13.1825674,176.798004
13.4896288,72.3939929,13.4896288,176.723453
13.8038426,72.3934336,13.8038426,176.647153
14.1253754,72.3928462,14.1253754,176.569064
14.4543977,72.3922292,14.4543977,176.489142
14.7910839,72.3915811,14.7910839,176.407347
15.1356125,72.3909003,15.1356125,176.323634
15.4881662,72.3901851,15.4881662,176.237959
15.8489319,72.3894337,15.8489319,176.150277
16.218101,72.3886443,16.218101,176.060541
16.5958691,72.3878148,16.5958691,175.968705
16.9824365,72.3869432,16.9824365,175.874719
17.3780083,72.3860273,17.3780083,175.778534
17.7827941,72.3850648,17.7827941,175.6801
18.1970086,72.3840534,18.1970086,175.579365
18.6208714,72.3829905,18.6208714,175.476277
19.0546072,72.3818734,19.0546072,175.370783
19.498446,72.3806994,19.498446,175.262826
19.9526231,72.3794655,19.9526231,175.152353
20.4173794,72.3781688,20.4173794,175.039305
20.8929613,72.3768059,20.8929613,174.923626
21.3796209,72.3753736,21.3796209,174.805255
