col0,col1,col2,col3
1.0,72.4089544,1.0,179.708027
1.02329299,72.4088156,1.02329299,179.703094
1.04712855,72.4086805,1.04712855,179.698036
1.07151931,72.4085491,1.07151931,179.692847
1.0964782,72.4084214,1.0964782,179.687525
1.12201845,72.4082972,1.12201845,179.682065
1.14815362,72.4081767,1.14815362,179.676463
1.17489755,72.4080596,1.17489755,179.670715
1.20226443,72.4079459,1.20226443,179.664816
1.23026877,72.4078357,1.23026877,179.658762
1.25892541,72.4077287,1.25892541,179.65255
1.28824955,72.407625,1.28824955,179.646174
1.31825674,72.4075243,1.31825674,179.63963
1.34896288,72.4074268,1.34896288,179.632913
1.38038426,72.4073322,1.38038426,179.62602
1.41253754,72.4072406,1.41253754,179.618945
1.44543977,72.4071517,1.44543977,179.611685
1.47910839,72.4070656,1.47910839,179.604233
1.51356125,72.4069821,1.51356125,179.596586
1.54881662,72.4069012,1.54881662,179.588739
1.58489319,72.4068227,1.58489319,179.580686
1.6218101,72.4067465,1.6218101,179.572423
1.65958691,72.4066727,1.65958691,179.563945
1.69824365,72.406601,1.69824365,179.555246
1.73780083,72.4065313,1.73780083,179.546322
1.77827941,72.4064637,1.77827941,179.537166
1.81970086,72.406398,1.81970086,179.527774
1.86208714,72.406334,1.86208714,179.518141
1.90546072,72.4062718,1.90546072,179.508259
1.9498446,72.4062112,1.9498446,179.498125
1.99526231,72.4061521,1.99526231,179.487731
2.04173794,72.4060944,2.04173794,179.477072
2.08929613,72.4060381,2.08929613,179.466143
2.13796209,72.4059831,2.13796209,179.454936
2.18776162,72.4059292,2.18776162,179.443445
2.23872114,72.4058763,2.23872114,179.431664
2.29086765,72.4058245,2.29086765,179.419587
2.34422882,72.4057735,2.34422882,179.407207
2.39883292,72.4057234,2.39883292,179.394517
2.45470892,72.4056739,2.45470892,179.381509
2.51188643,72.4056251,2.51188643,179.368177
2.57039578,72.4055768,2.57039578,179.354513
2.63026799,72.405529,2.63026799,179.340511
2.6915348,72.4054815,2.6915348,179.326161
2.7542287,72.4054343,2.7542287,179.311458
2.81838293,72.4053872,2.81838293,179.296391
2.8840315,72.4053403,2.8840315,179.280954
2.95120923,72.4052933,2.95120923,179.265137
3.01995172,72.4052462,3.01995172,179.248934
3.09029543,72.4051989,3.09029543,179.232333
3.16227766,72.4051514,3.16227766,179.215327
3.23593657,72.4051034,3.23593657,179.197907
3.31131121,72.405055,3.31131121,179.180063
3.38844156,72.405006,3.38844156,179.161785
3.4673685,72.4049563,3.4673685,179.143064
3.54813389,72.4049059,3.54813389,179.123889
3.63078055,72.4048545,3.63078055,179.104251
3.71535229,72.4048021,3.71535229,179.084139
3.80189396,72.4047487,3.80189396,179.063541
3.89045145,72.404694,3.89045145,179.042448
3.98107171,72.404638,3.98107171,179.020847
4.07380278,72.4045805,4.07380278,178.998727
4.16869383,72.4045215,4.16869383,178.976077
4.26579519,72.4044608,4.26579519,178.952883
4.36515832,72.4043982,4.36515832,178.929135
