blk,modo_db,f_hz,vin_pk,k_att,caso,p_q132,p_q133,icmax_q132,icmin_q132,icmax_q133,icmin_q133,p_q122,icmax_q122,p_q125,p_q127,p_q121a,p_q121b,p_q117,p_q118,p_q106,p_jq110a,p_jq110b,p_r134,p_r135,p_r130,p_r131,p_r123,p_r126,p_rsep,p_rsep2,irms_rsep,irms_rsep2,p_q132_w1,p_q132_w2,voutpk
A,0,1000,0,1,0,0.292911,0.293881,0.0200993,0.0200993,-0.0202096,-0.0202096,0.0867773,-0.00647104,0.0853912,0.0110718,0.00148501,0.00166044,0.00982968,0.0098169,0.0631472,0.0189231,0.0185717,0.00906163,0.0090629,3.83477E-07,7.556E-08,0.00387001,0.00374983,2.24915E-21,1.31898E-22,6.91767E-12,1.67521E-12,0.292911,0.292911,-0.0141812
B,0,1000,0,1,0,0.293204,0.29358,0.0200999,0.0200999,-0.0202086,-0.0202086,0.0868672,-0.0064709,0.0853008,0.0110716,0.00148501,0.0016604,0.00982967,0.00981688,0.0630863,0.0189538,0.0186018,0.00906207,0.00906207,3.83204E-07,7.56522E-08,0.00386984,0.00374981,2.34733E-22,0,2.2348E-12,0,0.293204,0.293204,-0.0283607
A,0,1000,0,1,1,0.292911,0.293881,0.0200993,0.0200993,-0.0202096,-0.0202096,0.0867773,-0.00647104,0.0853912,0.0110718,0.00148501,0.00166044,0.00982968,0.0098169,0.0631472,0.0189231,0.0185717,0.00906163,0.0090629,3.83477E-07,7.556E-08,0.00387001,0.00374983,3.79004E-25,3.78985E-25,8.99298E-14,8.99275E-14,0.292911,0.292911,-0.0141812
B,0,1000,0,1,1,0.293204,0.29358,0.0200999,0.0200999,-0.0202086,-0.0202086,0.0868672,-0.0064709,0.0853008,0.0110716,0.00148501,0.0016604,0.00982967,0.00981688,0.0630863,0.0189538,0.0186018,0.00906207,0.00906207,3.83204E-07,7.56522E-08,0.00386984,0.00374981,1.11803E-24,0,1.53897E-13,0,0.293204,0.293204,-0.0283607
A,0,1000,0,1,2,0.292911,0.293881,0.0200993,0.0200993,-0.0202096,-0.0202096,0.0867773,-0.00647104,0.0853912,0.0110718,0.00148501,0.00166044,0.00982968,0.0098169,0.0631472,0.0189231,0.0185717,0.00906163,0.0090629,3.83477E-07,7.556E-08,0.00387001,0.00374983,4.07195E-25,1.31899E-22,9.33358E-14,1.67522E-12,0.292911,0.292911,-0.0141812
B,0,1000,0,1,2,0.293204,0.29358,0.0200999,0.0200999,-0.0202086,-0.0202086,0.0868672,-0.0064709,0.0853008,0.0110716,0.00148501,0.0016604,0.00982967,0.00981688,0.0630863,0.0189538,0.0186018,0.00906207,0.00906207,3.83204E-07,7.56522E-08,0.00386984,0.00374981,2.34734E-22,0,2.2348E-12,0,0.293204,0.293204,-0.0283607
A,0,1000,0,1,3,0.292911,0.293881,0.0200993,0.0200993,-0.0202096,-0.0202096,0.0867773,-0.00647104,0.0853912,0.0110718,0.00148501,0.00166044,0.00982968,0.0098169,0.0631472,0.0189231,0.0185717,0.00906163,0.0090629,3.83477E-07,7.556E-08,0.00387001,0.00374983,2.24916E-21,3.82022E-25,6.91769E-12,9.00682E-14,0.292911,0.292911,-0.0141812
B,0,1000,0,1,3,0.293204,0.29358,0.0200999,0.0200999,-0.0202086,-0.0202086,0.0868672,-0.0064709,0.0853008,0.0110716,0.00148501,0.0016604,0.00982967,0.00981688,0.0630863,0.0189538,0.0186018,0.00906207,0.00906207,3.83204E-07,7.56522E-08,0.00386984,0.00374981,2.34734E-22,0,2.2348E-12,0,0.293204,0.293204,-0.0283607
A,0,1000,0,1,4,0.292911,0.293881,0.0200993,0.0200993,-0.0202096,-0.0202096,0.0867773,-0.00647104,0.0853912,0.0110718,0.00148501,0.00166044,0.00982968,0.0098169,0.0631472,0.0189231,0.0185717,0.00906163,0.0090629,3.83477E-07,7.556E-08,0.00387001,0.00374983,2.24914E-21,1.31898E-22,6.91767E-12,1.67521E-12,0.292911,0.292911,-0.0141812
B,0,1000,0,1,4,0.293204,0.29358,0.0200999,0.0200999,-0.0202086,-0.0202086,0.0868672,-0.0064709,0.0853008,0.0110716,0.00148501,0.0016604,0.00982967,0.00981688,0.0630863,0.0189538,0.0186018,0.00906207,0.00906207,3.83204E-07,7.56522E-08,0.00386984,0.00374981,1.08415E-24,0,1.5243E-13,0,0.293204,0.293204,-0.0283607
