col0,col1,col2,col3,col4,col5
20.0,60.0503824,20.0,1693.37836,20.0,0.0361739679
22.4403691,57.3717853,22.4403691,1509.38485,22.4403691,0.0361741531
25.1785082,55.2440535,25.1785082,1345.41614,25.1785082,0.0361743377
28.2507509,53.5539065,28.2507509,1199.29756,28.2507509,0.0361745551
31.6978638,52.2113565,31.6978638,1069.09098,31.6978638,0.0361748431
35.5655882,51.1449194,35.5655882,953.069194,35.5655882,0.0361752449
39.9052463,50.2978108,39.9052463,849.693023,39.9052463,0.0361758096
44.7744228,49.6249238,44.7744228,757.590978,44.7744228,0.0361765936
50.2377286,49.0904278,50.2377286,675.541076,50.2377286,0.0361776625
56.3676586,48.6658605,56.3676586,602.454641,56.3676586,0.0361790937
63.2455532,48.3286136,63.2455532,537.361874,63.2455532,0.0361809801
70.9626778,48.0607281,70.9626778,479.398981,70.9626778,0.0361834356
79.6214341,47.8479386,79.6214341,427.796706,79.6214341,0.036186601
89.3367184,47.6789136,89.3367184,381.870112,89.3367184,0.036190652
100.237447,47.5446521,100.237447,341.009467,100.237447,0.0361958095
112.468265,47.4380042,112.468265,304.672117,112.468265,0.0362023514
126.191469,47.3532907,126.191469,272.375237,126.191469,0.0362106277
141.589157,47.2860004,141.589157,243.68935,141.589157,0.0362210797
158.865647,47.2325497,158.865647,218.232538,158.865647,0.0362342629
178.250188,47.1900923,178.250188,195.665234,178.250188,0.0362508767
200.0,47.1563672,200.0,175.685552,200.0,0.036271801
224.403691,47.1295784,224.403691,158.025051,224.403691,0.0362981418
251.785082,47.1082993,251.785082,142.444885,251.785082,0.0363312885
282.507509,47.0913967,282.507509,128.732276,282.507509,0.0363729852
316.978638,47.0779705,316.978638,116.697267,316.978638,0.0364254185
355.655882,47.0673056,355.655882,106.16971,355.655882,0.0364913276
399.052463,47.0588343,399.052463,96.9964883,399.052463,0.0365741386
447.744228,47.0521052,447.744228,89.03897,447.744228,0.0366781299
502.377286,47.0467602,502.377286,82.1707372,502.377286,0.0368086328
563.676586,47.0425144,563.676586,76.2756382,563.676586,0.0369722739
632.455532,47.0391419,632.455532,71.2462284,632.455532,0.0371772638
709.626778,47.036463,709.626778,66.982646,709.626778,0.0374337365
796.214341,47.0343351,796.214341,63.3919345,796.214341,0.0377541407
893.367184,47.0326449,893.367184,60.3877681,893.367184,0.0381536813
1002.37447,47.0313023,1002.37447,57.8904807,1002.37447,0.0386508022
1124.68265,47.0302358,1124.68265,55.8272626,1124.68265,0.0392676939
1261.91469,47.0293887,1261.91469,54.1323784,1261.91469,0.0400308009
1415.89157,47.0287158,1415.89157,52.7472879,1415.89157,0.040971293
1588.65647,47.0281813,1588.65647,51.6205932,1588.65647,0.0421254594
1782.50188,47.0277568,1782.50188,50.7077907,1782.50188,0.0435349867
2000.0,47.0274196,2000.0,49.9708454,2000.0,0.0452470906
2244.03691,47.0271518,2244.03691,49.3776322,2244.03691,0.0473145007
2517.85082,47.0269391,2517.85082,48.9012991,2517.85082,0.0497953293
2825.07509,47.0267701,2825.07509,48.519603,2825.07509,0.0527528987
3169.78638,47.026636,3169.78638,48.2142591,3169.78638,0.0562556283
3556.55882,47.0265295,3556.55882,47.9703327,3556.55882,0.0603770936
3990.52463,47.026445,3990.52463,47.7756899,3990.52463,0.0651963554
4477.44228,47.026378,4477.44228,47.6205158,4477.44228,0.070798617
5023.77286,47.0263249,5023.77286,47.4968991,5023.77286,0.0772762283
5636.76586,47.0262828,5636.76586,47.3984819,5636.76586,0.0847300145
6324.55532,47.0262497,6324.55532,47.3201666,6324.55532,0.0932708868
7096.26778,47.0262236,7096.26778,47.2578738,7096.26778,0.103021689
7962.14341,47.0262032,7962.14341,47.2083439,7962.14341,0.114119248
8933.67184,47.0261874,8933.67184,47.1689762,8933.67184,0.126716605
10023.7447,47.0261755,10023.7447,47.1376972,10023.7447,0.140985434
11246.8265,47.0261668,11246.8265,47.1128562,11246.8265,0.157118678
12619.1469,47.0261609,12619.1469,47.0931395,12619.1469,0.175333421
14158.9157,47.0261577,14158.9157,47.0775032,14158.9157,0.195874059
15886.5647,47.0261569,15886.5647,47.0651184,15886.5647,0.219015825
17825.0188,47.026159,17825.0188,47.0553283,17825.0188,0.245068735
20000.0,47.0261642,20000.0,47.0476132,20000.0,0.274382035
22440.3691,47.0261736,22440.3691,47.041564,22440.3691,0.307349241
25178.5082,47.0261884,25178.5082,47.0368601,25178.5082,0.34441389
28250.7509,47.026211,28250.7509,47.0332528,28250.7509,0.386076115
31697.8638,47.0262446,31697.8638,47.0305527,31697.8638,0.432900231
35565.5882,47.0262948,35565.5882,47.02862,35565.5882,0.485523497
39905.2463,47.0263696,39905.2463,47.0273579,39905.2463,0.544666315
44774.4228,47.0264818,44774.4228,47.0267086,44774.4228,0.611144139
50237.7286,47.026651,50237.7286,47.0266522,50237.7286,0.685881444
56367.6586,47.0269072,56367.6586,47.0272087,56367.6586,0.76992815
63245.5532,47.0272971,63245.5532,47.0284431,63245.5532,0.864478936
70962.6778,47.027892,70962.6778,47.0304756,70962.6778,0.970895883
79621.4341,47.0288009,79621.4341,47.033498,79621.4341,1.0907348
