col0,col1,col2,col3
20.0,1693.47015,20.0,3.26192271
22.4403691,1509.48797,22.4403691,3.26192346
25.1785082,1345.53195,25.1785082,3.26192389
28.2507509,1199.42759,28.2507509,3.26192407
31.6978638,1069.23695,31.6978638,3.26192405
35.5655882,953.233014,35.5655882,3.26192391
39.9052463,849.876847,39.9052463,3.26192369
44.7744228,757.797213,44.7744228,3.26192343
50.2377286,675.772413,50.2377286,3.26192317
56.3676586,602.714087,56.3676586,3.26192294
63.2455532,537.65278,63.2455532,3.26192277
70.9626778,479.72508,70.9626778,3.26192267
79.6214341,428.162147,79.6214341,3.26192266
89.3367184,382.279494,89.3367184,3.26192275
100.237447,341.46787,100.237447,3.26192296
112.468265,305.185132,112.468265,3.26192332
126.191469,272.948985,126.191469,3.26192384
141.589157,244.330491,141.589157,3.26192455
158.865647,218.948254,158.865647,3.2619255
178.250188,196.463198,178.250188,3.26192673
200.0,176.573845,200.0,3.26192833
224.403691,159.012045,224.403691,3.26193036
251.785082,143.539062,251.785082,3.26193294
282.507509,129.941982,282.507509,3.26193621
316.978638,118.030396,316.978638,3.26194034
355.655882,107.63332,355.655882,3.26194555
399.052463,98.596372,399.052463,3.26195212
447.744228,90.7792129,447.744228,3.2619604
502.377286,84.0533089,502.377286,3.26197082
563.676586,78.3000832,563.676586,3.26198396
632.455532,73.4095124,632.455532,3.26200049
709.626778,69.2792022,709.626778,3.26202131
796.214341,65.8139202,796.214341,3.26204753
893.367184,62.9255059,893.367184,3.26208053
1002.37447,60.5330236,1002.37447,3.26212208
1124.68265,58.5630038,1124.68265,3.26217439
1261.91469,56.9496288,1261.91469,3.26224024
1415.89157,55.6347622,1415.89157,3.26232313
1588.65647,54.5677717,1588.65647,3.26242749
1782.50188,53.7051509,1782.50188,3.26255885
2000.0,53.0099756,2000.0,3.26272422
2244.03691,52.4512527,2244.03691,3.26293238
2517.85082,52.0032163,2517.85082,3.2631944
2825.07509,51.6446228,2825.07509,3.2635242
3169.78638,51.3580791,3169.78638,3.26393931
3556.55882,51.1294281,3556.55882,3.26446175
3990.52463,50.9472029,3990.52463,3.26511922
4477.44228,50.8021548,4477.44228,3.26594656
5023.77286,50.6868503,5023.77286,3.26698753
5636.76586,50.5953347,5636.76586,3.2682971
6324.55532,50.5228522,6324.55532,3.26994427
7096.26778,50.4656176,7096.26778,3.27201559
7962.14341,50.4206299,7962.14341,3.27461953
8933.67184,50.3855227,8933.67184,3.27789185
10023.7447,50.3584442,10023.7447,3.28200223
11246.8265,50.3379622,11246.8265,3.28716233
12619.1469,50.3229904,12619.1469,3.29363558
14158.9157,50.312731,14158.9157,3.30174884
15886.5647,50.3066322,15886.5647,3.3119062
17825.0188,50.3043583,17825.0188,3.32460485
20000.0,50.3057685,20000.0,3.34045299
22440.3691,50.3109064,22440.3691,3.36018911
25178.5082,50.3199953,25178.5082,3.38470159
28250.7509,50.3334403,28250.7509,3.41504678
31697.8638,50.3518345,31697.8638,3.45246231
35565.5882,50.3759671,35565.5882,3.49837151
39905.2463,50.4068305,39905.2463,3.55437282
44774.4228,50.4456211,44774.4228,3.62220717
50237.7286,50.4937288,50237.7286,3.70369564
56367.6586,50.5527047,56367.6586,3.80064054
63245.5532,50.6241989,63245.5532,3.91468676
70962.6778,50.709857,70962.6778,4.04714614
79621.4341,50.8111682,79621.4341,4.19879744
89336.7184,50.9292643,89336.7184,4.36968561
100237.447,51.0646814,100237.447,4.55895553
112468.265,51.217117,112468.265,4.76476236
126191.469,51.3852309,126191.469,4.98430013
141589.157,51.5665536,141589.157,5.2139774
158865.647,51.7575579,158865.647,5.44974355
178250.188,51.953922,178250.188,5.68753582
200000.0,52.1509584,200000.0,5.92378475
