var,vto_v,temp_c,idss_x_a,gfs_x_s,vgsoff_x_v,vgs500_x_v,idss_a_a,gfs_a_s,vgsoff_a_v,vgs500_a_v
a_come_e,-1.130,25,0.0048422,0.00667164,-1.49935,-1.02873,0.00259283,0.00495187,-1.12435,-0.650212
a_come_e,-1.130,27,0.0048422,0.00667164,-1.49935,-1.02873,0.00259188,0.00492638,-1.12935,-0.652918
a_tip,-1.696,25,0.0048422,0.00667164,-1.49935,-1.02873,0.0055025,0.00721202,-1.69036,-1.21621
a_tip,-1.696,27,0.0048422,0.00667164,-1.49935,-1.02873,0.00548711,0.00716619,-1.69535,-1.21892
b_min,-2.086,25,0.0048422,0.00667164,-1.49935,-1.02873,0.00800484,0.00869687,-2.08035,-1.60621
b_min,-2.086,27,0.0048422,0.00667164,-1.49935,-1.02873,0.00797616,0.00863822,-2.08535,-1.60892
b_tip,-2.557,25,0.0048422,0.00667164,-1.49935,-1.02873,0.0114994,0.0104207,-2.55136,-2.07721
b_tip,-2.557,27,0.0048422,0.00667164,-1.49935,-1.02873,0.011452,0.0103477,-2.55635,-2.07992
b_max,-2.976,25,0.0048422,0.00667164,-1.49935,-1.02873,0.0149965,0.0118968,-2.97036,-2.49621
b_max,-2.976,27,0.0048422,0.00667164,-1.49935,-1.02873,0.0149306,0.0118118,-2.97535,-2.49892
