col0,col1,col2,col3
20.0,3.20973898e-08,20.0,1.02273382e-08
20.4658598,3.20625025e-08,20.4658598,1.02160825e-08
20.942571,3.20283717e-08,20.942571,1.02050744e-08
21.4303861,3.1994982e-08,21.4303861,1.01943087e-08
21.9295639,3.1962318e-08,21.9295639,1.01837802e-08
22.4403691,3.19303648e-08,22.4403691,1.01734838e-08
22.9630724,3.18991074e-08,22.9630724,1.01634146e-08
23.4979511,3.18685316e-08,23.4979511,1.01535677e-08
24.0452887,3.18386231e-08,24.0452887,1.01439382e-08
24.6053754,3.18093679e-08,24.6053754,1.01345216e-08
25.1785082,3.17807524e-08,25.1785082,1.01253133e-08
25.764991,3.17527632e-08,25.764991,1.01163088e-08
26.3651348,3.17253871e-08,26.3651348,1.01075037e-08
26.9792577,3.16986111e-08,26.9792577,1.00988936e-08
27.6076853,3.16724228e-08,27.6076853,1.00904744e-08
28.2507509,3.16468095e-08,28.2507509,1.0082242e-08
28.9087954,3.16217592e-08,28.9087954,1.00741923e-08
29.5821678,3.159726e-08,29.5821678,1.00663213e-08
30.271225,3.15733e-08,30.271225,1.00586253e-08
30.9763324,3.15498679e-08,30.9763324,1.00511002e-08
31.6978638,3.15269524e-08,31.6978638,1.00437426e-08
32.4362019,3.15045425e-08,32.4362019,1.00365486e-08
33.1917381,3.14826274e-08,33.1917381,1.00295148e-08
33.964873,3.14611965e-08,33.964873,1.00226377e-08
34.7560166,3.14402394e-08,34.7560166,1.00159138e-08
35.5655882,3.1419746e-08,35.5655882,1.00093398e-08
36.3940172,3.13997062e-08,36.3940172,1.00029125e-08
37.2417427,3.13801103e-08,37.2417427,9.99662851e-09
38.1092144,3.13609489e-08,38.1092144,9.99048483e-09
38.996892,3.13422124e-08,38.996892,9.98447835e-09
39.9052463,3.13238917e-08,39.9052463,9.97860606e-09
40.8347589,3.13059778e-08,40.8347589,9.97286503e-09
41.7859226,3.12884619e-08,41.7859226,9.96725236e-09
42.7592418,3.12713354e-08,42.7592418,9.96176523e-09
43.7552325,3.12545898e-08,43.7552325,9.95640089e-09
44.7744228,3.12382169e-08,44.7744228,9.95115663e-09
45.8173531,3.12222085e-08,45.8173531,9.9460298e-09
46.8845763,3.12065567e-08,46.8845763,9.94101783e-09
47.9766584,3.11912538e-08,47.9766584,9.93611816e-09
49.0941783,3.11762921e-08,49.0941783,9.93132834e-09
50.2377286,3.11616641e-08,50.2377286,9.92664592e-09
51.4079157,3.11473627e-08,51.4079157,9.92206853e-09
52.6053598,3.11333805e-08,52.6053598,9.91759386e-09
53.8306961,3.11197107e-08,53.8306961,9.91321963e-09
55.0845741,3.11063464e-08,55.0845741,9.90894361e-09
56.3676586,3.10932809e-08,56.3676586,9.90476364e-09
57.6806301,3.10805076e-08,57.6806301,9.90067757e-09
59.0241845,3.10680201e-08,59.0241845,9.89668333e-09
60.3990344,3.10558121e-08,60.3990344,9.89277888e-09
61.8059087,3.10438775e-08,61.8059087,9.88896222e-09
63.2455532,3.10322103e-08,63.2455532,9.88523141e-09
64.7187314,3.10208045e-08,64.7187314,9.88158453e-09
66.2262243,3.10096543e-08,66.2262243,9.87801972e-09
67.7688312,3.09987543e-08,67.7688312,9.87453516e-09
69.3473701,3.09880987e-08,69.3473701,9.87112905e-09
70.9626778,3.09776822e-08,70.9626778,9.86779964e-09
72.615611,3.09674996e-08,72.615611,9.86454524e-09
74.3070458,3.09575456e-08,74.3070458,9.86136416e-09
76.0378793,3.09478152e-08,76.0378793,9.85825477e-09
77.809029,3.09383034e-08,77.809029,9.85521547e-09
79.6214341,3.09290054e-08,79.6214341,9.8522447e-09
81.4760556,3.09199164e-08,81.4760556,9.84934092e-09
83.3738767,3.09110317e-08,83.3738767,9.84650264e-09
85.3159038,3.0902347e-08,85.3159038,9.8437284e-09
87.3031664,3.08938576e-08,87.3031664,9.84101675e-09
89.3367184,3.08855593e-08,89.3367184,9.83836631e-09
91.4176379,3.08774478e-08,91.4176379,9.83577569e-09
93.5470283,3.08695189e-08,93.5470283,9.83324357e-09
95.7260185,3.08617686e-08,95.7260185,9.83076863e-09
97.9557639,3.08541929e-08,97.9557639,9.82834959e-09
100.237447,3.08467879e-08,100.237447,9.82598519e-09
102.572277,3.08395498e-08,102.572277,9.82367422e-09
104.961492,3.08324748e-08,104.961492,9.82141546e-09
107.406359,3.08255594e-08,107.406359,9.81920776e-09
109.908175,3.08187999e-08,109.908175,9.81704997e-09
112.468265,3.08121929e-08,112.468265,9.81494096e-09
115.087987,3.08057349e-08,115.087987,9.81287964e-09
117.768731,3.07994227e-08,117.768731,9.81086494e-09
120.511917,3.07932529e-08,120.511917,9.80889581e-09
123.319,3.07872224e-08,123.319,9.80697122e-09
126.191469,3.07813281e-08,126.191469,9.80509018e-09
129.130846,3.07755669e-08,129.130846,9.8032517e-09
132.13869,3.07699357e-08,132.13869,9.80145483e-09
135.216595,3.07644318e-08,135.216595,9.79969863e-09
138.366194,3.07590522e-08,138.366194,9.79798219e-09
141.589157,3.07537942e-08,141.589157,9.79630461e-09
144.887192,3.0748655e-08,144.887192,9.79466501e-09
148.262048,3.0743632e-08,148.262048,9.79306254e-09
151.715515,3.07387225e-08,151.715515,9.79149637e-09
155.249423,3.07339239e-08,155.249423,9.78996567e-09
158.865647,3.07292339e-08,158.865647,9.78846964e-09
162.566103,3.072465e-08,162.566103,9.78700751e-09
166.352754,3.07201697e-08,166.352754,9.78557851e-09
170.227608,3.07157908e-08,170.227608,9.78418189e-09
174.192718,3.07115109e-08,174.192718,9.78281692e-09
178.250188,3.07073278e-08,178.250188,9.78148289e-09
182.402168,3.07032394e-08,182.402168,9.7801791e-09
186.65086,3.06992435e-08,186.65086,9.77890487e-09
190.998517,3.0695338e-08,190.998517,9.77765952e-09
195.447444,3.06915209e-08,195.447444,9.77644241e-09
200.0,3.06877902e-08,200.0,9.7752529e-09
