col0,col1,col2,col3
20.0,3.20880506e-08,20.0,1.02243573e-08
20.4658598,3.20532134e-08,20.4658598,1.02131176e-08
20.942571,3.20191319e-08,20.942571,1.02021253e-08
21.4303861,3.19857904e-08,21.4303861,1.0191375e-08
21.9295639,3.19531736e-08,21.9295639,1.01808616e-08
22.4403691,3.19212665e-08,22.4403691,1.017058e-08
22.9630724,3.18900545e-08,22.9630724,1.01605252e-08
23.4979511,3.18595229e-08,23.4979511,1.01506924e-08
24.0452887,3.18296578e-08,24.0452887,1.01410768e-08
24.6053754,3.18004451e-08,24.6053754,1.01316738e-08
25.1785082,3.17718711e-08,25.1785082,1.01224787e-08
25.764991,3.17439226e-08,25.764991,1.01134872e-08
26.3651348,3.17165863e-08,26.3651348,1.01046948e-08
26.9792577,3.16898493e-08,26.9792577,1.00960972e-08
27.6076853,3.16636991e-08,27.6076853,1.00876902e-08
28.2507509,3.16381232e-08,28.2507509,1.00794697e-08
28.9087954,3.16131095e-08,28.9087954,1.00714316e-08
29.5821678,3.1588646e-08,29.5821678,1.00635721e-08
30.271225,3.15647211e-08,30.271225,1.00558872e-08
30.9763324,3.15413233e-08,30.9763324,1.00483731e-08
31.6978638,3.15184413e-08,31.6978638,1.00410261e-08
32.4362019,3.14960643e-08,32.4362019,1.00338427e-08
33.1917381,3.14741813e-08,33.1917381,1.00268191e-08
33.964873,3.14527818e-08,33.964873,1.0019952e-08
34.7560166,3.14318554e-08,34.7560166,1.0013238e-08
35.5655882,3.14113921e-08,35.5655882,1.00066736e-08
36.3940172,3.13913818e-08,36.3940172,1.00002556e-08
37.2417427,3.13718147e-08,37.2417427,9.99398084e-09
38.1092144,3.13526814e-08,38.1092144,9.98784615e-09
38.996892,3.13339725e-08,38.996892,9.98184847e-09
39.9052463,3.13156788e-08,39.9052463,9.9759848e-09
40.8347589,3.12977913e-08,40.8347589,9.97025218e-09
41.7859226,3.12803013e-08,41.7859226,9.96464775e-09
42.7592418,3.12632e-08,42.7592418,9.95916868e-09
43.7552325,3.12464792e-08,43.7552325,9.95381222e-09
44.7744228,3.12301304e-08,44.7744228,9.94857568e-09
45.8173531,3.12141457e-08,45.8173531,9.94345639e-09
