cella,file,variante,f_hz,amp,gm,rl,t_ins,t_rel,t_fine,tmax,tipo,rif_ins,rif_rel
var0_100k_bm,var0_100k_bm.dat,v0_dopo,1000,3.818,10,100k,1,1.1,3.1,10e-6,evento,var0_100k_bmsempre,var0_100k_bmmai
var0_100k_bmmai,var0_100k_bmmai.dat,v0_dopo,1000,3.818,10,100k,1,1.1,3.1,10e-6,rif_mai,-,-
var0_100k_bmsempre,var0_100k_bmsempre.dat,v0_dopo,1000,3.818,10,100k,1,1.1,3.1,10e-6,rif_sempre,-,-
var0_100k_lz,var0_100k_lz.dat,v0_dopo,1000,0,10,100k,1,3,5,10e-6,evento,var0_100k_lzsempre,var0_100k_lzmai
var0_100k_lzmai,var0_100k_lzmai.dat,v0_dopo,1000,0,10,100k,1,3,5,10e-6,rif_mai,-,-
var0_100k_lzsempre,var0_100k_lzsempre.dat,v0_dopo,1000,0,10,100k,1,3,5,10e-6,rif_sempre,-,-
var0_100k_bmzero,var0_100k_bmzero.dat,v0_dopo,1000,3.818,10,100k,1,1.1,3.1,10e-6,evento,var0_100k_bmzerosempre,var0_100k_bmzeromai
var0_100k_bmzeromai,var0_100k_bmzeromai.dat,v0_dopo,1000,3.818,10,100k,1,1.1,3.1,10e-6,rif_mai,-,-
var0_100k_bmzerosempre,var0_100k_bmzerosempre.dat,v0_dopo,1000,3.818,10,100k,1,1.1,3.1,10e-6,rif_sempre,-,-
var0_10k_bm,var0_10k_bm.dat,v0_dopo,1000,3.818,10,10k,1,1.1,3.1,10e-6,evento,var0_10k_bmsempre,var0_10k_bmmai
var0_10k_bmmai,var0_10k_bmmai.dat,v0_dopo,1000,3.818,10,10k,1,1.1,3.1,10e-6,rif_mai,-,-
var0_10k_bmsempre,var0_10k_bmsempre.dat,v0_dopo,1000,3.818,10,10k,1,1.1,3.1,10e-6,rif_sempre,-,-
var0_10k_lz,var0_10k_lz.dat,v0_dopo,1000,0,10,10k,1,3,5,10e-6,evento,var0_10k_lzsempre,var0_10k_lzmai
var0_10k_lzmai,var0_10k_lzmai.dat,v0_dopo,1000,0,10,10k,1,3,5,10e-6,rif_mai,-,-
var0_10k_lzsempre,var0_10k_lzsempre.dat,v0_dopo,1000,0,10,10k,1,3,5,10e-6,rif_sempre,-,-
var1_100k_bm,var1_100k_bm.dat,v1_prima,1000,3.818,10,100k,1,1.1,3.1,10e-6,evento,var1_100k_bmsempre,var1_100k_bmmai
var1_100k_bmmai,var1_100k_bmmai.dat,v1_prima,1000,3.818,10,100k,1,1.1,3.1,10e-6,rif_mai,-,-
var1_100k_bmsempre,var1_100k_bmsempre.dat,v1_prima,1000,3.818,10,100k,1,1.1,3.1,10e-6,rif_sempre,-,-
var1_100k_lz,var1_100k_lz.dat,v1_prima,1000,0,10,100k,1,3,5,10e-6,evento,var1_100k_lzsempre,var1_100k_lzmai
var1_100k_lzmai,var1_100k_lzmai.dat,v1_prima,1000,0,10,100k,1,3,5,10e-6,rif_mai,-,-
var1_100k_lzsempre,var1_100k_lzsempre.dat,v1_prima,1000,0,10,100k,1,3,5,10e-6,rif_sempre,-,-
var1_10k_bm,var1_10k_bm.dat,v1_prima,1000,3.818,10,10k,1,1.1,3.1,10e-6,evento,var1_10k_bmsempre,var1_10k_bmmai
var1_10k_bmmai,var1_10k_bmmai.dat,v1_prima,1000,3.818,10,10k,1,1.1,3.1,10e-6,rif_mai,-,-
var1_10k_bmsempre,var1_10k_bmsempre.dat,v1_prima,1000,3.818,10,10k,1,1.1,3.1,10e-6,rif_sempre,-,-
var1_10k_lz,var1_10k_lz.dat,v1_prima,1000,0,10,10k,1,3,5,10e-6,evento,var1_10k_lzsempre,var1_10k_lzmai
var1_10k_lzmai,var1_10k_lzmai.dat,v1_prima,1000,0,10,10k,1,3,5,10e-6,rif_mai,-,-
var1_10k_lzsempre,var1_10k_lzsempre.dat,v1_prima,1000,0,10,10k,1,3,5,10e-6,rif_sempre,-,-
var2_100k_bm,var2_100k_bm.dat,v2_entrambi,1000,3.818,10,100k,1,1.1,3.1,10e-6,evento,var2_100k_bmsempre,var2_100k_bmmai
var2_100k_bmmai,var2_100k_bmmai.dat,v2_entrambi,1000,3.818,10,100k,1,1.1,3.1,10e-6,rif_mai,-,-
var2_100k_bmsempre,var2_100k_bmsempre.dat,v2_entrambi,1000,3.818,10,100k,1,1.1,3.1,10e-6,rif_sempre,-,-
var2_100k_lz,var2_100k_lz.dat,v2_entrambi,1000,0,10,100k,1,3,5,10e-6,evento,var2_100k_lzsempre,var2_100k_lzmai
