cella,variante,f_hz,amp,gm,rl,grandezza,uscita,picco_V,t_picco_s,finestra_s,esito,nota
mai,rif,1000,3.818,10,100k,C_pav,MAINJACK,0.001232,1.001229,,SOPRA,"pavimento di C a 1.000 s, cond 1"
mai,rif,1000,3.818,10,100k,C_pav,MAINJACK,0.001255,6.628760,,SOPRA,"pavimento di C a 6.500 s, cond 1"
mai,rif,1000,3.818,10,100k,C_pav,FIXJACK1,0.0001812,1.017698,,sotto,"pavimento di C a 1.000 s, cond 1"
mai,rif,1000,3.818,10,100k,C_pav,FIXJACK1,0.0001856,6.628760,,sotto,"pavimento di C a 6.500 s, cond 1"
mai,rif,1000,3.818,10,100k,C_pav,FIXJACK2,0.0001812,1.017698,,sotto,"pavimento di C a 1.000 s, cond 1"
mai,rif,1000,3.818,10,100k,C_pav,FIXJACK2,0.0001856,6.628760,,sotto,"pavimento di C a 6.500 s, cond 1"
sempre,rif,1000,3.818,10,100k,B1,MAINJACK,5.762e-08,3.179167,,sotto,"riferimento sempre in mute, da 0,5 s"
sempre,rif,1000,3.818,10,100k,B1,FIXJACK1,1.831e-08,2.322167,,sotto,"riferimento sempre in mute, da 0,5 s"
sempre,rif,1000,3.818,10,100k,B1,FIXJACK2,1.831e-08,3.150167,,sotto,"riferimento sempre in mute, da 0,5 s"
ev,ldr_v3_td4,1000,3.818,10,100k,A_ins,MAINJACK,12.71,1.000021,2.000,SOPRA,riferimento sempre
ev,ldr_v3_td4,1000,3.818,10,100k,A_rel,MAINJACK,12.71,6.500021,2.000,SOPRA,riferimento mai
ev,ldr_v3_td4,1000,3.818,10,100k,B2,MAINJACK,1.232e-06,5.520896,,sotto,mute da t_ins+t_grad+20 ms a t_rel
ev,ldr_v3_td4,1000,3.818,10,100k,C1_ins,MAINJACK,0.003598,1.905979,,SOPRA,"diagnostica, cond 1"
ev,ldr_v3_td4,1000,3.818,10,100k,C1_rel,MAINJACK,0.00463,10.490760,,SOPRA,"diagnostica, cond 1"
ev,ldr_v3_td4,1000,3.818,10,100k,C2_ins,MAINJACK,0.003598,1.905979,,SOPRA,"riferimento sempre, cond 1"
ev,ldr_v3_td4,1000,3.818,10,100k,C2_rel,MAINJACK,0.006792,11.056344,,SOPRA,"riferimento mai, cond 1"
ev,ldr_v3_td4,1000,3.818,10,100k,A_ins,FIXJACK1,4.033,1.000021,2.000,SOPRA,riferimento sempre
ev,ldr_v3_td4,1000,3.818,10,100k,A_rel,FIXJACK1,4.033,6.500021,2.000,SOPRA,riferimento mai
ev,ldr_v3_td4,1000,3.818,10,100k,B2,FIXJACK1,3.805e-07,5.529396,,sotto,mute da t_ins+t_grad+20 ms a t_rel
ev,ldr_v3_td4,1000,3.818,10,100k,C1_ins,FIXJACK1,0.0009671,1.906521,,sotto,"diagnostica, cond 1"
