cella,variante,f_hz,amp,gm,rl,grandezza,uscita,picco_V,t_picco_s,finestra_s,esito,nota
mai_20k_100k,rif,20000,3.818,10,100k,C_pav,MAINJACK,0.02137,0.981375,,SOPRA,"pavimento di C a 1.000 s, cond 1"
mai_20k_100k,rif,20000,3.818,10,100k,C_pav,MAINJACK,0.02137,8.667375,,SOPRA,"pavimento di C a 8.500 s, cond 1"
mai_20k_100k,rif,20000,3.818,10,100k,C_pav,FIXJACK1,4.934e-05,0.985406,,sotto,"pavimento di C a 1.000 s, cond 1"
mai_20k_100k,rif,20000,3.818,10,100k,C_pav,FIXJACK1,4.934e-05,8.551406,,sotto,"pavimento di C a 8.500 s, cond 1"
mai_20k_100k,rif,20000,3.818,10,100k,C_pav,FIXJACK2,4.934e-05,0.985406,,sotto,"pavimento di C a 1.000 s, cond 1"
mai_20k_100k,rif,20000,3.818,10,100k,C_pav,FIXJACK2,4.934e-05,8.551406,,sotto,"pavimento di C a 8.500 s, cond 1"
sempre_20k_100k,rif,20000,3.818,10,100k,B1,MAINJACK,9.861e-07,16.604250,,sotto,"riferimento sempre in mute, da 0,5 s"
sempre_20k_100k,rif,20000,3.818,10,100k,B1,FIXJACK1,3.179e-07,11.473250,,sotto,"riferimento sempre in mute, da 0,5 s"
sempre_20k_100k,rif,20000,3.818,10,100k,B1,FIXJACK2,3.179e-07,11.473250,,sotto,"riferimento sempre in mute, da 0,5 s"
ev_20k_100k,ldr_v4_td6,20000,3.818,10,100k,A_ins,MAINJACK,8.381,1.028563,2.000,SOPRA,riferimento sempre_20k_100k
ev_20k_100k,ldr_v4_td6,20000,3.818,10,100k,A_rel,MAINJACK,8.381,8.526813,2.000,SOPRA,riferimento mai_20k_100k
ev_20k_100k,ldr_v4_td6,20000,3.818,10,100k,B2,MAINJACK,1.097e-06,7.529677,,sotto,mute da t_ins+t_grad+20 ms a t_rel
ev_20k_100k,ldr_v4_td6,20000,3.818,10,100k,C1_ins,MAINJACK,0.02137,1.005375,,SOPRA,"diagnostica, cond 1"
ev_20k_100k,ldr_v4_td6,20000,3.818,10,100k,C1_rel,MAINJACK,0.02137,14.478625,,SOPRA,"diagnostica, cond 1"
ev_20k_100k,ldr_v4_td6,20000,3.818,10,100k,C2_ins,MAINJACK,0.02137,1.005375,,SOPRA,"riferimento sempre_20k_100k, cond 1"
ev_20k_100k,ldr_v4_td6,20000,3.818,10,100k,C2_rel,MAINJACK,0.02324,9.814125,,SOPRA,"riferimento mai_20k_100k, cond 1"
ev_20k_100k,ldr_v4_td6,20000,3.818,10,100k,S_ins,MAINJACK,6.609,6.038000,,sotto,dB in 100 ms sopra -70 dB; pieno 11.93 V da mai_20k_100k
ev_20k_100k,ldr_v4_td6,20000,3.818,10,100k,S_rel,MAINJACK,6.123,9.332000,,sotto,dB in 100 ms sopra -70 dB; pieno 11.93 V da mai_20k_100k
ev_20k_100k,ldr_v4_td6,20000,3.818,10,100k,A_ins,FIXJACK1,2.701,1.000188,2.000,SOPRA,riferimento sempre_20k_100k
ev_20k_100k,ldr_v4_td6,20000,3.818,10,100k,A_rel,FIXJACK1,2.701,8.500187,2.000,SOPRA,riferimento mai_20k_100k
ev_20k_100k,ldr_v4_td6,20000,3.818,10,100k,B2,FIXJACK1,3.504e-07,7.530177,,sotto,mute da t_ins+t_grad+20 ms a t_rel
ev_20k_100k,ldr_v4_td6,20000,3.818,10,100k,C1_ins,FIXJACK1,0.002571,4.509240,,SOPRA,"diagnostica, cond 1"
ev_20k_100k,ldr_v4_td6,20000,3.818,10,100k,C1_rel,FIXJACK1,0.001392,12.769146,,SOPRA,"diagnostica, cond 1"
ev_20k_100k,ldr_v4_td6,20000,3.818,10,100k,C2_ins,FIXJACK1,0.002571,4.509240,,SOPRA,"riferimento sempre_20k_100k, cond 1"
