var,rsrc,pos,cprobe,fcross_hz,pm_deg,tdb_10hz,rload
a_come_e,1m,1,1f,889301,66.2427,81.4173,100k
a_come_e,1m,1,47p,891126,65.9848,81.4173,100k
a_come_e,1m,1,100p,893135,65.6896,81.4173,100k
a_come_e,1m,1,220p,897256,65.0116,81.4173,100k
a_come_e,1m,1,470p,903643,63.585,81.4173,100k
a_come_e,1m,1,1n,906199,60.7763,81.4173,100k
a_come_e,1m,1,1.5n,896588,58.7536,81.4173,100k
a_come_e,1m,1,2.2n,873176,57.0717,81.4173,100k
a_come_e,1m,1,2.7n,854926,56.4907,81.4173,100k
a_come_e,1m,1,3.3n,834369,56.2233,81.4173,100k
a_come_e,1m,1,4.7n,796118,56.5021,81.4173,100k
a_come_e,1k,1,1f,889238,65.9644,81.4173,100k
a_come_e,1k,1,47p,891063,65.706,81.4173,100k
a_come_e,1k,1,100p,893069,65.4102,81.4173,100k
a_come_e,1k,1,220p,897189,64.731,81.4173,100k
a_come_e,1k,1,470p,903574,63.3025,81.4173,100k
a_come_e,1k,1,1n,906131,60.4933,81.4173,100k
a_come_e,1k,1,1.5n,896523,58.4736,81.4173,100k
a_come_e,1k,1,2.2n,873120,56.7989,81.4173,100k
a_come_e,1k,1,2.7n,854875,56.2234,81.4173,100k
a_come_e,1k,1,3.3n,834322,55.9623,81.4173,100k
a_come_e,1k,1,4.7n,796078,56.2528,81.4173,100k
a_come_e,2.5k,1,1f,889019,65.5513,81.4173,100k
a_come_e,2.5k,1,47p,890842,65.2921,81.4173,100k
a_come_e,2.5k,1,100p,892840,64.9957,81.4173,100k
a_come_e,2.5k,1,220p,896956,64.3148,81.4173,100k
a_come_e,2.5k,1,470p,903335,62.8839,81.4173,100k
a_come_e,2.5k,1,1n,905892,60.0744,81.4173,100k
a_come_e,2.5k,1,1.5n,896296,58.0595,81.4173,100k
a_come_e,2.5k,1,2.2n,872920,56.3951,81.4173,100k
a_come_e,2.5k,1,2.7n,854694,55.8275,81.4173,100k
a_come_e,2.5k,1,3.3n,834158,55.5754,81.4173,100k
a_come_e,2.5k,1,4.7n,795939,55.8827,81.4173,100k
a_come_e,2.571k,1,1f,889004,65.5319,81.4173,100k
a_come_e,2.571k,1,47p,890828,65.2726,81.4173,100k
a_come_e,2.571k,1,100p,892825,64.9762,81.4173,100k
a_come_e,2.571k,1,220p,896941,64.2952,81.4173,100k
a_come_e,2.571k,1,470p,903320,62.8643,81.4173,100k
a_come_e,2.571k,1,1n,905877,60.0547,81.4173,100k
a_come_e,2.571k,1,1.5n,896282,58.0401,81.4173,100k
a_come_e,2.571k,1,2.2n,872908,56.3762,81.4173,100k
a_come_e,2.571k,1,2.7n,854682,55.8089,81.4173,100k
a_come_e,2.571k,1,3.3n,834147,55.5572,81.4173,100k
a_come_e,2.571k,1,4.7n,795930,55.8653,81.4173,100k
a_come_e,2.611k,1,1f,888996,65.5209,81.4173,100k
a_come_e,2.611k,1,47p,890819,65.2617,81.4173,100k
a_come_e,2.611k,1,100p,892817,64.9652,81.4173,100k
a_come_e,2.611k,1,220p,896932,64.2842,81.4173,100k
a_come_e,2.611k,1,470p,903311,62.8532,81.4173,100k
a_come_e,2.611k,1,1n,905868,60.0437,81.4173,100k
a_come_e,2.611k,1,1.5n,896274,58.0291,81.4173,100k
a_come_e,2.611k,1,2.2n,872900,56.3655,81.4173,100k
a_come_e,2.611k,1,2.7n,854676,55.7985,81.4173,100k
a_come_e,2.611k,1,3.3n,834141,55.547,81.4173,100k
a_come_e,2.611k,1,4.7n,795924,55.8555,81.4173,100k
a_come_e,1m,1,1f,888135,66.2298,81.2287,10k
a_come_e,1m,1,47p,889935,65.9748,81.2287,10k
a_come_e,1m,1,100p,891884,65.6837,81.2287,10k
a_come_e,1m,1,220p,895950,65.0134,81.2287,10k
a_come_e,1m,1,470p,902263,63.6035,81.2287,10k
a_come_e,1m,1,1n,904866,60.825,81.2288,10k
a_come_e,1m,1,1.5n,895483,58.817,81.2288,10k
a_come_e,1m,1,2.2n,872463,57.1361,81.2288,10k
a_come_e,1m,1,2.7n,854438,56.5495,81.2289,10k
a_come_e,1m,1,3.3n,834070,56.2741,81.2289,10k
a_come_e,1m,1,4.7n,796052,56.5363,81.229,10k
a_come_e,1k,1,1f,888072,65.9519,81.2287,10k
a_come_e,1k,1,47p,889872,65.6963,81.2287,10k
a_come_e,1k,1,100p,891819,65.4047,81.2287,10k
a_come_e,1k,1,220p,895884,64.7332,81.2287,10k
a_come_e,1k,1,470p,902195,63.3215,81.2287,10k
a_come_e,1k,1,1n,904798,60.5424,81.2288,10k
a_come_e,1k,1,1.5n,895419,58.5374,81.2288,10k
a_come_e,1k,1,2.2n,872407,56.8635,81.2288,10k
a_come_e,1k,1,2.7n,854386,56.2824,81.2289,10k
a_come_e,1k,1,3.3n,834024,56.0132,81.2289,10k
a_come_e,1k,1,4.7n,796012,56.287,81.229,10k
a_come_e,2.5k,1,1f,887853,65.5393,81.2287,10k
a_come_e,2.5k,1,47p,889652,65.283,81.2287,10k
a_come_e,2.5k,1,100p,891590,64.9907,81.2287,10k
a_come_e,2.5k,1,220p,895651,64.3176,81.2287,10k
a_come_e,2.5k,1,470p,901956,62.9035,81.2287,10k
a_come_e,2.5k,1,1n,904559,60.1241,81.2288,10k
a_come_e,2.5k,1,1.5n,895192,58.1237,81.2288,10k
a_come_e,2.5k,1,2.2n,872208,56.46,81.2288,10k
a_come_e,2.5k,1,2.7n,854205,55.8868,81.2289,10k
a_come_e,2.5k,1,3.3n,833859,55.6264,81.2289,10k
a_come_e,2.5k,1,4.7n,795872,55.9169,81.229,10k
a_come_e,2.571k,1,1f,887839,65.5199,81.2287,10k
a_come_e,2.571k,1,47p,889637,65.2635,81.2287,10k
a_come_e,2.571k,1,100p,891576,64.9712,81.2287,10k
a_come_e,2.571k,1,220p,895636,64.2981,81.2287,10k
a_come_e,2.571k,1,470p,901941,62.8839,81.2287,10k
a_come_e,2.571k,1,1n,904544,60.1044,81.2288,10k
a_come_e,2.571k,1,1.5n,895178,58.1043,81.2288,10k
a_come_e,2.571k,1,2.2n,872195,56.4411,81.2288,10k
a_come_e,2.571k,1,2.7n,854194,55.8682,81.2289,10k
a_come_e,2.571k,1,3.3n,833849,55.6082,81.2289,10k
a_come_e,2.571k,1,4.7n,795863,55.8995,81.229,10k
a_come_e,2.611k,1,1f,887831,65.509,81.2287,10k
a_come_e,2.611k,1,47p,889629,65.2526,81.2287,10k
a_come_e,2.611k,1,100p,891567,64.9603,81.2287,10k
a_come_e,2.611k,1,220p,895628,64.2871,81.2287,10k
a_come_e,2.611k,1,470p,901932,62.8728,81.2287,10k
a_come_e,2.611k,1,1n,904535,60.0934,81.2288,10k
a_come_e,2.611k,1,1.5n,895169,58.0934,81.2288,10k
a_come_e,2.611k,1,2.2n,872188,56.4304,81.2288,10k
a_come_e,2.611k,1,2.7n,854187,55.8577,81.2289,10k
a_come_e,2.611k,1,3.3n,833843,55.598,81.2289,10k
a_come_e,2.611k,1,4.7n,795858,55.8897,81.229,10k
b_min,1m,1,1f,888626,66.2603,81.4051,100k
b_min,1m,1,47p,890451,66.0028,81.4051,100k
b_min,1m,1,100p,892440,65.7084,81.4051,100k
b_min,1m,1,220p,896560,65.0314,81.4051,100k
b_min,1m,1,470p,902949,63.6069,81.4051,100k
b_min,1m,1,1n,905528,60.8017,81.4051,100k
b_min,1m,1,1.5n,895951,58.7805,81.4051,100k
b_min,1m,1,2.2n,872598,57.098,81.4051,100k
b_min,1m,1,2.7n,854382,56.5156,81.4051,100k
