cella,variante,f_hz,amp,gm,rl,grandezza,uscita,picco_V,t_picco_s,finestra_s,esito,nota
mai_1k_100k,rif,1000,3.818,10,100k,C_pav,MAINJACK,0.0002671,1.099344,,sotto,"pavimento di C a 1.000 s, cond 1"
mai_1k_100k,rif,1000,3.818,10,100k,C_pav,MAINJACK,0.0002671,8.535344,,sotto,"pavimento di C a 8.500 s, cond 1"
mai_1k_100k,rif,1000,3.818,10,100k,C_pav,FIXJACK1,1.663e-05,1.099156,,sotto,"pavimento di C a 1.000 s, cond 1"
mai_1k_100k,rif,1000,3.818,10,100k,C_pav,FIXJACK1,1.663e-05,8.527156,,sotto,"pavimento di C a 8.500 s, cond 1"
mai_1k_100k,rif,1000,3.818,10,100k,C_pav,FIXJACK2,1.663e-05,1.099156,,sotto,"pavimento di C a 1.000 s, cond 1"
mai_1k_100k,rif,1000,3.818,10,100k,C_pav,FIXJACK2,1.663e-05,8.527156,,sotto,"pavimento di C a 8.500 s, cond 1"
sempre_1k_100k,rif,1000,3.818,10,100k,B1,MAINJACK,5.77e-08,4.191167,,sotto,"riferimento sempre in mute, da 0,5 s"
sempre_1k_100k,rif,1000,3.818,10,100k,B1,FIXJACK1,1.832e-08,9.887667,,sotto,"riferimento sempre in mute, da 0,5 s"
sempre_1k_100k,rif,1000,3.818,10,100k,B1,FIXJACK2,1.832e-08,6.983667,,sotto,"riferimento sempre in mute, da 0,5 s"
ev_1k_100k,ldr_v4_td6,1000,3.818,10,100k,A_ins,MAINJACK,12.72,1.000021,2.000,SOPRA,riferimento sempre_1k_100k
ev_1k_100k,ldr_v4_td6,1000,3.818,10,100k,A_rel,MAINJACK,12.72,8.500021,2.000,SOPRA,riferimento mai_1k_100k
ev_1k_100k,ldr_v4_td6,1000,3.818,10,100k,B2,MAINJACK,3.273e-07,7.526365,,sotto,mute da t_ins+t_grad+20 ms a t_rel
ev_1k_100k,ldr_v4_td6,1000,3.818,10,100k,C1_ins,MAINJACK,0.002138,2.353937,,SOPRA,"diagnostica, cond 1"
ev_1k_100k,ldr_v4_td6,1000,3.818,10,100k,C1_rel,MAINJACK,0.001191,12.709354,,SOPRA,"diagnostica, cond 1"
ev_1k_100k,ldr_v4_td6,1000,3.818,10,100k,C2_ins,MAINJACK,0.002138,2.353937,,SOPRA,"riferimento sempre_1k_100k, cond 1"
ev_1k_100k,ldr_v4_td6,1000,3.818,10,100k,C2_rel,MAINJACK,0.001041,12.662677,,SOPRA,"riferimento mai_1k_100k, cond 1"
ev_1k_100k,ldr_v4_td6,1000,3.818,10,100k,S_ins,MAINJACK,7.163,6.040000,,sotto,dB in 100 ms sopra -70 dB; pieno 12.02 V da mai_1k_100k
ev_1k_100k,ldr_v4_td6,1000,3.818,10,100k,S_rel,MAINJACK,5.32,9.437000,,sotto,dB in 100 ms sopra -70 dB; pieno 12.02 V da mai_1k_100k
ev_1k_100k,ldr_v4_td6,1000,3.818,10,100k,A_ins,FIXJACK1,4.035,1.000021,2.000,SOPRA,riferimento sempre_1k_100k
ev_1k_100k,ldr_v4_td6,1000,3.818,10,100k,A_rel,FIXJACK1,4.035,8.500021,2.000,SOPRA,riferimento mai_1k_100k
ev_1k_100k,ldr_v4_td6,1000,3.818,10,100k,B2,FIXJACK1,1.068e-07,7.526365,,sotto,mute da t_ins+t_grad+20 ms a t_rel
ev_1k_100k,ldr_v4_td6,1000,3.818,10,100k,C1_ins,FIXJACK1,0.0006388,2.353927,,sotto,"diagnostica, cond 1"
ev_1k_100k,ldr_v4_td6,1000,3.818,10,100k,C1_rel,FIXJACK1,0.0003616,12.661354,,sotto,"diagnostica, cond 1"
ev_1k_100k,ldr_v4_td6,1000,3.818,10,100k,C2_ins,FIXJACK1,0.0006388,2.353927,,sotto,"riferimento sempre_1k_100k, cond 1"
ev_1k_100k,ldr_v4_td6,1000,3.818,10,100k,C2_rel,FIXJACK1,0.0003487,12.652344,,sotto,"riferimento mai_1k_100k, cond 1"
ev_1k_100k,ldr_v4_td6,1000,3.818,10,100k,S_ins,FIXJACK1,7.163,6.040000,,sotto,dB in 100 ms sopra -70 dB; pieno 3.815 V da mai_1k_100k
ev_1k_100k,ldr_v4_td6,1000,3.818,10,100k,S_rel,FIXJACK1,5.32,9.437000,,sotto,dB in 100 ms sopra -70 dB; pieno 3.815 V da mai_1k_100k
ev_1k_100k,ldr_v4_td6,1000,3.818,10,100k,A_ins,FIXJACK2,4.035,1.000021,2.000,SOPRA,riferimento sempre_1k_100k
ev_1k_100k,ldr_v4_td6,1000,3.818,10,100k,A_rel,FIXJACK2,4.035,8.500021,2.000,SOPRA,riferimento mai_1k_100k
ev_1k_100k,ldr_v4_td6,1000,3.818,10,100k,B2,FIXJACK2,1.068e-07,7.526365,,sotto,mute da t_ins+t_grad+20 ms a t_rel
ev_1k_100k,ldr_v4_td6,1000,3.818,10,100k,C1_ins,FIXJACK2,0.0006388,2.353927,,sotto,"diagnostica, cond 1"
ev_1k_100k,ldr_v4_td6,1000,3.818,10,100k,C1_rel,FIXJACK2,0.0003616,12.661354,,sotto,"diagnostica, cond 1"
ev_1k_100k,ldr_v4_td6,1000,3.818,10,100k,C2_ins,FIXJACK2,0.0006388,2.353927,,sotto,"riferimento sempre_1k_100k, cond 1"
ev_1k_100k,ldr_v4_td6,1000,3.818,10,100k,C2_rel,FIXJACK2,0.0003487,12.652344,,sotto,"riferimento mai_1k_100k, cond 1"
ev_1k_100k,ldr_v4_td6,1000,3.818,10,100k,S_ins,FIXJACK2,7.163,6.040000,,sotto,dB in 100 ms sopra -70 dB; pieno 3.815 V da mai_1k_100k
ev_1k_100k,ldr_v4_td6,1000,3.818,10,100k,S_rel,FIXJACK2,5.32,9.437000,,sotto,dB in 100 ms sopra -70 dB; pieno 3.815 V da mai_1k_100k
rele_1k_100k,rele_contro_norele,1000,3.818,10,100k,A_ins,MAINJACK,0.0001251,7.501458,1.000,SOPRA,riferimento norele_1k_100k
rele_1k_100k,rele_contro_norele,1000,3.818,10,100k,A_rel,MAINJACK,6.543e-05,8.500438,2.000,sotto,riferimento norele_1k_100k
