deck,tabella,gruppo,pm_min_prima,pm_min_dopo,delta,t10hz_prima_db,t10hz_dopo_db,cella_del_minimo_dopo,v1
tb_loop,tb_loop_margini.csv,0db/1,61.803,55.547,-6.256,72.3992,81.4173,"rsrc=2.611k,cprobe=3.3n,rload=100k",SOTTO 60
tb_loop,tb_loop_margini.csv,0db/2,44.429,28.5744,-15.854600000000001,72.3992,81.4173,"rsrc=2.611k,cprobe=4.7n,rload=100k",SOTTO 60
tb_loop,tb_loop_margini.csv,10db/1,102.98,100.19,-2.7900000000000063,61.8579,70.4452,"rsrc=2.611k,cprobe=4.7n,rload=100k",OK
tb_loop,tb_loop_margini.csv,10db/2,96.6306,93.1762,-3.454400000000007,61.8579,70.4451,"rsrc=2.611k,cprobe=4.7n,rload=100k",OK
tb_loop,tb_loop_margini.csv,3db/1,69.7732,63.9007,-5.872500000000002,69.0994,77.9231,"rsrc=2.611k,cprobe=3.3n,rload=100k",OK
tb_loop,tb_loop_margini.csv,3db/2,51.6836,35.2888,-16.394799999999996,69.0994,77.923,"rsrc=2.611k,cprobe=4.7n,rload=100k",SOTTO 60
tb_idss_loop,tb_idss_loop_margini.csv,a_come_e/1,62.5076,55.547,-6.9605999999999995,72.0472,81.4173,"rsrc=2.611k,cprobe=3.3n,rload=100k",SOTTO 60
tb_idss_loop,tb_idss_loop_margini.csv,b_max/1,62.8018,55.871,-6.930799999999998,72.0279,81.3936,"rsrc=2.611k,cprobe=3.3n,rload=100k",SOTTO 60
tb_idss_loop,tb_idss_loop_margini.csv,b_min/1,62.7076,55.764,-6.943599999999996,72.0373,81.4051,"rsrc=2.611k,cprobe=3.3n,rload=100k",SOTTO 60
tb_idss_loop,tb_idss_loop_margini.csv,b_tip/1,62.7629,55.8261,-6.936800000000005,72.0323,81.399,"rsrc=2.611k,cprobe=3.3n,rload=100k",SOTTO 60
tb_idss_loop,tb_idss_loop_margini.csv,xa/1,61.803,54.468,-7.334999999999994,72.3992,81.7745,"rsrc=2.611k,cprobe=3.3n,rload=100k",SOTTO 60
tb_loop_blockA,tb_loop_blockA.csv,1,40.912,20.6477,-20.2643,72.2854,81.2161,"rsrc=430,cwire=4.7n",SOTTO 60
tb_loop_blockA,tb_loop_blockA.csv,2,40.9734,20.8158,-20.1576,72.2312,81.1203,"rsrc=430,cwire=4.7n",SOTTO 60
tb_loop_blockA,tb_loop_blockA.csv (cwire<=1n),1/1m,63.4873,58.0692,-5.4180999999999955,72.2854,81.2162,cwire=1n,SOTTO 60
tb_loop_blockA,tb_loop_blockA.csv (cwire<=1n),1/430,63.3632,57.9319,-5.4313,72.2854,81.2162,cwire=1n,SOTTO 60
tb_loop_blockA,tb_loop_blockA.csv (cwire<=1n),2/1m,63.5076,58.1011,-5.406499999999994,72.2312,81.1203,cwire=1n,SOTTO 60
tb_loop_blockA,tb_loop_blockA.csv (cwire<=1n),2/430,63.3836,57.9639,-5.419699999999999,72.2312,81.1203,cwire=1n,SOTTO 60
tb_loop_blockA,tb_loop_blockA_trim.csv,1/0,41.9523,23.2692,-18.6831,71.2172,79.4132,"rsrc=430,cwire=4.7n",SOTTO 60
tb_loop_blockA,tb_loop_blockA_trim.csv,1/12,69.1495,64.7906,-4.3589000000000055,71.3247,79.5881,"rsrc=430,cwire=1n",OK
tb_loop_blockA,tb_loop_blockA_trim.csv,1/6,68.8928,64.4691,-4.423699999999997,71.3022,79.5514,"rsrc=430,cwire=470p",OK
tb_loop_blockA,tb_loop_blockA_trim.csv,2/0,41.621,22.4684,-19.152600000000003,71.5855,80.0182,"rsrc=430,cwire=4.7n",SOTTO 60
tb_loop_blockA,tb_loop_blockA_trim.csv,2/12,69.1766,64.8809,-4.2956999999999965,71.6976,80.2056,"rsrc=430,cwire=470p",OK
tb_loop_blockA,tb_loop_blockA_trim.csv,2/6,69.0188,64.6532,-4.365600000000001,71.6739,80.166,"rsrc=430,cwire=470p",OK
tb_loop_bufferfissa,tb_loop_bufferfissa.csv,1,61.6319,54.9194,-6.712499999999999,72.3894,81.3997,"rld=50k,cprobe=3.3n",SOTTO 60
tb_loop_bufferfissa,tb_loop_bufferfissa.csv,2,40.9683,20.6334,-20.334899999999998,72.3894,81.3996,"rld=50k,cprobe=4.7n",SOTTO 60
