cella,gruppo,variante,gm,f_hz,amp,rl,grandezza,uscita,picco,t_picco,soglia,esito,esiti
cinv25_1k,6,ldr_v4_td6_AD_inv25,10,1000,3.818,100k,S_ins,MAINJACK,0.05674,2.400000,20.0,regge,sotto
cinv25_1k,6,ldr_v4_td6_AD_inv25,10,1000,3.818,100k,S_rel,MAINJACK,0.05541,2.526000,20.0,regge,sotto
cinv25_1k,6,ldr_v4_td6_AD_inv25,10,1000,3.818,100k,B2,MAINJACK,0,2.520000,0.0001,regge,sotto
cinv75_1k,6,ldr_v4_td6_AD_inv75,10,1000,3.818,100k,S_ins,MAINJACK,0.396,5.417000,20.0,regge,sotto
cinv75_1k,6,ldr_v4_td6_AD_inv75,10,1000,3.818,100k,S_rel,MAINJACK,1.309,6.639000,20.0,regge,sotto
cinv75_1k,6,ldr_v4_td6_AD_inv75,10,1000,3.818,100k,B2,MAINJACK,0,5.520000,0.0001,regge,sotto
cev_1k,6,ldr_v4_td6_AD_ev,10,1000,3.818,100k,S_ins,MAINJACK,10.97,6.288000,20.0,regge,sotto
cev_1k,6,ldr_v4_td6_AD_ev,10,1000,3.818,100k,S_rel,MAINJACK,5.394,9.247000,20.0,regge,sotto
cev_1k,6,ldr_v4_td6_AD_ev,10,1000,3.818,100k,B2,MAINJACK,7.386e-07,7.526385,0.0001,regge,sotto
ch2_1k,6,ldr_v4_td6_AD_h2,10,1000,3.818,100k,S_ins,MAINJACK,10.97,6.288000,20.0,regge,sotto
ch2_1k,6,ldr_v4_td6_AD_h2,10,1000,3.818,100k,S_rel,MAINJACK,5.335,10.296000,20.0,regge,sotto
ch2_1k,6,ldr_v4_td6_AD_h2,10,1000,3.818,100k,B2,MAINJACK,7.386e-07,7.526385,0.0001,regge,sotto
cinv25_20,6,ldr_v4_td6_AD_inv25,10,20,3.818,100k,S_ins,FIXJACK1,0.0552,2.386000,20.0,regge,sotto
cinv25_20,6,ldr_v4_td6_AD_inv25,10,20,3.818,100k,S_rel,MAINJACK,0.05457,2.535000,20.0,regge,sotto
cinv25_20,6,ldr_v4_td6_AD_inv25,10,20,3.818,100k,B2,MAINJACK,0,2.520000,0.0001,regge,sotto
cinv75_20,6,ldr_v4_td6_AD_inv75,10,20,3.818,100k,S_ins,FIXJACK1,0.3955,5.599000,20.0,regge,sotto
cinv75_20,6,ldr_v4_td6_AD_inv75,10,20,3.818,100k,S_rel,MAINJACK,1.309,6.644000,20.0,regge,sotto
cinv75_20,6,ldr_v4_td6_AD_inv75,10,20,3.818,100k,B2,MAINJACK,0,5.520000,0.0001,regge,sotto
cev_20,6,ldr_v4_td6_AD_ev,10,20,3.818,100k,S_ins,MAINJACK,10.94,6.272000,20.0,regge,sotto
cev_20,6,ldr_v4_td6_AD_ev,10,20,3.818,100k,S_rel,MAINJACK,4.695,9.295000,20.0,regge,sotto
cev_20,6,ldr_v4_td6_AD_ev,10,20,3.818,100k,B2,MAINJACK,1.85e-05,7.526365,0.0001,regge,sotto
ch2_20,6,ldr_v4_td6_AD_h2,10,20,3.818,100k,S_ins,MAINJACK,10.94,6.272000,20.0,regge,sotto
ch2_20,6,ldr_v4_td6_AD_h2,10,20,3.818,100k,S_rel,FIXJACK1,9.316,10.962000,20.0,regge,sotto
ch2_20,6,ldr_v4_td6_AD_h2,10,20,3.818,100k,B2,MAINJACK,1.85e-05,7.526365,0.0001,regge,sotto
cinv25_lz,6,ldr_v4_td6_AD_inv25,10,1000,0,100k,A_ins,MAINJACK,1.797e-09,1.630781,0.0001,NON REGGE,"sotto, finestra corta: non accetta"
cinv25_lz,6,ldr_v4_td6_AD_inv25,10,1000,0,100k,A_rel,MAINJACK,4.262e-07,2.500031,0.0001,regge,sotto
cinv25_lz,6,ldr_v4_td6_AD_inv25,10,1000,0,100k,B2,MAINJACK,0,2.520000,0.0001,regge,sotto
cinv75_lz,6,ldr_v4_td6_AD_inv75,10,1000,0,100k,A_ins,MAINJACK,9.114e-09,2.897875,0.0001,regge,sotto
cinv75_lz,6,ldr_v4_td6_AD_inv75,10,1000,0,100k,A_rel,MAINJACK,1.872e-06,5.500021,0.0001,regge,sotto
cinv75_lz,6,ldr_v4_td6_AD_inv75,10,1000,0,100k,B2,MAINJACK,0,5.520000,0.0001,regge,sotto
cev_lz,6,ldr_v4_td6_AD_ev,10,1000,0,100k,A_ins,MAINJACK,9.114e-09,2.897875,0.0001,regge,sotto
cev_lz,6,ldr_v4_td6_AD_ev,10,1000,0,100k,A_rel,MAINJACK,3.183e-08,9.672833,0.0001,regge,sotto
cev_lz,6,ldr_v4_td6_AD_ev,10,1000,0,100k,B2,MAINJACK,2.721e-08,7.520000,0.0001,regge,sotto
ch2_lz,6,ldr_v4_td6_AD_h2,10,1000,0,100k,A_ins,MAINJACK,9.114e-09,2.897875,0.0001,regge,sotto
ch2_lz,6,ldr_v4_td6_AD_h2,10,1000,0,100k,A_rel,MAINJACK,3.189e-08,10.672958,0.0001,regge,sotto
ch2_lz,6,ldr_v4_td6_AD_h2,10,1000,0,100k,B2,MAINJACK,2.721e-08,7.520000,0.0001,regge,sotto
