cella,variante,f_hz,amp,gm,rl,grandezza,uscita,picco_V,t_picco_s,finestra_s,esito,nota
cinv25_1k,ldr_v4_td6_DA_inv25,1000,3.818,10,100k,A_ins,MAINJACK,12.72,1.000021,1.500,SOPRA,riferimento csempre_1k
cinv25_1k,ldr_v4_td6_DA_inv25,1000,3.818,10,100k,A_rel,MAINJACK,2.484,3.226000,2.000,SOPRA,riferimento cmai_1k
cinv25_1k,ldr_v4_td6_DA_inv25,1000,3.818,10,100k,B2,MAINJACK,0,2.520000,,sotto,mute da t_ins+t_grad+20 ms a t_rel
cinv25_1k,ldr_v4_td6_DA_inv25,1000,3.818,10,100k,C1_ins,MAINJACK,0.004701,1.942948,,SOPRA,"diagnostica, cond 1"
cinv25_1k,ldr_v4_td6_DA_inv25,1000,3.818,10,100k,C1_rel,MAINJACK,0.004407,3.402563,,SOPRA,"diagnostica, cond 1"
cinv25_1k,ldr_v4_td6_DA_inv25,1000,3.818,10,100k,C2_ins,MAINJACK,0.004701,1.942948,,SOPRA,"riferimento csempre_1k, cond 1"
cinv25_1k,ldr_v4_td6_DA_inv25,1000,3.818,10,100k,C2_rel,MAINJACK,0.004291,3.402563,,SOPRA,"riferimento cmai_1k, cond 1"
cinv25_1k,ldr_v4_td6_DA_inv25,1000,3.818,10,100k,S_ins,MAINJACK,0.2769,1.842000,,sotto,dB in 100 ms sopra -70 dB; pieno 12.02 V da cmai_1k
cinv25_1k,ldr_v4_td6_DA_inv25,1000,3.818,10,100k,S_rel,MAINJACK,0.8578,3.390000,,sotto,dB in 100 ms sopra -70 dB; pieno 12.02 V da cmai_1k
cinv25_1k,ldr_v4_td6_DA_inv25,1000,3.818,10,100k,A_ins,FIXJACK1,4.035,1.000021,1.500,SOPRA,riferimento csempre_1k
cinv25_1k,ldr_v4_td6_DA_inv25,1000,3.818,10,100k,A_rel,FIXJACK1,0.7886,3.226000,2.000,SOPRA,riferimento cmai_1k
cinv25_1k,ldr_v4_td6_DA_inv25,1000,3.818,10,100k,B2,FIXJACK1,0,2.520000,,sotto,mute da t_ins+t_grad+20 ms a t_rel
