cella,file,variante,f_hz,amp,gm,rl,t_ins,t_rel,t_fine,tmax,tipo,rif_ins,rif_rel,t_grad,gruppo,conta
cmai_1k,cmai_1k.dat,rif,1000,3.818,10,100k,1.0,8.5,18.5,1e-05,rif_mai,-,-,0.0,6,
csempre_1k,csempre_1k.dat,rif,1000,3.818,10,100k,1.0,8.5,18.5,1e-05,rif_sempre,-,-,0.0,6,
cinv25_1k,cinv25_1k.dat,ldr_v4_td6_DD_inv25,1000,3.818,10,100k,1.0,2.5,7.0,1e-05,evento,csempre_1k,cmai_1k,1.5,6,S_ins;S_rel;B2
cinv75_1k,cinv75_1k.dat,ldr_v4_td6_DD_inv75,1000,3.818,10,100k,1.0,5.5,13.0,1e-05,evento,csempre_1k,cmai_1k,4.5,6,S_ins;S_rel;B2
cev_1k,cev_1k.dat,ldr_v4_td6_DD_ev,1000,3.818,10,100k,1.0,8.5,17.5,1e-05,evento,csempre_1k,cmai_1k,6.5,6,S_ins;S_rel;B2
ch2_1k,ch2_1k.dat,ldr_v4_td6_DD_h2,1000,3.818,10,100k,1.0,9.5,18.5,1e-05,evento,csempre_1k,cmai_1k,6.5,6,S_ins;S_rel;B2
cmai_20,cmai_20.dat,rif,20,3.818,10,100k,1.0,8.5,18.5,1e-05,rif_mai,-,-,0.0,6,
csempre_20,csempre_20.dat,rif,20,3.818,10,100k,1.0,8.5,18.5,1e-05,rif_sempre,-,-,0.0,6,
cinv25_20,cinv25_20.dat,ldr_v4_td6_DD_inv25,20,3.818,10,100k,1.0,2.5,7.0,1e-05,evento,csempre_20,cmai_20,1.5,6,S_ins;S_rel;B2
cinv75_20,cinv75_20.dat,ldr_v4_td6_DD_inv75,20,3.818,10,100k,1.0,5.5,13.0,1e-05,evento,csempre_20,cmai_20,4.5,6,S_ins;S_rel;B2
cev_20,cev_20.dat,ldr_v4_td6_DD_ev,20,3.818,10,100k,1.0,8.5,17.5,1e-05,evento,csempre_20,cmai_20,6.5,6,S_ins;S_rel;B2
ch2_20,ch2_20.dat,ldr_v4_td6_DD_h2,20,3.818,10,100k,1.0,9.5,18.5,1e-05,evento,csempre_20,cmai_20,6.5,6,S_ins;S_rel;B2
cmai_lz,cmai_lz.dat,rif,1000,0,10,100k,1.0,8.5,18.5,1e-05,rif_mai,-,-,0.0,6,
csempre_lz,csempre_lz.dat,rif,1000,0,10,100k,1.0,8.5,18.5,1e-05,rif_sempre,-,-,0.0,6,
cinv25_lz,cinv25_lz.dat,ldr_v4_td6_DD_inv25,1000,0,10,100k,1.0,2.5,7.0,1e-05,evento,csempre_lz,cmai_lz,1.5,6,A_ins;A_rel;B2
cinv75_lz,cinv75_lz.dat,ldr_v4_td6_DD_inv75,1000,0,10,100k,1.0,5.5,13.0,1e-05,evento,csempre_lz,cmai_lz,4.5,6,A_ins;A_rel;B2
cev_lz,cev_lz.dat,ldr_v4_td6_DD_ev,1000,0,10,100k,1.0,8.5,17.5,1e-05,evento,csempre_lz,cmai_lz,6.5,6,A_ins;A_rel;B2
ch2_lz,ch2_lz.dat,ldr_v4_td6_DD_h2,1000,0,10,100k,1.0,9.5,18.5,1e-05,evento,csempre_lz,cmai_lz,6.5,6,A_ins;A_rel;B2
