cella,file,variante,f_hz,amp,gm,rl,t_ins,t_rel,t_fine,tmax,tipo,rif_ins,rif_rel,t_grad,gruppo,conta
rmai_g10t0_dnamax,rmai_g10t0_dnamax.dat,rif_dnamax,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_mai,-,-,0.0,3,
rsempre_g10t0_dnamax,rsempre_g10t0_dnamax.dat,rif_dnamax,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_sempre,-,-,0.0,3,
rmai_g0t0_dnamax,rmai_g0t0_dnamax.dat,rif_dnamax,1000,0,0,100k,1.0,8.5,19.0,1e-05,rif_mai,-,-,0.0,3,
rsempre_g0t0_dnamax,rsempre_g0t0_dnamax.dat,rif_dnamax,1000,0,0,100k,1.0,8.5,19.0,1e-05,rif_sempre,-,-,0.0,3,
rmai_g10t12_dnamax,rmai_g10t12_dnamax.dat,rif_dnamax,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_mai,-,-,0.0,3,
rsempre_g10t12_dnamax,rsempre_g10t12_dnamax.dat,rif_dnamax,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_sempre,-,-,0.0,3,
x01000_dnamax_i,x01000_dnamax.dat,ldr_v4_td6_BB_dnamax,1000,0,g0a10_t0a0,100k,1.0,8.0,19.0,1e-05,evento,rsempre_g0t0_dnamax,rmai_g0t0_dnamax,6.5,3,A_ins;B2
x01000_dnamax_c,x01000_dnamax.dat,ldr_v4_td6_BB_dnamax,1000,0,g0a10_t0a0,100k,8.0,10.0,19.0,1e-05,evento,rsempre_g10t0_dnamax,rmai_g10t0_dnamax,0.0,3,A_ins;A_rel;B2
x10000_dnamax_i,x10000_dnamax.dat,ldr_v4_td6_BB_dnamax,1000,0,g10a0_t0a0,100k,1.0,8.0,19.0,1e-05,evento,rsempre_g10t0_dnamax,rmai_g10t0_dnamax,6.5,3,A_ins;B2
x10000_dnamax_c,x10000_dnamax.dat,ldr_v4_td6_BB_dnamax,1000,0,g10a0_t0a0,100k,8.0,10.0,19.0,1e-05,evento,rsempre_g0t0_dnamax,rmai_g0t0_dnamax,0.0,3,A_ins;A_rel;B2
x1010012_dnamax_i,x1010012_dnamax.dat,ldr_v4_td6_BB_dnamax,1000,0,g10a10_t0a12,100k,1.0,8.0,19.0,1e-05,evento,rsempre_g10t0_dnamax,rmai_g10t0_dnamax,6.5,3,A_ins;B2
x1010012_dnamax_c,x1010012_dnamax.dat,ldr_v4_td6_BB_dnamax,1000,0,g10a10_t0a12,100k,8.0,10.0,19.0,1e-05,evento,rsempre_g10t12_dnamax,rmai_g10t12_dnamax,0.0,3,A_ins;A_rel;B2
x1010120_dnamax_i,x1010120_dnamax.dat,ldr_v4_td6_BB_dnamax,1000,0,g10a10_t12a0,100k,1.0,8.0,19.0,1e-05,evento,rsempre_g10t12_dnamax,rmai_g10t12_dnamax,6.5,3,A_ins;B2
x1010120_dnamax_c,x1010120_dnamax.dat,ldr_v4_td6_BB_dnamax,1000,0,g10a10_t12a0,100k,8.0,10.0,19.0,1e-05,evento,rsempre_g10t0_dnamax,rmai_g10t0_dnamax,0.0,3,A_ins;A_rel;B2
xm_dnamax,xm_dnamax.dat,ldr_v4_td6_BB_dnamax,1000,0,10,100k,1.0,8.5,17.5,1e-05,evento,rsempre_g10t0_dnamax,rmai_g10t0_dnamax,6.5,3,A_ins;A_rel;B2
rmai_g10t0_dnam20,rmai_g10t0_dnam20.dat,rif_dnam20,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_mai,-,-,0.0,3,
rsempre_g10t0_dnam20,rsempre_g10t0_dnam20.dat,rif_dnam20,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_sempre,-,-,0.0,3,
rmai_g0t0_dnam20,rmai_g0t0_dnam20.dat,rif_dnam20,1000,0,0,100k,1.0,8.5,19.0,1e-05,rif_mai,-,-,0.0,3,
rsempre_g0t0_dnam20,rsempre_g0t0_dnam20.dat,rif_dnam20,1000,0,0,100k,1.0,8.5,19.0,1e-05,rif_sempre,-,-,0.0,3,
rmai_g10t12_dnam20,rmai_g10t12_dnam20.dat,rif_dnam20,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_mai,-,-,0.0,3,
rsempre_g10t12_dnam20,rsempre_g10t12_dnam20.dat,rif_dnam20,1000,0,10,100k,1.0,8.5,19.0,1e-05,rif_sempre,-,-,0.0,3,
x01000_dnam20_i,x01000_dnam20.dat,ldr_v4_td6_BB_dnam20,1000,0,g0a10_t0a0,100k,1.0,8.0,19.0,1e-05,evento,rsempre_g0t0_dnam20,rmai_g0t0_dnam20,6.5,3,A_ins;B2
x01000_dnam20_c,x01000_dnam20.dat,ldr_v4_td6_BB_dnam20,1000,0,g0a10_t0a0,100k,8.0,10.0,19.0,1e-05,evento,rsempre_g10t0_dnam20,rmai_g10t0_dnam20,0.0,3,A_ins;A_rel;B2
x10000_dnam20_i,x10000_dnam20.dat,ldr_v4_td6_BB_dnam20,1000,0,g10a0_t0a0,100k,1.0,8.0,19.0,1e-05,evento,rsempre_g10t0_dnam20,rmai_g10t0_dnam20,6.5,3,A_ins;B2
