cella,gruppo,variante,gm,f_hz,amp,rl,grandezza,uscita,picco,t_picco,soglia,esito,esiti
gm0x3_1k_i,1,ldr_v4_td6_BB,0a3,1000,3.818,100k,S_ins,MAINJACK,7.163,6.040000,20.0,regge,sotto
gm0x3_1k_i,1,ldr_v4_td6_BB,0a3,1000,3.818,100k,B2,FIXJACK1,1.059e-07,7.526365,0.0001,regge,sotto
gm0x3_1k_c,1,ldr_v4_td6_BB,0a3,1000,3.818,100k,S_rel,MAINJACK,0,,20.0,regge,sotto
gm0x3_1k_c,1,ldr_v4_td6_BB,0a3,1000,3.818,100k,B2,MAINJACK,1.346e-07,8.027344,0.0001,regge,sotto
gm3x0_1k_i,1,ldr_v4_td6_BB,3a0,1000,3.818,100k,S_ins,MAINJACK,7.163,6.040000,20.0,regge,sotto
gm3x0_1k_i,1,ldr_v4_td6_BB,3a0,1000,3.818,100k,B2,MAINJACK,1.469e-07,7.526365,0.0001,regge,sotto
gm3x0_1k_c,1,ldr_v4_td6_BB,3a0,1000,3.818,100k,S_rel,MAINJACK,0,,20.0,regge,sotto
gm3x0_1k_c,1,ldr_v4_td6_BB,3a0,1000,3.818,100k,B2,MAINJACK,1.151e-07,8.026844,0.0001,regge,sotto
gm3x10_1k_i,1,ldr_v4_td6_BB,3a10,1000,3.818,100k,S_ins,MAINJACK,7.163,6.040000,20.0,regge,sotto
gm3x10_1k_i,1,ldr_v4_td6_BB,3a10,1000,3.818,100k,B2,MAINJACK,1.469e-07,7.526365,0.0001,regge,sotto
gm3x10_1k_c,1,ldr_v4_td6_BB,3a10,1000,3.818,100k,S_rel,MAINJACK,0,,20.0,regge,sotto
gm3x10_1k_c,1,ldr_v4_td6_BB,3a10,1000,3.818,100k,B2,MAINJACK,4.328e-07,8.027344,0.0001,regge,sotto
gm10x3_1k_i,1,ldr_v4_td6_BB,10a3,1000,3.818,100k,S_ins,MAINJACK,7.163,6.040000,20.0,regge,sotto
gm10x3_1k_i,1,ldr_v4_td6_BB,10a3,1000,3.818,100k,B2,MAINJACK,3.292e-07,7.526365,0.0001,regge,sotto
gm10x3_1k_c,1,ldr_v4_td6_BB,10a3,1000,3.818,100k,S_rel,MAINJACK,0,,20.0,regge,sotto
gm10x3_1k_c,1,ldr_v4_td6_BB,10a3,1000,3.818,100k,B2,MAINJACK,3.595e-07,8.026844,0.0001,regge,sotto
gm0x10_1k_i,1,ldr_v4_td6_BB,0a10,1000,3.818,100k,S_ins,MAINJACK,7.163,6.040000,20.0,regge,sotto
gm0x10_1k_i,1,ldr_v4_td6_BB,0a10,1000,3.818,100k,B2,FIXJACK1,1.059e-07,7.526365,0.0001,regge,sotto
gm0x10_1k_c,1,ldr_v4_td6_BB,0a10,1000,3.818,100k,S_rel,MAINJACK,0,,20.0,regge,sotto
gm0x10_1k_c,1,ldr_v4_td6_BB,0a10,1000,3.818,100k,B2,MAINJACK,5.082e-07,8.027344,0.0001,regge,sotto
gm10x0_1k_i,1,ldr_v4_td6_BB,10a0,1000,3.818,100k,S_ins,MAINJACK,7.163,6.040000,20.0,regge,sotto
gm10x0_1k_i,1,ldr_v4_td6_BB,10a0,1000,3.818,100k,B2,MAINJACK,3.292e-07,7.526365,0.0001,regge,sotto
gm10x0_1k_c,1,ldr_v4_td6_BB,10a0,1000,3.818,100k,S_rel,MAINJACK,0,,20.0,regge,sotto
gm10x0_1k_c,1,ldr_v4_td6_BB,10a0,1000,3.818,100k,B2,MAINJACK,4.125e-07,8.026844,0.0001,regge,sotto
gm0x3_20_i,1,ldr_v4_td6_BB,0a3,20,3.818,100k,S_ins,MAINJACK,7.158,6.030000,20.0,regge,sotto
gm0x3_20_i,1,ldr_v4_td6_BB,0a3,20,3.818,100k,B2,MAINJACK,2.698e-06,7.526354,0.0001,regge,sotto
gm0x3_20_c,1,ldr_v4_td6_BB,0a3,20,3.818,100k,S_rel,MAINJACK,0,,20.0,regge,sotto
gm0x3_20_c,1,ldr_v4_td6_BB,0a3,20,3.818,100k,B2,MAINJACK,7.066e-08,8.027021,0.0001,regge,sotto
gm3x0_20_i,1,ldr_v4_td6_BB,3a0,20,3.818,100k,S_ins,MAINJACK,7.158,6.030000,20.0,regge,sotto
gm3x0_20_i,1,ldr_v4_td6_BB,3a0,20,3.818,100k,B2,MAINJACK,3.831e-06,7.526354,0.0001,regge,sotto
gm3x0_20_c,1,ldr_v4_td6_BB,3a0,20,3.818,100k,S_rel,MAINJACK,0,,20.0,regge,sotto
