cella,grandezza,uscita,prima,dopo,diff,rel
ev_1k_100k,A_ins,FIXJACK1,4.035,4.035,0,0
ev_1k_100k,A_ins,FIXJACK2,4.035,4.035,0,0
ev_1k_100k,A_ins,MAINJACK,12.72,12.72,0,0
ev_1k_100k,A_rel,FIXJACK1,4.035,4.035,0,0
ev_1k_100k,A_rel,FIXJACK2,4.035,4.035,0,0
ev_1k_100k,A_rel,MAINJACK,12.72,12.72,0,0
ev_1k_100k,B2,FIXJACK1,1.072e-07,1.072e-07,0,0
ev_1k_100k,B2,FIXJACK2,1.072e-07,1.072e-07,0,0
ev_1k_100k,B2,MAINJACK,3.297e-07,3.297e-07,0,0
ev_1k_100k,C1_ins,FIXJACK1,0.0006541,0.0006541,0,0
ev_1k_100k,C1_ins,FIXJACK2,0.0006541,0.0006541,0,0
ev_1k_100k,C1_ins,MAINJACK,0.00222,0.00222,0,0
ev_1k_100k,C1_rel,FIXJACK1,0.0003682,0.0003682,0,0
ev_1k_100k,C1_rel,FIXJACK2,0.0003682,0.0003682,0,0
ev_1k_100k,C1_rel,MAINJACK,0.001217,0.001217,0,0
ev_1k_100k,C2_ins,FIXJACK1,0.0006541,0.0006541,0,0
ev_1k_100k,C2_ins,FIXJACK2,0.0006541,0.0006541,0,0
ev_1k_100k,C2_ins,MAINJACK,0.00222,0.00222,0,0
ev_1k_100k,C2_rel,FIXJACK1,0.0003392,0.0003392,0,0
ev_1k_100k,C2_rel,FIXJACK2,0.0003392,0.0003392,0,0
ev_1k_100k,C2_rel,MAINJACK,0.0009784,0.0009784,0,0
ev_1k_100k,S_ins,FIXJACK1,7.163,7.163,0,0
ev_1k_100k,S_ins,FIXJACK2,7.163,7.163,0,0
ev_1k_100k,S_ins,MAINJACK,7.163,7.163,0,0
ev_1k_100k,S_rel,FIXJACK1,5.32,5.32,0,0
ev_1k_100k,S_rel,FIXJACK2,5.32,5.32,0,0
ev_1k_100k,S_rel,MAINJACK,5.32,5.32,0,0
inv_1k_100k,A_ins,FIXJACK1,4.035,4.035,0,0
inv_1k_100k,A_ins,FIXJACK2,4.035,4.035,0,0
inv_1k_100k,A_ins,MAINJACK,12.72,12.72,0,0
inv_1k_100k,A_rel,FIXJACK1,3.405,3.405,0,0
inv_1k_100k,A_rel,FIXJACK2,3.405,3.405,0,0
inv_1k_100k,A_rel,MAINJACK,10.73,10.73,0,0
inv_1k_100k,B2,FIXJACK1,0,0,0,0
inv_1k_100k,B2,FIXJACK2,0,0,0,0
inv_1k_100k,B2,MAINJACK,0,0,0,0
inv_1k_100k,C1_ins,FIXJACK1,0.001359,0.001359,0,0
inv_1k_100k,C1_ins,FIXJACK2,0.001359,0.001359,0,0
inv_1k_100k,C1_ins,MAINJACK,0.004287,0.004287,0,0
inv_1k_100k,C1_rel,FIXJACK1,0.001359,0.001359,0,0
inv_1k_100k,C1_rel,FIXJACK2,0.001359,0.001359,0,0
inv_1k_100k,C1_rel,MAINJACK,0.004287,0.004287,0,0
inv_1k_100k,C2_ins,FIXJACK1,0.001359,0.001359,0,0
inv_1k_100k,C2_ins,FIXJACK2,0.001359,0.001359,0,0
inv_1k_100k,C2_ins,MAINJACK,0.004287,0.004287,0,0
inv_1k_100k,C2_rel,FIXJACK1,0.001346,0.001346,0,0
inv_1k_100k,C2_rel,FIXJACK2,0.001346,0.001346,0,0
inv_1k_100k,C2_rel,MAINJACK,0.004125,0.004125,0,0
inv_1k_100k,S_ins,FIXJACK1,3.035,3.035,0,0
inv_1k_100k,S_ins,FIXJACK2,3.035,3.035,0,0
inv_1k_100k,S_ins,MAINJACK,3.035,3.035,0,0
inv_1k_100k,S_rel,FIXJACK1,2.181,2.181,0,0
inv_1k_100k,S_rel,FIXJACK2,2.181,2.181,0,0
inv_1k_100k,S_rel,MAINJACK,2.181,2.181,0,0
lzev_100k,A_ins,FIXJACK1,4.149e-09,4.149e-09,0,0
lzev_100k,A_ins,FIXJACK2,4.145e-09,4.145e-09,0,0
lzev_100k,A_ins,MAINJACK,1.306e-08,1.306e-08,0,0
lzev_100k,A_rel,FIXJACK1,1.011e-08,1.011e-08,0,0
lzev_100k,A_rel,FIXJACK2,1.011e-08,1.011e-08,0,0
lzev_100k,A_rel,MAINJACK,3.189e-08,3.189e-08,0,0
lzev_100k,B2,FIXJACK1,7.578e-09,7.578e-09,0,0
lzev_100k,B2,FIXJACK2,7.578e-09,7.578e-09,0,0
lzev_100k,B2,MAINJACK,9.828e-09,9.828e-09,0,0
lzinv_100k,A_ins,FIXJACK1,4.149e-09,4.149e-09,0,0
lzinv_100k,A_ins,FIXJACK2,4.145e-09,4.145e-09,0,0
lzinv_100k,A_ins,MAINJACK,1.306e-08,1.306e-08,0,0
lzinv_100k,A_rel,FIXJACK1,1.173e-06,1.173e-06,0,0
lzinv_100k,A_rel,FIXJACK2,1.173e-06,1.173e-06,0,0
lzinv_100k,A_rel,MAINJACK,3.748e-06,3.748e-06,0,0
lzinv_100k,B2,FIXJACK1,0,0,0,0
lzinv_100k,B2,FIXJACK2,0,0,0,0
lzinv_100k,B2,MAINJACK,0,0,0,0
lzsempre_100k,B1,FIXJACK1,2.319e-14,2.319e-14,0,0
lzsempre_100k,B1,FIXJACK2,2.293e-14,2.293e-14,0,0
lzsempre_100k,B1,MAINJACK,7.637e-14,7.637e-14,0,0
mai_1k_100k,C_pav,FIXJACK1,3.698e-05,3.698e-05,0,0
mai_1k_100k,C_pav,FIXJACK2,3.698e-05,3.698e-05,0,0
mai_1k_100k,C_pav,MAINJACK,0.0003414,0.0003414,0,0
pav_ev0_1k_100k,A_pav,FIXJACK1,1.806e-05,1.806e-05,0,0
pav_ev0_1k_100k,A_pav,FIXJACK2,1.806e-05,1.806e-05,0,0
pav_ev0_1k_100k,A_pav,MAINJACK,7.065e-05,7.065e-05,0,0
pav_ev0_1k_100k,C2_pav,FIXJACK1,1.844e-06,1.844e-06,0,0
pav_ev0_1k_100k,C2_pav,FIXJACK2,1.844e-06,1.844e-06,0,0
pav_ev0_1k_100k,C2_pav,MAINJACK,1.47e-05,1.47e-05,0,0
pav_ev1_1k_100k,A_pav,FIXJACK1,7.128e-07,7.128e-07,0,0
pav_ev1_1k_100k,A_pav,FIXJACK2,7.128e-07,7.128e-07,0,0
pav_ev1_1k_100k,A_pav,MAINJACK,2.454e-06,2.454e-06,0,0
pav_ev1_1k_100k,C2_pav,FIXJACK1,2.367e-07,2.367e-07,0,0
pav_ev1_1k_100k,C2_pav,FIXJACK2,2.367e-07,2.367e-07,0,0
pav_ev1_1k_100k,C2_pav,MAINJACK,8.369e-07,8.369e-07,0,0
pav_ev2_1k_100k,A_pav,FIXJACK1,2.62e-06,2.62e-06,0,0
pav_ev2_1k_100k,A_pav,FIXJACK2,2.62e-06,2.62e-06,0,0
pav_ev2_1k_100k,A_pav,MAINJACK,8.241e-06,8.241e-06,0,0
pav_ev2_1k_100k,C2_pav,FIXJACK1,7.095e-07,7.095e-07,0,0
pav_ev2_1k_100k,C2_pav,FIXJACK2,7.095e-07,7.095e-07,0,0
pav_ev2_1k_100k,C2_pav,MAINJACK,2.443e-06,2.443e-06,0,0
pav_inv_1k_100k,A_pav,FIXJACK1,9.333e-06,9.333e-06,0,0
pav_inv_1k_100k,A_pav,FIXJACK2,9.333e-06,9.333e-06,0,0
pav_inv_1k_100k,A_pav,MAINJACK,2.791e-05,2.791e-05,0,0
pav_inv_1k_100k,C2_pav,FIXJACK1,2.461e-06,2.461e-06,0,0
pav_inv_1k_100k,C2_pav,FIXJACK2,2.461e-06,2.461e-06,0,0
pav_inv_1k_100k,C2_pav,MAINJACK,5.442e-06,5.442e-06,0,0
rele_1k_100k,A_ins,FIXJACK1,3.973e-05,3.973e-05,0,0
rele_1k_100k,A_ins,FIXJACK2,3.973e-05,3.973e-05,0,0
rele_1k_100k,A_ins,MAINJACK,0.0001251,0.0001251,0,0
rele_1k_100k,A_rel,FIXJACK1,2.076e-05,2.076e-05,0,0
rele_1k_100k,A_rel,FIXJACK2,2.076e-05,2.076e-05,0,0
rele_1k_100k,A_rel,MAINJACK,6.545e-05,6.545e-05,0,0
rele_1k_100k,B2,FIXJACK1,1.072e-07,1.072e-07,0,0
rele_1k_100k,B2,FIXJACK2,1.072e-07,1.072e-07,0,0
rele_1k_100k,B2,MAINJACK,3.297e-07,3.297e-07,0,0
rele_1k_100k,C1_ins,FIXJACK1,2.118e-05,2.118e-05,0,0
