col0,col1,col2,col3
20.0,8.92306654e-09,20.0,8.93270316e-09
20.4658598,8.90890558e-09,20.4658598,8.91840536e-09
20.942571,8.89508053e-09,20.942571,8.90444968e-09
21.4303861,8.88158324e-09,21.4303861,8.89082766e-09
21.9295639,8.86840573e-09,21.9295639,8.87753105e-09
22.4403691,8.85554023e-09,22.4403691,8.86455182e-09
22.9630724,8.84297918e-09,22.9630724,8.85188214e-09
23.4979511,8.83071519e-09,23.4979511,8.8395144e-09
24.0452887,8.81874105e-09,24.0452887,8.82744115e-09
24.6053754,8.80704976e-09,24.6053754,8.81565517e-09
25.1785082,8.79563445e-09,25.1785082,8.80414941e-09
25.764991,8.78448846e-09,25.764991,8.79291698e-09
26.3651348,8.77360528e-09,26.3651348,8.78195121e-09
26.9792577,8.76297856e-09,26.9792577,8.77124556e-09
27.6076853,8.75260211e-09,27.6076853,8.76079367e-09
28.2507509,8.74246991e-09,28.2507509,8.75058935e-09
28.9087954,8.73257606e-09,28.9087954,8.74062657e-09
29.5821678,8.72291482e-09,29.5821678,8.73089944e-09
30.271225,8.71348061e-09,30.271225,8.72140222e-09
30.9763324,8.70426796e-09,30.9763324,8.71212932e-09
31.6978638,8.69527156e-09,31.6978638,8.7030753e-09
32.4362019,8.68648621e-09,32.4362019,8.69423485e-09
33.1917381,8.67790685e-09,33.1917381,8.68560279e-09
33.964873,8.66952855e-09,33.964873,8.67717408e-09
34.7560166,8.66134649e-09,34.7560166,8.66894379e-09
35.5655882,8.65335598e-09,35.5655882,8.66090714e-09
36.3940172,8.64555244e-09,36.3940172,8.65305945e-09
37.2417427,8.6379314e-09,37.2417427,8.64539617e-09
38.1092144,8.63048851e-09,38.1092144,8.63791285e-09
38.996892,8.62321951e-09,38.996892,8.63060516e-09
39.9052463,8.61612027e-09,39.9052463,8.62346887e-09
40.8347589,8.60918673e-09,40.8347589,8.61649988e-09
41.7859226,8.60241496e-09,41.7859226,8.60969417e-09
42.7592418,8.5958011e-09,42.7592418,8.60304782e-09
43.7552325,8.58934142e-09,43.7552325,8.59655701e-09
44.7744228,8.58303223e-09,44.7744228,8.59021802e-09
45.8173531,8.57686998e-09,45.8173531,8.58402723e-09
46.8845763,8.57085118e-09,46.8845763,8.57798109e-09
47.9766584,8.56497243e-09,47.9766584,8.57207615e-09
49.0941783,8.5592304e-09,49.0941783,8.56630904e-09
50.2377286,8.55362188e-09,50.2377286,8.56067648e-09
51.4079157,8.5481437e-09,51.4079157,8.55517526e-09
52.6053598,8.54279277e-09,52.6053598,8.54980226e-09
53.8306961,8.5375661e-09,53.8306961,8.54455443e-09
55.0845741,8.53246075e-09,55.0845741,8.5394288e-09
56.3676586,8.52747386e-09,56.3676586,8.53442247e-09
