col0,col1,col2,col3
20.0,9.3129009e-09,20.0,9.32703999e-09
20.4658598,9.29934421e-09,20.4658598,9.3133358e-09
20.942571,9.28611063e-09,20.942571,9.29996127e-09
21.4303861,9.27319223e-09,21.4303861,9.28690817e-09
21.9295639,9.26058129e-09,21.9295639,9.27416848e-09
22.4403691,9.24827028e-09,22.4403691,9.26173441e-09
22.9630724,9.23625187e-09,22.9630724,9.24959835e-09
23.4979511,9.2245189e-09,23.4979511,9.23775289e-09
24.0452887,9.2130644e-09,24.0452887,9.22619084e-09
24.6053754,9.20188157e-09,24.6053754,9.21490518e-09
25.1785082,9.1909638e-09,25.1785082,9.20388905e-09
25.764991,9.18030463e-09,25.764991,9.1931358e-09
26.3651348,9.16989776e-09,26.3651348,9.18263894e-09
26.9792577,9.15973706e-09,26.9792577,9.17239215e-09
27.6076853,9.14981655e-09,27.6076853,9.16238927e-09
28.2507509,9.1401304e-09,28.2507509,9.15262431e-09
28.9087954,9.13067293e-09,28.9087954,9.14309141e-09
29.5821678,9.12143859e-09,29.5821678,9.13378489e-09
30.271225,9.11242199e-09,30.271225,9.1246992e-09
30.9763324,9.10361786e-09,30.9763324,9.11582893e-09
31.6978638,9.09502107e-09,31.6978638,9.10716882e-09
32.4362019,9.0866266e-09,32.4362019,9.09871372e-09
33.1917381,9.07842958e-09,33.1917381,9.09045865e-09
33.964873,9.07042526e-09,33.964873,9.08239873e-09
34.7560166,9.06260899e-09,34.7560166,9.07452921e-09
35.5655882,9.05497624e-09,35.5655882,9.06684547e-09
36.3940172,9.04752261e-09,36.3940172,9.05934298e-09
37.2417427,9.0402438e-09,37.2417427,9.05201735e-09
38.1092144,9.03313561e-09,38.1092144,9.04486431e-09
38.996892,9.02619395e-09,38.996892,9.03787966e-09
39.9052463,9.01941483e-09,39.9052463,9.03105934e-09
40.8347589,9.01279436e-09,40.8347589,9.02439939e-09
41.7859226,9.00632875e-09,41.7859226,9.01789593e-09
42.7592418,9.0000143e-09,42.7592418,9.01154518e-09
43.7552325,8.9938474e-09,43.7552325,9.00534348e-09
44.7744228,8.98782452e-09,44.7744228,8.99928724e-09
45.8173531,8.98194224e-09,45.8173531,8.99337296e-09
46.8845763,8.97619721e-09,46.8845763,8.98759723e-09
47.9766584,8.97058615e-09,47.9766584,8.98195674e-09
49.0941783,8.96510589e-09,49.0941783,8.97644823e-09
50.2377286,8.95975332e-09,50.2377286,8.97106856e-09
51.4079157,8.95452541e-09,51.4079157,8.96581464e-09
52.6053598,8.94941919e-09,52.6053598,8.96068346e-09
53.8306961,8.94443178e-09,53.8306961,8.95567209e-09
55.0845741,8.93956037e-09,55.0845741,8.95077769e-09
56.3676586,8.93480221e-09,56.3676586,8.94599745e-09
57.6806301,8.93015462e-09,57.6806301,8.94132866e-09
59.0241845,8.92561499e-09,59.0241845,8.93676868e-09
60.3990344,8.92118077e-09,60.3990344,8.9323149e-09
61.8059087,8.91684947e-09,61.8059087,8.92796482e-09
63.2455532,8.91261865e-09,63.2455532,8.92371597e-09
64.7187314,8.90848596e-09,64.7187314,8.91956594e-09
66.2262243,8.90444908e-09,66.2262243,8.91551241e-09
67.7688312,8.90050575e-09,67.7688312,8.91155308e-09
69.3473701,8.89665378e-09,69.3473701,8.90768572e-09
70.9626778,8.89289101e-09,70.9626778,8.90390816e-09
72.615611,8.88921535e-09,72.615611,8.90021829e-09
74.3070458,8.88562474e-09,74.3070458,8.89661402e-09
76.0378793,8.88211721e-09,76.0378793,8.89309334e-09
77.809029,8.87869079e-09,77.809029,8.88965428e-09
79.6214341,8.87534358e-09,79.6214341,8.88629492e-09
81.4760556,8.87207374e-09,81.4760556,8.88301337e-09
83.3738767,8.86887944e-09,83.3738767,8.87980782e-09
85.3159038,8.86575891e-09,85.3159038,8.87667647e-09
87.3031664,8.86271044e-09,87.3031664,8.87361758e-09
89.3367184,8.85973234e-09,89.3367184,8.87062945e-09
91.4176379,8.85682297e-09,91.4176379,8.86771042e-09
93.5470283,8.85398071e-09,93.5470283,8.86485886e-09
95.7260185,8.851204e-09,95.7260185,8.8620732e-09
97.9557639,8.84849131e-09,97.9557639,8.8593519e-09
100.237447,8.84584116e-09,100.237447,8.85669344e-09
102.572277,8.84325207e-09,102.572277,8.85409636e-09
104.961492,8.84072264e-09,104.961492,8.85155921e-09
107.406359,8.83825146e-09,107.406359,8.84908061e-09
109.908175,8.83583719e-09,109.908175,8.84665919e-09
112.468265,8.8334785e-09,112.468265,8.8442936e-09
115.087987,8.83117409e-09,115.087987,8.84198254e-09
117.768731,8.82892271e-09,117.768731,8.83972475e-09
120.511917,8.82672312e-09,120.511917,8.83751898e-09
123.319,8.82457412e-09,123.319,8.83536402e-09
126.191469,8.82247454e-09,126.191469,8.83325869e-09
129.130846,8.82042322e-09,129.130846,8.83120183e-09
132.13869,8.81841906e-09,132.13869,8.82919232e-09
135.216595,8.81646095e-09,135.216595,8.82722904e-09
138.366194,8.81454783e-09,138.366194,8.82531094e-09
141.589157,8.81267865e-09,141.589157,8.82343695e-09
144.887192,8.81085241e-09,144.887192,8.82160606e-09
148.262048,8.80906809e-09,148.262048,8.81981727e-09
151.715515,8.80732474e-09,151.715515,8.81806959e-09
