col0,col1,col2,col3
20.0,1.50816098e-08,20.0,1.06582791e-08
20.4658598,1.50658258e-08,20.4658598,1.06469793e-08
20.942571,1.50504026e-08,20.942571,1.06359413e-08
21.4303861,1.50353319e-08,21.4303861,1.0625159e-08
21.9295639,1.50206058e-08,21.9295639,1.06146263e-08
22.4403691,1.50062163e-08,22.4403691,1.06043374e-08
22.9630724,1.49921558e-08,22.9630724,1.05942866e-08
23.4979511,1.49784166e-08,23.4979511,1.05844683e-08
24.0452887,1.49649915e-08,24.0452887,1.05748771e-08
24.6053754,1.49518733e-08,24.6053754,1.05655075e-08
25.1785082,1.49390549e-08,25.1785082,1.05563545e-08
25.764991,1.49265295e-08,25.764991,1.05474129e-08
26.3651348,1.49142903e-08,26.3651348,1.05386779e-08
26.9792577,1.49023309e-08,26.9792577,1.05301445e-08
27.6076853,1.48906448e-08,27.6076853,1.05218082e-08
28.2507509,1.48792258e-08,28.2507509,1.05136642e-08
28.9087954,1.48680677e-08,28.9087954,1.0505708e-08
29.5821678,1.48571646e-08,29.5821678,1.04979354e-08
30.271225,1.48465106e-08,30.271225,1.0490342e-08
30.9763324,1.48361001e-08,30.9763324,1.04829237e-08
31.6978638,1.48259275e-08,31.6978638,1.04756763e-08
32.4362019,1.48159873e-08,32.4362019,1.04685958e-08
33.1917381,1.48062741e-08,33.1917381,1.04616785e-08
33.964873,1.47967829e-08,33.964873,1.04549205e-08
34.7560166,1.47875085e-08,34.7560166,1.04483181e-08
35.5655882,1.4778446e-08,35.5655882,1.04418676e-08
36.3940172,1.47695904e-08,36.3940172,1.04355656e-08
37.2417427,1.47609372e-08,37.2417427,1.04294086e-08
38.1092144,1.47524816e-08,38.1092144,1.04233932e-08
38.996892,1.47442191e-08,38.996892,1.04175162e-08
39.9052463,1.47361453e-08,39.9052463,1.04117743e-08
40.8347589,1.47282559e-08,40.8347589,1.04061644e-08
41.7859226,1.47205467e-08,41.7859226,1.04006834e-08
42.7592418,1.47130135e-08,42.7592418,1.03953284e-08
43.7552325,1.47056523e-08,43.7552325,1.03900964e-08
44.7744228,1.46984592e-08,44.7744228,1.03849846e-08
45.8173531,1.46914304e-08,45.8173531,1.03799902e-08
46.8845763,1.4684562e-08,46.8845763,1.03751104e-08
47.9766584,1.46778504e-08,47.9766584,1.03703427e-08
49.0941783,1.46712921e-08,49.0941783,1.03656844e-08
50.2377286,1.46648834e-08,50.2377286,1.03611331e-08
51.4079157,1.46586211e-08,51.4079157,1.03566861e-08
52.6053598,1.46525016e-08,52.6053598,1.03523412e-08
53.8306961,1.46465219e-08,53.8306961,1.03480959e-08
55.0845741,1.46406786e-08,55.0845741,1.03439481e-08
56.3676586,1.46349687e-08,56.3676586,1.03398953e-08
57.6806301,1.46293892e-08,57.6806301,1.03359354e-08
59.0241845,1.46239369e-08,59.0241845,1.03320663e-08
60.3990344,1.46186091e-08,60.3990344,1.03282859e-08
61.8059087,1.46134028e-08,61.8059087,1.03245922e-08
63.2455532,1.46083153e-08,63.2455532,1.0320983e-08
64.7187314,1.4603344e-08,64.7187314,1.03174566e-08
66.2262243,1.4598486e-08,66.2262243,1.03140109e-08
67.7688312,1.45937389e-08,67.7688312,1.03106442e-08
69.3473701,1.45891e-08,69.3473701,1.03073546e-08
70.9626778,1.45845671e-08,70.9626778,1.03041402e-08
72.615611,1.45801375e-08,72.615611,1.03009995e-08
74.3070458,1.45758089e-08,74.3070458,1.02979307e-08
76.0378793,1.45715791e-08,76.0378793,1.02949321e-08
77.809029,1.45674458e-08,77.809029,1.02920022e-08
79.6214341,1.45634067e-08,79.6214341,1.02891393e-08
81.4760556,1.45594598e-08,81.4760556,1.02863419e-08
83.3738767,1.45556029e-08,83.3738767,1.02836085e-08
85.3159038,1.45518339e-08,85.3159038,1.02809377e-08
87.3031664,1.45481509e-08,87.3031664,1.02783279e-08
89.3367184,1.45445519e-08,89.3367184,1.02757778e-08
91.4176379,1.45410349e-08,91.4176379,1.02732861e-08
93.5470283,1.45375982e-08,93.5470283,1.02708513e-08
95.7260185,1.45342398e-08,95.7260185,1.02684722e-08
97.9557639,1.4530958e-08,97.9557639,1.02661475e-08
100.237447,1.4527751e-08,100.237447,1.0263876e-08
102.572277,1.45246171e-08,102.572277,1.02616563e-08
104.961492,1.45215547e-08,104.961492,1.02594874e-08
107.406359,1.45185621e-08,107.406359,1.02573681e-08
109.908175,1.45156377e-08,109.908175,1.02552972e-08
112.468265,1.451278e-08,112.468265,1.02532736e-08
115.087987,1.45099874e-08,115.087987,1.02512963e-08
117.768731,1.45072585e-08,117.768731,1.02493641e-08
120.511917,1.45045918e-08,120.511917,1.02474761e-08
123.319,1.45019858e-08,123.319,1.02456312e-08
126.191469,1.44994393e-08,126.191469,1.02438284e-08
129.130846,1.44969508e-08,129.130846,1.02420668e-08
132.13869,1.4494519e-08,132.13869,1.02403455e-08
135.216595,1.44921426e-08,135.216595,1.02386634e-08
138.366194,1.44898204e-08,138.366194,1.02370198e-08
141.589157,1.44875511e-08,141.589157,1.02354137e-08
144.887192,1.44853335e-08,144.887192,1.02338442e-08
148.262048,1.44831665e-08,148.262048,1.02323106e-08
151.715515,1.44810488e-08,151.715515,1.0230812e-08
155.249423,1.44789794e-08,155.249423,1.02293476e-08
158.865647,1.44769571e-08,158.865647,1.02279167e-08
162.566103,1.44749809e-08,162.566103,1.02265184e-08
166.352754,1.44730497e-08,166.352754,1.0225152e-08
170.227608,1.44711626e-08,170.227608,1.02238168e-08
174.192718,1.44693184e-08,174.192718,1.0222512e-08
178.250188,1.44675162e-08,178.250188,1.02212371e-08
182.402168,1.44657551e-08,182.402168,1.02199912e-08
186.65086,1.44640341e-08,186.65086,1.02187738e-08
190.998517,1.44623523e-08,190.998517,1.02175841e-08
195.447444,1.44607088e-08,195.447444,1.02164216e-08
200.0,1.44591027e-08,200.0,1.02152856e-08
204.658598,1.44575332e-08,204.658598,1.02141755e-08
209.42571,1.44559995e-08,209.42571,1.02130907e-08
214.303861,1.44545007e-08,214.303861,1.02120307e-08
219.295639,1.4453036e-08,219.295639,1.02109948e-08
224.403691,1.44516047e-08,224.403691,1.02099826e-08
229.630724,1.44502059e-08,229.630724,1.02089935e-08
234.979511,1.4448839e-08,234.979511,1.02080269e-08
240.452887,1.44475033e-08,240.452887,1.02070824e-08
