col0,col1,col2,col3
20.0,1.03266956e-08,20.0,8.68315483e-09
20.4658598,1.03099711e-08,20.4658598,8.66897395e-09
20.942571,1.02936305e-08,20.942571,8.65512161e-09
21.4303861,1.02776651e-08,21.4303861,8.64159009e-09
21.9295639,1.02620661e-08,21.9295639,8.62837187e-09
22.4403691,1.02468252e-08,22.4403691,8.6154596e-09
22.9630724,1.02319341e-08,22.9630724,8.6028461e-09
23.4979511,1.02173848e-08,23.4979511,8.59052439e-09
24.0452887,1.02031693e-08,24.0452887,8.57848762e-09
24.6053754,1.01892799e-08,24.6053754,8.56672913e-09
25.1785082,1.01757093e-08,25.1785082,8.55524241e-09
25.764991,1.01624499e-08,25.764991,8.5440211e-09
26.3651348,1.01494948e-08,26.3651348,8.53305899e-09
26.9792577,1.01368367e-08,26.9792577,8.52235004e-09
27.6076853,1.0124469e-08,27.6076853,8.51188832e-09
28.2507509,1.01123849e-08,28.2507509,8.50166806e-09
28.9087954,1.01005779e-08,28.9087954,8.49168364e-09
29.5821678,1.00890416e-08,29.5821678,8.48192955e-09
30.271225,1.00777698e-08,30.271225,8.47240042e-09
30.9763324,1.00667563e-08,30.9763324,8.463091e-09
31.6978638,1.00559953e-08,31.6978638,8.45399618e-09
32.4362019,1.00454809e-08,32.4362019,8.44511097e-09
33.1917381,1.00352075e-08,33.1917381,8.43643047e-09
33.964873,1.00251695e-08,33.964873,8.42794994e-09
34.7560166,1.00153615e-08,34.7560166,8.41966471e-09
35.5655882,1.00057782e-08,35.5655882,8.41157024e-09
36.3940172,9.99641441e-09,36.3940172,8.40366211e-09
37.2417427,9.98726511e-09,37.2417427,8.39593599e-09
38.1092144,9.97832536e-09,38.1092144,8.38838764e-09
38.996892,9.96959033e-09,38.996892,8.38101294e-09
39.9052463,9.96105533e-09,39.9052463,8.37380785e-09
40.8347589,9.95271575e-09,40.8347589,8.36676846e-09
41.7859226,9.9445671e-09,41.7859226,8.3598909e-09
42.7592418,9.93660498e-09,42.7592418,8.35317144e-09
43.7552325,9.92882513e-09,43.7552325,8.3466064e-09
44.7744228,9.92122334e-09,44.7744228,8.3401922e-09
45.8173531,9.91379552e-09,45.8173531,8.33392537e-09
